Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-68c8fff89b-p8nhr,consul,10,36
default,consul-68c8fff89b-p8nhr,istio-proxy,4,90
default,frontend-us-central-1-867c6bcff5-jnm97,hotel-reserv-frontend,0,4
default,frontend-us-central-1-867c6bcff5-jnm97,istio-proxy,6,86
default,frontend-us-central-1-867c6bcff5-szngv,hotel-reserv-frontend,0,4
default,frontend-us-central-1-867c6bcff5-szngv,istio-proxy,6,86
default,frontend-us-east-1-7d66d5d65-28tln,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7d66d5d65-28tln,istio-proxy,4,87
default,frontend-us-east-1-7d66d5d65-wfqjq,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7d66d5d65-wfqjq,istio-proxy,4,88
default,frontend-us-south-1-7f5d874fd7-5f9tc,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7f5d874fd7-5f9tc,istio-proxy,4,86
default,frontend-us-south-1-7f5d874fd7-sfnjp,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7f5d874fd7-sfnjp,istio-proxy,5,88
default,frontend-us-west-1-6bb678f6cc-5l6pm,hotel-reserv-frontend,45,9
default,frontend-us-west-1-6bb678f6cc-5l6pm,istio-proxy,6,92
default,frontend-us-west-1-6bb678f6cc-mntbl,hotel-reserv-frontend,26,8
default,frontend-us-west-1-6bb678f6cc-mntbl,istio-proxy,149,92
default,geo-us-central-1-8687664c56-mcswb,hotel-reserv-geo,0,5
default,geo-us-central-1-8687664c56-mcswb,istio-proxy,6,87
default,geo-us-central-1-8687664c56-zm58h,hotel-reserv-geo,0,5
default,geo-us-central-1-8687664c56-zm58h,istio-proxy,5,88
default,geo-us-east-1-c4c5f9886-8xj7c,hotel-reserv-geo,0,4
default,geo-us-east-1-c4c5f9886-8xj7c,istio-proxy,4,87
default,geo-us-east-1-c4c5f9886-bnv8z,hotel-reserv-geo,0,5
default,geo-us-east-1-c4c5f9886-bnv8z,istio-proxy,3,88
default,geo-us-south-1-774d7675d8-5bx4l,hotel-reserv-geo,0,5
default,geo-us-south-1-774d7675d8-5bx4l,istio-proxy,5,87
default,geo-us-south-1-774d7675d8-p2ngv,hotel-reserv-geo,0,5
default,geo-us-south-1-774d7675d8-p2ngv,istio-proxy,6,87
default,geo-us-west-1-54c6f8569d-6ljs9,hotel-reserv-geo,12,8
default,geo-us-west-1-54c6f8569d-6ljs9,istio-proxy,36,89
default,geo-us-west-1-54c6f8569d-fbmh9,hotel-reserv-geo,6,8
default,geo-us-west-1-54c6f8569d-fbmh9,istio-proxy,35,91
default,jaeger-6768fbdb-f6n5g,hotel-reserv-jaeger,6,194
default,jaeger-6768fbdb-f6n5g,istio-proxy,5,88
default,memcached-profile-us-central-1-5bf9dfc9f-5qzwm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5bf9dfc9f-5qzwm,istio-proxy,6,85
default,memcached-profile-us-central-1-5bf9dfc9f-mjlbv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5bf9dfc9f-mjlbv,istio-proxy,6,87
default,memcached-profile-us-east-1-f4995cf5-5h9jz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-f4995cf5-5h9jz,istio-proxy,3,87
default,memcached-profile-us-east-1-f4995cf5-ppx6s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-f4995cf5-ppx6s,istio-proxy,5,86
default,memcached-profile-us-south-1-5b9df44987-cjfgl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5b9df44987-cjfgl,istio-proxy,4,88
default,memcached-profile-us-south-1-5b9df44987-zdvwj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5b9df44987-zdvwj,istio-proxy,6,86
default,memcached-profile-us-west-1-84754cdb6c-52hs6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-84754cdb6c-52hs6,istio-proxy,4,86
default,memcached-profile-us-west-1-84754cdb6c-vc6lm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-84754cdb6c-vc6lm,istio-proxy,5,86
default,memcached-rate-us-central-1-676cdf947f-24wnx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-676cdf947f-24wnx,istio-proxy,5,85
default,memcached-rate-us-central-1-676cdf947f-q97lf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-676cdf947f-q97lf,istio-proxy,6,86
default,memcached-rate-us-east-1-578594dc6f-4qcqd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-578594dc6f-4qcqd,istio-proxy,6,89
default,memcached-rate-us-east-1-578594dc6f-h7kf8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-578594dc6f-h7kf8,istio-proxy,5,88
default,memcached-rate-us-south-1-77976875d7-k2w82,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-77976875d7-k2w82,istio-proxy,5,86
default,memcached-rate-us-south-1-77976875d7-x7lvx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-77976875d7-x7lvx,istio-proxy,4,86
default,memcached-rate-us-west-1-6447f68f9c-9xjw6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6447f68f9c-9xjw6,istio-proxy,6,86
default,memcached-rate-us-west-1-6447f68f9c-l4m5p,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6447f68f9c-l4m5p,istio-proxy,6,87
default,memcached-reserve-us-central-1-5c946c5b87-phlwb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5c946c5b87-phlwb,istio-proxy,6,88
default,memcached-reserve-us-central-1-5c946c5b87-pszhm,hotel-reserv-reservation-mmc,0,1
