counter,region,service,endpoint,rps
14,us-west-1,search,search@POST@/search.Search/Nearby,89
14,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,59
14,us-west-1,slateingress,slateingress@GET@/hotels,164
14,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,152
14,us-west-1,geo,geo@POST@/geo.Geo/Nearby,84
14,us-west-1,rate,rate@POST@/rate.Rate/GetRates,88
14,us-west-1,frontend,frontend@GET@/hotels,165
15,us-west-1,search,search@POST@/search.Search/Nearby,389
15,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,403
15,us-west-1,slateingress,slateingress@GET@/hotels,429
15,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,409
15,us-west-1,geo,geo@POST@/geo.Geo/Nearby,425
15,us-west-1,rate,rate@POST@/rate.Rate/GetRates,424
15,us-west-1,frontend,frontend@GET@/hotels,425
16,us-west-1,search,search@POST@/search.Search/Nearby,410
16,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,407
16,us-west-1,slateingress,slateingress@GET@/hotels,395
16,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,388
16,us-west-1,geo,geo@POST@/geo.Geo/Nearby,410
16,us-west-1,rate,rate@POST@/rate.Rate/GetRates,406
16,us-west-1,frontend,frontend@GET@/hotels,407
17,us-west-1,search,search@POST@/search.Search/Nearby,387
17,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,393
17,us-west-1,slateingress,slateingress@GET@/hotels,416
17,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,402
17,us-west-1,geo,geo@POST@/geo.Geo/Nearby,389
17,us-west-1,rate,rate@POST@/rate.Rate/GetRates,396
17,us-west-1,frontend,frontend@GET@/hotels,421
18,us-west-1,search,search@POST@/search.Search/Nearby,400
18,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,425
18,us-west-1,slateingress,slateingress@GET@/hotels,389
18,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,399
18,us-west-1,geo,geo@POST@/geo.Geo/Nearby,408
18,us-west-1,rate,rate@POST@/rate.Rate/GetRates,408
18,us-west-1,frontend,frontend@GET@/hotels,369
19,us-west-1,search,search@POST@/search.Search/Nearby,369
19,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,361
19,us-west-1,slateingress,slateingress@GET@/hotels,368
19,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,384
19,us-west-1,geo,geo@POST@/geo.Geo/Nearby,363
19,us-west-1,rate,rate@POST@/rate.Rate/GetRates,363
19,us-west-1,frontend,frontend@GET@/hotels,370
