,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
0,11,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-east-1,us-east-1,188,188,1.0
1,11,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-west-1,us-west-1,251,251,1.0
2,11,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-central-1,us-central-1,230,230,1.0
3,11,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-south-1,us-south-1,217,217,1.0
4,11,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-east-1,us-east-1,188,188,1.0
5,11,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-west-1,us-west-1,251,251,1.0
6,11,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-central-1,us-central-1,230,230,1.0
7,11,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-south-1,us-south-1,217,217,1.0
8,11,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-east-1,us-east-1,188,188,1.0
9,11,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-west-1,us-west-1,251,251,1.0
10,11,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-central-1,us-central-1,230,230,1.0
11,11,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-south-1,us-south-1,217,217,1.0
12,11,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-east-1,us-east-1,108,108,1.0
13,11,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-east-1,80,645,0.12403100775193798
14,11,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-west-1,251,645,0.3891472868217054
15,11,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-central-1,205,645,0.3178294573643411
16,11,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-south-1,109,645,0.16899224806201552
17,11,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-central-1,us-central-1,25,25,1.0
18,11,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-south-1,us-south-1,108,108,1.0
19,11,search,geo,search@POST@/search.Search/Nearby,geo@POST@/geo.Geo/Nearby,us-east-1,us-east-1,188,188,1.0
20,11,search,geo,search@POST@/search.Search/Nearby,geo@POST@/geo.Geo/Nearby,us-west-1,us-west-1,251,251,1.0
21,11,search,geo,search@POST@/search.Search/Nearby,geo@POST@/geo.Geo/Nearby,us-central-1,us-central-1,230,230,1.0
22,11,search,geo,search@POST@/search.Search/Nearby,geo@POST@/geo.Geo/Nearby,us-south-1,us-south-1,217,217,1.0
23,11,search,rate,search@POST@/search.Search/Nearby,rate@POST@/rate.Rate/GetRates,us-east-1,us-east-1,188,188,1.0
24,11,search,rate,search@POST@/search.Search/Nearby,rate@POST@/rate.Rate/GetRates,us-west-1,us-west-1,251,251,1.0
25,11,search,rate,search@POST@/search.Search/Nearby,rate@POST@/rate.Rate/GetRates,us-central-1,us-central-1,230,230,1.0
26,11,search,rate,search@POST@/search.Search/Nearby,rate@POST@/rate.Rate/GetRates,us-south-1,us-south-1,217,217,1.0
27,11,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-east-1,us-east-1,111,111,1.0
28,11,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-west-1,us-west-1,181,181,1.0
29,11,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-central-1,us-central-1,116,116,1.0
30,11,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-south-1,us-south-1,118,118,1.0
31,11,frontend,user,frontend@POST@/user,user@POST@/user.User/CheckUser,us-east-1,us-east-1,111,111,1.0
32,11,frontend,user,frontend@POST@/user,user@POST@/user.User/CheckUser,us-west-1,us-west-1,181,181,1.0
33,11,frontend,user,frontend@POST@/user,user@POST@/user.User/CheckUser,us-central-1,us-central-1,116,116,1.0
34,11,frontend,user,frontend@POST@/user,user@POST@/user.User/CheckUser,us-south-1,us-south-1,118,118,1.0
35,11,frontend,profile,frontend@GET@/recommendations,profile@POST@/profile.Profile/GetProfiles,us-east-1,us-east-1,111,111,1.0
36,11,frontend,profile,frontend@GET@/recommendations,profile@POST@/profile.Profile/GetProfiles,us-west-1,us-west-1,187,187,1.0
37,11,frontend,profile,frontend@GET@/recommendations,profile@POST@/profile.Profile/GetProfiles,us-central-1,us-central-1,31,31,1.0
38,11,frontend,profile,frontend@GET@/recommendations,profile@POST@/profile.Profile/GetProfiles,us-south-1,us-south-1,109,109,1.0
39,11,frontend,recommendation,frontend@GET@/recommendations,recommendation@POST@/recommendation.Recommendation/GetRecommendations,us-east-1,us-east-1,111,111,1.0
40,11,frontend,recommendation,frontend@GET@/recommendations,recommendation@POST@/recommendation.Recommendation/GetRecommendations,us-west-1,us-west-1,187,187,1.0
41,11,frontend,recommendation,frontend@GET@/recommendations,recommendation@POST@/recommendation.Recommendation/GetRecommendations,us-central-1,us-central-1,31,31,1.0
42,11,frontend,recommendation,frontend@GET@/recommendations,recommendation@POST@/recommendation.Recommendation/GetRecommendations,us-south-1,us-south-1,109,109,1.0
43,11,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-east-1,us-east-1,111,111,1.0
44,11,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-west-1,us-west-1,187,187,1.0
45,11,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-central-1,us-central-1,31,31,1.0
46,11,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-south-1,us-south-1,109,109,1.0
47,11,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-east-1,us-east-1,103,103,1.0
48,11,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-west-1,us-west-1,602,810,0.7432098765432099
49,11,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-west-1,us-central-1,208,810,0.25679012345679014
50,11,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-central-1,us-central-1,102,102,1.0
51,11,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-south-1,us-south-1,110,110,1.0
52,11,frontend,reservation,frontend@POST@/reservation,reservation@POST@/reservation.Reservation/MakeReservation,us-east-1,us-east-1,103,103,1.0
53,11,frontend,reservation,frontend@POST@/reservation,reservation@POST@/reservation.Reservation/MakeReservation,us-west-1,us-west-1,602,602,1.0
54,11,frontend,reservation,frontend@POST@/reservation,reservation@POST@/reservation.Reservation/MakeReservation,us-central-1,us-central-1,310,310,1.0
55,11,frontend,reservation,frontend@POST@/reservation,reservation@POST@/reservation.Reservation/MakeReservation,us-south-1,us-south-1,110,110,1.0
56,11,frontend,user,frontend@POST@/reservation,user@POST@/user.User/CheckUser,us-east-1,us-east-1,103,103,1.0
57,11,frontend,user,frontend@POST@/reservation,user@POST@/user.User/CheckUser,us-west-1,us-west-1,602,602,1.0
58,11,frontend,user,frontend@POST@/reservation,user@POST@/user.User/CheckUser,us-central-1,us-central-1,310,310,1.0
59,11,frontend,user,frontend@POST@/reservation,user@POST@/user.User/CheckUser,us-south-1,us-south-1,110,110,1.0
60,11,SOURCE,slateingress,SOURCE,slateingress@GET@/hotels,XXXX,us-east-1,108,884,0.12217194570135746
61,11,SOURCE,slateingress,SOURCE,slateingress@GET@/hotels,XXXX,us-west-1,643,884,0.7273755656108597
62,11,SOURCE,slateingress,SOURCE,slateingress@GET@/hotels,XXXX,us-central-1,25,884,0.02828054298642534
63,11,SOURCE,slateingress,SOURCE,slateingress@GET@/hotels,XXXX,us-south-1,108,884,0.12217194570135746
64,11,SOURCE,slateingress,SOURCE,slateingress@POST@/user,XXXX,us-east-1,111,526,0.21102661596958175
65,11,SOURCE,slateingress,SOURCE,slateingress@POST@/user,XXXX,us-west-1,181,526,0.344106463878327
66,11,SOURCE,slateingress,SOURCE,slateingress@POST@/user,XXXX,us-central-1,116,526,0.22053231939163498
67,11,SOURCE,slateingress,SOURCE,slateingress@POST@/user,XXXX,us-south-1,118,526,0.22433460076045628
68,11,SOURCE,slateingress,SOURCE,slateingress@GET@/recommendations,XXXX,us-east-1,111,438,0.2534246575342466
69,11,SOURCE,slateingress,SOURCE,slateingress@GET@/recommendations,XXXX,us-west-1,187,438,0.4269406392694064
70,11,SOURCE,slateingress,SOURCE,slateingress@GET@/recommendations,XXXX,us-central-1,31,438,0.07077625570776255
71,11,SOURCE,slateingress,SOURCE,slateingress@GET@/recommendations,XXXX,us-south-1,109,438,0.24885844748858446
