,src_svc,src_cid,dst_svc,dst_cid,min_network_time,max_network_time,max_load,min_load,min_egress_cost,max_egress_cost,src,dst
"('frontend@GET@/hotels#us-south-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-south-1#start')",,us-south-1,,us-south-1,0,0,,,0,0,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-south-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-west-1#start')",,us-south-1,,us-west-1,40,40,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-south-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-east-1#start')",,us-south-1,,us-east-1,30,30,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-south-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-central-1#start')",,us-south-1,,us-central-1,20,20,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-west-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-south-1#start')",,us-west-1,,us-south-1,40,40,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-west-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-west-1#start')",,us-west-1,,us-west-1,0,0,,,0,0,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-west-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-east-1#start')",,us-west-1,,us-east-1,66,66,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-west-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-central-1#start')",,us-west-1,,us-central-1,30,30,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-east-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-south-1#start')",,us-east-1,,us-south-1,30,30,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-east-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-west-1#start')",,us-east-1,,us-west-1,66,66,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-east-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-east-1#start')",,us-east-1,,us-east-1,0,0,,,0,0,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-east-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-central-1#start')",,us-east-1,,us-central-1,40,40,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-central-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-south-1#start')",,us-central-1,,us-south-1,20,20,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-central-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-west-1#start')",,us-central-1,,us-west-1,30,30,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
"('frontend@GET@/hotels#us-central-1#end', 'profile@POST@/profile.Profile/GetProfiles#us-east-1#start')",,us-central-1,,us-east-1,40,40,,,20,20,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles
