index_col,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('frontend@GET@/hotels', 'us-south-1', 'profile@POST@/profile.Profile/GetProfiles')",frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-south-1,us-south-1,54,54,1.0
"('frontend@GET@/hotels', 'us-south-1', 'reservation@POST@/reservation.Reservation/CheckAvailability')",frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-south-1,us-south-1,54,54,1.0
"('frontend@GET@/hotels', 'us-south-1', 'search@POST@/search.Search/Nearby')",frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-south-1,us-south-1,54,54,1.0
"('slateingress@GET@/hotels', 'us-south-1', 'frontend@GET@/hotels')",slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-south-1,us-south-1,54,54,1.0
"('search@POST@/search.Search/Nearby', 'us-south-1', 'geo@POST@/geo.Geo/Nearby')",search,geo,search@POST@/search.Search/Nearby,geo@POST@/geo.Geo/Nearby,us-south-1,us-south-1,54,54,1.0
"('search@POST@/search.Search/Nearby', 'us-south-1', 'rate@POST@/rate.Rate/GetRates')",search,rate,search@POST@/search.Search/Nearby,rate@POST@/rate.Rate/GetRates,us-south-1,us-south-1,54,54,1.0
"('slateingress@POST@/user', 'us-south-1', 'frontend@POST@/user')",slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-south-1,us-south-1,49,49,1.0
"('frontend@POST@/user', 'us-south-1', 'user@POST@/user.User/CheckUser')",frontend,user,frontend@POST@/user,user@POST@/user.User/CheckUser,us-south-1,us-south-1,49,49,1.0
"('frontend@GET@/recommendations', 'us-south-1', 'profile@POST@/profile.Profile/GetProfiles')",frontend,profile,frontend@GET@/recommendations,profile@POST@/profile.Profile/GetProfiles,us-south-1,us-south-1,51,51,1.0
"('frontend@GET@/recommendations', 'us-south-1', 'recommendation@POST@/recommendation.Recommendation/GetRecommendations')",frontend,recommendation,frontend@GET@/recommendations,recommendation@POST@/recommendation.Recommendation/GetRecommendations,us-south-1,us-south-1,51,51,1.0
"('slateingress@GET@/recommendations', 'us-south-1', 'frontend@GET@/recommendations')",slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-south-1,us-south-1,51,51,1.0
"('slateingress@POST@/reservation', 'us-south-1', 'frontend@POST@/reservation')",slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-south-1,us-south-1,49,49,1.0
"('frontend@POST@/reservation', 'us-south-1', 'reservation@POST@/reservation.Reservation/MakeReservation')",frontend,reservation,frontend@POST@/reservation,reservation@POST@/reservation.Reservation/MakeReservation,us-south-1,us-south-1,49,49,1.0
"('frontend@POST@/reservation', 'us-south-1', 'user@POST@/user.User/CheckUser')",frontend,user,frontend@POST@/reservation,user@POST@/user.User/CheckUser,us-south-1,us-south-1,49,49,1.0
"('SOURCE', 'XXXX', 'slateingress@GET@/hotels')",SOURCE,slateingress,SOURCE,slateingress@GET@/hotels,XXXX,us-south-1,54,54,1.0
"('SOURCE', 'XXXX', 'slateingress@POST@/user')",SOURCE,slateingress,SOURCE,slateingress@POST@/user,XXXX,us-south-1,49,49,1.0
"('SOURCE', 'XXXX', 'slateingress@GET@/recommendations')",SOURCE,slateingress,SOURCE,slateingress@GET@/recommendations,XXXX,us-south-1,51,51,1.0
"('SOURCE', 'XXXX', 'slateingress@POST@/reservation')",SOURCE,slateingress,SOURCE,slateingress@POST@/reservation,XXXX,us-south-1,49,49,1.0
