counter,region,service,endpoint,rps
210,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,27
210,us-west-1,slateingress,slateingress@GET@/recommendations,30
211,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,33
211,us-west-1,frontend,frontend@GET@/recommendations,69
211,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,94
211,us-west-1,slateingress,slateingress@GET@/recommendations,30
212,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,127
212,us-west-1,frontend,frontend@GET@/recommendations,170
212,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,94
212,us-west-1,slateingress,slateingress@GET@/recommendations,30
213,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,196
213,us-west-1,frontend,frontend@GET@/recommendations,229
213,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,177
213,us-west-1,slateingress,slateingress@GET@/recommendations,215
214,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,211
214,us-west-1,frontend,frontend@GET@/recommendations,229
214,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,235
214,us-west-1,slateingress,slateingress@GET@/recommendations,229
215,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,211
215,us-west-1,frontend,frontend@GET@/recommendations,208
215,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,235
215,us-west-1,slateingress,slateingress@GET@/recommendations,229
216,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,206
216,us-west-1,frontend,frontend@GET@/recommendations,203
216,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,212
216,us-west-1,slateingress,slateingress@GET@/recommendations,229
217,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,200
217,us-west-1,frontend,frontend@GET@/recommendations,201
217,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,195
217,us-west-1,slateingress,slateingress@GET@/recommendations,219
218,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,200
218,us-west-1,frontend,frontend@GET@/recommendations,187
218,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,181
218,us-west-1,slateingress,slateingress@GET@/recommendations,219
219,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,221
219,us-west-1,frontend,frontend@GET@/recommendations,206
219,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,202
219,us-west-1,slateingress,slateingress@GET@/recommendations,218
220,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,221
220,us-west-1,frontend,frontend@GET@/recommendations,206
220,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,221
220,us-west-1,slateingress,slateingress@GET@/recommendations,209
221,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,204
221,us-west-1,frontend,frontend@GET@/recommendations,206
221,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,195
221,us-west-1,slateingress,slateingress@GET@/recommendations,204
222,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,182
222,us-west-1,frontend,frontend@GET@/recommendations,182
222,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,185
222,us-west-1,slateingress,slateingress@GET@/recommendations,204
223,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,193
223,us-west-1,frontend,frontend@GET@/recommendations,180
223,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,194
223,us-west-1,slateingress,slateingress@GET@/recommendations,187
224,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,193
224,us-west-1,frontend,frontend@GET@/recommendations,201
224,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,194
224,us-west-1,slateingress,slateingress@GET@/recommendations,173
225,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,182
225,us-west-1,frontend,frontend@GET@/recommendations,193
225,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,186
225,us-west-1,slateingress,slateingress@GET@/recommendations,212
226,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,189
226,us-west-1,frontend,frontend@GET@/recommendations,192
226,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,202
