counter,region,service,endpoint,rps
590,us-west-1,frontend,frontend@GET@/hotels,9
590,us-west-1,rate,rate@POST@/rate.Rate/GetRates,49
590,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,52
591,us-west-1,frontend,frontend@GET@/hotels,9
591,us-west-1,rate,rate@POST@/rate.Rate/GetRates,49
591,us-west-1,search,search@POST@/search.Search/Nearby,140
591,us-west-1,slateingress,slateingress@GET@/hotels,68
591,us-west-1,geo,geo@POST@/geo.Geo/Nearby,160
591,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,52
591,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,73
592,us-west-1,frontend,frontend@GET@/hotels,571
592,us-west-1,rate,rate@POST@/rate.Rate/GetRates,641
592,us-west-1,search,search@POST@/search.Search/Nearby,734
592,us-west-1,slateingress,slateingress@GET@/hotels,919
592,us-west-1,geo,geo@POST@/geo.Geo/Nearby,160
592,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,759
592,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,687
593,us-west-1,frontend,frontend@GET@/hotels,1022
593,us-west-1,rate,rate@POST@/rate.Rate/GetRates,784
593,us-west-1,search,search@POST@/search.Search/Nearby,1267
593,us-west-1,slateingress,slateingress@GET@/hotels,919
593,us-west-1,geo,geo@POST@/geo.Geo/Nearby,160
593,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,992
593,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,687
594,us-west-1,frontend,frontend@GET@/hotels,1022
594,us-west-1,rate,rate@POST@/rate.Rate/GetRates,784
594,us-west-1,search,search@POST@/search.Search/Nearby,1267
594,us-west-1,slateingress,slateingress@GET@/hotels,937
594,us-west-1,geo,geo@POST@/geo.Geo/Nearby,988
594,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,1256
594,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,687
595,us-west-1,frontend,frontend@GET@/hotels,1076
595,us-west-1,rate,rate@POST@/rate.Rate/GetRates,1117
595,us-west-1,search,search@POST@/search.Search/Nearby,1189
595,us-west-1,slateingress,slateingress@GET@/hotels,1073
595,us-west-1,geo,geo@POST@/geo.Geo/Nearby,988
595,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,1326
595,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,1255
596,us-west-1,frontend,frontend@GET@/hotels,1183
596,us-west-1,rate,rate@POST@/rate.Rate/GetRates,1177
596,us-west-1,search,search@POST@/search.Search/Nearby,1189
596,us-west-1,slateingress,slateingress@GET@/hotels,1073
596,us-west-1,geo,geo@POST@/geo.Geo/Nearby,988
596,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,1275
596,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,1255
597,us-west-1,frontend,frontend@GET@/hotels,1183
