Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-69499f5576-ntznb,consul,13,51
default,consul-69499f5576-ntznb,istio-proxy,5,92
default,frontend-us-central-1-5b566cfdd7-62495,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5b566cfdd7-62495,istio-proxy,5,89
default,frontend-us-central-1-5b566cfdd7-b2jbm,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5b566cfdd7-b2jbm,istio-proxy,6,89
default,frontend-us-east-1-5d75df5849-28s7f,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5d75df5849-28s7f,istio-proxy,5,91
default,frontend-us-east-1-5d75df5849-dtqz9,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5d75df5849-dtqz9,istio-proxy,5,89
default,frontend-us-south-1-547f457fdc-b85k4,hotel-reserv-frontend,0,4
default,frontend-us-south-1-547f457fdc-b85k4,istio-proxy,5,90
default,frontend-us-south-1-547f457fdc-spdg2,hotel-reserv-frontend,0,4
default,frontend-us-south-1-547f457fdc-spdg2,istio-proxy,5,89
default,frontend-us-west-1-844885b79b-jlprp,hotel-reserv-frontend,0,4
default,frontend-us-west-1-844885b79b-jlprp,istio-proxy,6,92
default,frontend-us-west-1-844885b79b-mgkz6,hotel-reserv-frontend,0,21
default,frontend-us-west-1-844885b79b-mgkz6,istio-proxy,5,140
default,geo-us-central-1-5858b776f6-8gzq5,hotel-reserv-geo,0,5
default,geo-us-central-1-5858b776f6-8gzq5,istio-proxy,5,91
default,geo-us-central-1-5858b776f6-mf8tj,hotel-reserv-geo,0,5
default,geo-us-central-1-5858b776f6-mf8tj,istio-proxy,5,91
default,geo-us-east-1-6f4cf5b698-4vf9l,hotel-reserv-geo,0,5
default,geo-us-east-1-6f4cf5b698-4vf9l,istio-proxy,5,88
default,geo-us-east-1-6f4cf5b698-7xj9w,hotel-reserv-geo,0,5
default,geo-us-east-1-6f4cf5b698-7xj9w,istio-proxy,5,89
default,geo-us-south-1-5555fd9968-48xjq,hotel-reserv-geo,0,5
default,geo-us-south-1-5555fd9968-48xjq,istio-proxy,5,91
default,geo-us-south-1-5555fd9968-xmkwt,hotel-reserv-geo,0,5
default,geo-us-south-1-5555fd9968-xmkwt,istio-proxy,5,91
default,geo-us-west-1-7778c6fdff-24gqt,hotel-reserv-geo,0,7
default,geo-us-west-1-7778c6fdff-24gqt,istio-proxy,5,91
default,geo-us-west-1-7778c6fdff-qlq2z,hotel-reserv-geo,0,7
default,geo-us-west-1-7778c6fdff-qlq2z,istio-proxy,6,90
default,jaeger-9747d58c4-6xms7,hotel-reserv-jaeger,0,3363
default,jaeger-9747d58c4-6xms7,istio-proxy,5,92
default,memcached-profile-us-central-1-d4cd47b4c-66n52,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-d4cd47b4c-66n52,istio-proxy,5,90
default,memcached-profile-us-central-1-d4cd47b4c-lts9l,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-d4cd47b4c-lts9l,istio-proxy,5,90
default,memcached-profile-us-east-1-78d487659f-gx7n9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-78d487659f-gx7n9,istio-proxy,6,90
default,memcached-profile-us-east-1-78d487659f-sjrk7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-78d487659f-sjrk7,istio-proxy,5,92
default,memcached-profile-us-south-1-55f97d96c5-6frqb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-55f97d96c5-6frqb,istio-proxy,6,91
default,memcached-profile-us-south-1-55f97d96c5-kf7sz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-55f97d96c5-kf7sz,istio-proxy,5,92
default,memcached-profile-us-west-1-7946bf4bdb-49gb4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7946bf4bdb-49gb4,istio-proxy,5,90
default,memcached-profile-us-west-1-7946bf4bdb-kppfq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7946bf4bdb-kppfq,istio-proxy,5,91
default,memcached-rate-us-central-1-7c8ff99b55-qsgxd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7c8ff99b55-qsgxd,istio-proxy,5,90
default,memcached-rate-us-central-1-7c8ff99b55-w6cs9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7c8ff99b55-w6cs9,istio-proxy,5,89
default,memcached-rate-us-east-1-56dc57bc89-6ck8m,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56dc57bc89-6ck8m,istio-proxy,5,89
default,memcached-rate-us-east-1-56dc57bc89-h7vpc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56dc57bc89-h7vpc,istio-proxy,5,92
default,memcached-rate-us-south-1-df8d4cb47-jmbvv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-df8d4cb47-jmbvv,istio-proxy,6,92
default,memcached-rate-us-south-1-df8d4cb47-lrgfm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-df8d4cb47-lrgfm,istio-proxy,5,90
default,memcached-rate-us-west-1-6bbbcfbd58-6krrk,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6bbbcfbd58-6krrk,istio-proxy,6,89
default,memcached-rate-us-west-1-6bbbcfbd58-v2wmz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6bbbcfbd58-v2wmz,istio-proxy,5,91
default,memcached-reserve-us-central-1-766d88486c-6jdcb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-766d88486c-6jdcb,istio-proxy,5,91
default,memcached-reserve-us-central-1-766d88486c-bp8rl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-766d88486c-bp8rl,istio-proxy,5,90
default,memcached-reserve-us-east-1-5bc5bfccd5-k2qbl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5bc5bfccd5-k2qbl,istio-proxy,5,90
default,memcached-reserve-us-east-1-5bc5bfccd5-k82sn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5bc5bfccd5-k82sn,istio-proxy,5,92
default,memcached-reserve-us-south-1-67c5899bf9-tmd78,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-67c5899bf9-tmd78,istio-proxy,5,89
default,memcached-reserve-us-south-1-67c5899bf9-v7xt7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-67c5899bf9-v7xt7,istio-proxy,5,90
default,memcached-reserve-us-west-1-84dbc5d6d4-fl76t,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-84dbc5d6d4-fl76t,istio-proxy,5,89
default,memcached-reserve-us-west-1-84dbc5d6d4-q52zl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-84dbc5d6d4-q52zl,istio-proxy,6,90
default,mongodb-geo-us-central-1-5ff86cdcf8-d2f4h,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-central-1-5ff86cdcf8-d2f4h,istio-proxy,5,90
default,mongodb-geo-us-east-1-d767cbc86-2s8qm,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-east-1-d767cbc86-2s8qm,istio-proxy,5,89
default,mongodb-geo-us-south-1-774f96bd58-2f5hk,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-south-1-774f96bd58-2f5hk,istio-proxy,5,88
default,mongodb-geo-us-west-1-568b5fbcb9-sq7x6,hotel-reserv-geo-mongo,4,163
default,mongodb-geo-us-west-1-568b5fbcb9-sq7x6,istio-proxy,5,90
default,mongodb-profile-us-central-1-6d89f4bc48-htngr,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-central-1-6d89f4bc48-htngr,istio-proxy,5,89
default,mongodb-profile-us-east-1-9587447b-bb29k,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-east-1-9587447b-bb29k,istio-proxy,5,91
default,mongodb-profile-us-south-1-858dc86544-nxcvz,hotel-reserv-profile-mongo,3,160
default,mongodb-profile-us-south-1-858dc86544-nxcvz,istio-proxy,5,90
default,mongodb-profile-us-west-1-7df6bc5799-g6xzz,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-west-1-7df6bc5799-g6xzz,istio-proxy,5,90
default,mongodb-rate-us-central-1-69d788bdd7-9d526,hotel-reserv-rate-mongo,4,161
default,mongodb-rate-us-central-1-69d788bdd7-9d526,istio-proxy,5,91
default,mongodb-rate-us-east-1-7cc9b5765f-2wrdn,hotel-reserv-rate-mongo,3,160
default,mongodb-rate-us-east-1-7cc9b5765f-2wrdn,istio-proxy,5,89
default,mongodb-rate-us-south-1-799f78578c-ssmvh,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-south-1-799f78578c-ssmvh,istio-proxy,5,90
default,mongodb-rate-us-west-1-665fd7967b-jwwnq,hotel-reserv-rate-mongo,4,161
default,mongodb-rate-us-west-1-665fd7967b-jwwnq,istio-proxy,6,89
default,mongodb-recommendation-us-central-1-57df488678-tpjt2,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-central-1-57df488678-tpjt2,istio-proxy,6,90
default,mongodb-recommendation-us-east-1-7b666bb658-6bplq,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-east-1-7b666bb658-6bplq,istio-proxy,4,90
default,mongodb-recommendation-us-south-1-6f65768f86-m6z2z,hotel-reserv-recommendation-mongo,3,160
default,mongodb-recommendation-us-south-1-6f65768f86-m6z2z,istio-proxy,5,91
default,mongodb-recommendation-us-west-1-58b775746c-rqbbw,hotel-reserv-recommendation-mongo,6,164
default,mongodb-recommendation-us-west-1-58b775746c-rqbbw,istio-proxy,7,88
default,mongodb-reservation-us-central-1-56fbb7c66d-pz6tn,hotel-reserv-reservation-mongo,4,160
default,mongodb-reservation-us-central-1-56fbb7c66d-pz6tn,istio-proxy,6,92
default,mongodb-reservation-us-east-1-fcc446fd4-wzn97,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-east-1-fcc446fd4-wzn97,istio-proxy,5,91
default,mongodb-reservation-us-south-1-59b5b4c648-j6slm,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-south-1-59b5b4c648-j6slm,istio-proxy,5,89
default,mongodb-reservation-us-west-1-757dbbcfc5-pxkhg,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-west-1-757dbbcfc5-pxkhg,istio-proxy,6,89
default,mongodb-user-us-central-1-74df64b68b-v9jwj,hotel-reserv-user-mongo,4,166
default,mongodb-user-us-central-1-74df64b68b-v9jwj,istio-proxy,5,89
default,mongodb-user-us-east-1-7dfcfb7ccd-5drm8,hotel-reserv-user-mongo,3,165
default,mongodb-user-us-east-1-7dfcfb7ccd-5drm8,istio-proxy,6,92
default,mongodb-user-us-south-1-7f8d47cd94-c9q89,hotel-reserv-user-mongo,4,163
default,mongodb-user-us-south-1-7f8d47cd94-c9q89,istio-proxy,5,89
default,mongodb-user-us-west-1-b6d8f4dff-8t4nz,hotel-reserv-user-mongo,6,177
default,mongodb-user-us-west-1-b6d8f4dff-8t4nz,istio-proxy,5,91
default,profile-us-central-1-5dd4c9bff4-85tl6,hotel-reserv-profile,0,5
default,profile-us-central-1-5dd4c9bff4-85tl6,istio-proxy,5,89
default,profile-us-central-1-5dd4c9bff4-l9zst,hotel-reserv-profile,0,5
default,profile-us-central-1-5dd4c9bff4-l9zst,istio-proxy,5,89
default,profile-us-east-1-757475c54d-lbd58,hotel-reserv-profile,0,5
default,profile-us-east-1-757475c54d-lbd58,istio-proxy,5,90
default,profile-us-east-1-757475c54d-qkwll,hotel-reserv-profile,0,5
default,profile-us-east-1-757475c54d-qkwll,istio-proxy,5,92
default,profile-us-south-1-5f88474d6-5r4c9,hotel-reserv-profile,0,5
default,profile-us-south-1-5f88474d6-5r4c9,istio-proxy,6,89
default,profile-us-south-1-5f88474d6-7bdwt,hotel-reserv-profile,0,5
default,profile-us-south-1-5f88474d6-7bdwt,istio-proxy,6,90
default,profile-us-west-1-54fd9f7cc-2t2pp,hotel-reserv-profile,0,3
default,profile-us-west-1-54fd9f7cc-2t2pp,istio-proxy,6,90
default,profile-us-west-1-54fd9f7cc-n7hms,hotel-reserv-profile,0,3
default,profile-us-west-1-54fd9f7cc-n7hms,istio-proxy,6,91
default,rate-us-central-1-6849f55c98-f8vxv,hotel-reserv-rate,0,5
default,rate-us-central-1-6849f55c98-f8vxv,istio-proxy,5,88
default,rate-us-central-1-6849f55c98-rdh2g,hotel-reserv-rate,0,5
default,rate-us-central-1-6849f55c98-rdh2g,istio-proxy,6,91
default,rate-us-east-1-67f7976d54-cl4jg,hotel-reserv-rate,0,5
default,rate-us-east-1-67f7976d54-cl4jg,istio-proxy,5,90
default,rate-us-east-1-67f7976d54-kbkj9,hotel-reserv-rate,0,5
default,rate-us-east-1-67f7976d54-kbkj9,istio-proxy,6,90
default,rate-us-south-1-94c57f5c8-f4xmp,hotel-reserv-rate,0,5
default,rate-us-south-1-94c57f5c8-f4xmp,istio-proxy,6,90
default,rate-us-south-1-94c57f5c8-rwxfn,hotel-reserv-rate,0,5
default,rate-us-south-1-94c57f5c8-rwxfn,istio-proxy,5,90
default,rate-us-west-1-6544844c79-99j24,hotel-reserv-rate,0,3
default,rate-us-west-1-6544844c79-99j24,istio-proxy,5,91
default,rate-us-west-1-6544844c79-f8b2q,hotel-reserv-rate,0,3
default,rate-us-west-1-6544844c79-f8b2q,istio-proxy,5,92
default,recommendation-us-central-1-7ddcd5bc88-j7rjv,hotel-reserv-recommendation,0,5
default,recommendation-us-central-1-7ddcd5bc88-j7rjv,istio-proxy,5,90
default,recommendation-us-central-1-7ddcd5bc88-sppx7,hotel-reserv-recommendation,0,5
default,recommendation-us-central-1-7ddcd5bc88-sppx7,istio-proxy,5,89
default,recommendation-us-east-1-7f6947555d-n55wc,hotel-reserv-recommendation,0,5
default,recommendation-us-east-1-7f6947555d-n55wc,istio-proxy,6,91
default,recommendation-us-east-1-7f6947555d-vg5ks,hotel-reserv-recommendation,0,5
default,recommendation-us-east-1-7f6947555d-vg5ks,istio-proxy,5,91
default,recommendation-us-south-1-6b98cbd544-st5hd,hotel-reserv-recommendation,0,5
default,recommendation-us-south-1-6b98cbd544-st5hd,istio-proxy,5,89
default,recommendation-us-south-1-6b98cbd544-w5tkl,hotel-reserv-recommendation,0,5
default,recommendation-us-south-1-6b98cbd544-w5tkl,istio-proxy,5,89
default,recommendation-us-west-1-7b5784588c-p25x6,hotel-reserv-recommendation,6,10
default,recommendation-us-west-1-7b5784588c-p25x6,istio-proxy,11,90
default,recommendation-us-west-1-7b5784588c-zp6n5,hotel-reserv-recommendation,0,7
default,recommendation-us-west-1-7b5784588c-zp6n5,istio-proxy,4,89
default,reservation-us-central-1-67497bfc5-mvwtk,hotel-reserv-reservation,0,5
default,reservation-us-central-1-67497bfc5-mvwtk,istio-proxy,5,90
default,reservation-us-central-1-67497bfc5-q6r9t,hotel-reserv-reservation,0,5
default,reservation-us-central-1-67497bfc5-q6r9t,istio-proxy,5,90
default,reservation-us-east-1-967d85df-dpck2,hotel-reserv-reservation,0,5
