counter,region,service,endpoint,rps
209,us-west-1,frontend,frontend@POST@/user,821
209,us-west-1,user,user@POST@/user.User/CheckUser,1035
209,us-west-1,slateingress,slateingress@POST@/user,730
210,us-west-1,frontend,frontend@POST@/user,1499
210,us-west-1,user,user@POST@/user.User/CheckUser,1485
210,us-west-1,slateingress,slateingress@POST@/user,1479
211,us-west-1,frontend,frontend@POST@/user,1511
211,us-west-1,user,user@POST@/user.User/CheckUser,1495
211,us-west-1,slateingress,slateingress@POST@/user,1509
212,us-west-1,frontend,frontend@POST@/user,1475
212,us-west-1,user,user@POST@/user.User/CheckUser,1472
212,us-west-1,slateingress,slateingress@POST@/user,1491
213,us-west-1,frontend,frontend@POST@/user,1477
213,us-west-1,user,user@POST@/user.User/CheckUser,1458
213,us-west-1,slateingress,slateingress@POST@/user,1463
214,us-west-1,frontend,frontend@POST@/user,1508
214,us-west-1,user,user@POST@/user.User/CheckUser,1547
214,us-west-1,slateingress,slateingress@POST@/user,1525
215,us-west-1,frontend,frontend@POST@/user,1485
215,us-west-1,user,user@POST@/user.User/CheckUser,1497
215,us-west-1,slateingress,slateingress@POST@/user,1482
216,us-west-1,frontend,frontend@POST@/user,1475
216,us-west-1,user,user@POST@/user.User/CheckUser,1449
216,us-west-1,slateingress,slateingress@POST@/user,1479
217,us-west-1,frontend,frontend@POST@/user,1515
217,us-west-1,user,user@POST@/user.User/CheckUser,1531
217,us-west-1,slateingress,slateingress@POST@/user,1498
218,us-west-1,frontend,frontend@POST@/user,1502
218,us-west-1,user,user@POST@/user.User/CheckUser,1506
218,us-west-1,slateingress,slateingress@POST@/user,1527
219,us-west-1,frontend,frontend@POST@/user,1442
219,us-west-1,user,user@POST@/user.User/CheckUser,1441
219,us-west-1,slateingress,slateingress@POST@/user,1441
220,us-west-1,frontend,frontend@POST@/user,1485
220,us-west-1,user,user@POST@/user.User/CheckUser,1502
220,us-west-1,slateingress,slateingress@POST@/user,1469
221,us-west-1,frontend,frontend@POST@/user,1506
221,us-west-1,user,user@POST@/user.User/CheckUser,1472
221,us-west-1,slateingress,slateingress@POST@/user,1523
222,us-west-1,frontend,frontend@POST@/user,1412
222,us-west-1,user,user@POST@/user.User/CheckUser,1444
222,us-west-1,slateingress,slateingress@POST@/user,1421
223,us-west-1,frontend,frontend@POST@/user,1544
223,us-west-1,user,user@POST@/user.User/CheckUser,1585
223,us-west-1,slateingress,slateingress@POST@/user,1531
224,us-west-1,frontend,frontend@POST@/user,1586
224,us-west-1,user,user@POST@/user.User/CheckUser,1505
224,us-west-1,slateingress,slateingress@POST@/user,1583
225,us-west-1,frontend,frontend@POST@/user,1468
225,us-west-1,user,user@POST@/user.User/CheckUser,1482
225,us-west-1,slateingress,slateingress@POST@/user,1485
226,us-west-1,frontend,frontend@POST@/user,1511
226,us-west-1,user,user@POST@/user.User/CheckUser,1501
226,us-west-1,slateingress,slateingress@POST@/user,1494
227,us-west-1,frontend,frontend@POST@/user,1569
227,us-west-1,user,user@POST@/user.User/CheckUser,1561
227,us-west-1,slateingress,slateingress@POST@/user,1570
228,us-west-1,frontend,frontend@POST@/user,1516
228,us-west-1,user,user@POST@/user.User/CheckUser,1538
228,us-west-1,slateingress,slateingress@POST@/user,1523
229,us-west-1,frontend,frontend@POST@/user,1528
229,us-west-1,user,user@POST@/user.User/CheckUser,1517
229,us-west-1,slateingress,slateingress@POST@/user,1503
230,us-west-1,frontend,frontend@POST@/user,1473
230,us-west-1,user,user@POST@/user.User/CheckUser,1474
230,us-west-1,slateingress,slateingress@POST@/user,1504
231,us-west-1,frontend,frontend@POST@/user,1450
231,us-west-1,user,user@POST@/user.User/CheckUser,1446
231,us-west-1,slateingress,slateingress@POST@/user,1435
232,us-west-1,frontend,frontend@POST@/user,1443
232,us-west-1,user,user@POST@/user.User/CheckUser,1459
232,us-west-1,slateingress,slateingress@POST@/user,1457
233,us-west-1,frontend,frontend@POST@/user,1528
233,us-west-1,user,user@POST@/user.User/CheckUser,1506
233,us-west-1,slateingress,slateingress@POST@/user,1509
234,us-west-1,frontend,frontend@POST@/user,1471
234,us-west-1,user,user@POST@/user.User/CheckUser,1498
234,us-west-1,slateingress,slateingress@POST@/user,1476
235,us-west-1,frontend,frontend@POST@/user,1528
235,us-west-1,user,user@POST@/user.User/CheckUser,1543
235,us-west-1,slateingress,slateingress@POST@/user,1536
236,us-west-1,frontend,frontend@POST@/user,1537
236,us-west-1,user,user@POST@/user.User/CheckUser,1493
236,us-west-1,slateingress,slateingress@POST@/user,1541
237,us-west-1,frontend,frontend@POST@/user,1457
237,us-west-1,user,user@POST@/user.User/CheckUser,1482
237,us-west-1,slateingress,slateingress@POST@/user,1468
238,us-west-1,frontend,frontend@POST@/user,1479
238,us-west-1,user,user@POST@/user.User/CheckUser,1443
238,us-west-1,slateingress,slateingress@POST@/user,1456
239,us-west-1,frontend,frontend@POST@/user,1465
239,us-west-1,user,user@POST@/user.User/CheckUser,1502
239,us-west-1,slateingress,slateingress@POST@/user,1468
240,us-west-1,frontend,frontend@POST@/user,1539
240,us-west-1,user,user@POST@/user.User/CheckUser,1498
240,us-west-1,slateingress,slateingress@POST@/user,1543
241,us-west-1,frontend,frontend@POST@/user,1484
241,us-west-1,user,user@POST@/user.User/CheckUser,1547
241,us-west-1,slateingress,slateingress@POST@/user,1475
242,us-west-1,frontend,frontend@POST@/user,1544
242,us-west-1,user,user@POST@/user.User/CheckUser,1530
242,us-west-1,slateingress,slateingress@POST@/user,1554
243,us-west-1,frontend,frontend@POST@/user,1512
243,us-west-1,user,user@POST@/user.User/CheckUser,1501
243,us-west-1,slateingress,slateingress@POST@/user,1508
244,us-west-1,frontend,frontend@POST@/user,1534
244,us-west-1,user,user@POST@/user.User/CheckUser,1533
244,us-west-1,slateingress,slateingress@POST@/user,1535
245,us-west-1,frontend,frontend@POST@/user,1468
245,us-west-1,user,user@POST@/user.User/CheckUser,1480
245,us-west-1,slateingress,slateingress@POST@/user,1471
246,us-west-1,frontend,frontend@POST@/user,1508
246,us-west-1,user,user@POST@/user.User/CheckUser,1496
246,us-west-1,slateingress,slateingress@POST@/user,1516
247,us-west-1,frontend,frontend@POST@/user,1456
247,us-west-1,user,user@POST@/user.User/CheckUser,1444
247,us-west-1,slateingress,slateingress@POST@/user,1464
248,us-west-1,frontend,frontend@POST@/user,1490
248,us-west-1,user,user@POST@/user.User/CheckUser,1494
248,us-west-1,slateingress,slateingress@POST@/user,1457
249,us-west-1,frontend,frontend@POST@/user,1524
249,us-west-1,user,user@POST@/user.User/CheckUser,1560
249,us-west-1,slateingress,slateingress@POST@/user,1555
250,us-west-1,frontend,frontend@POST@/user,1584
250,us-west-1,user,user@POST@/user.User/CheckUser,1594
250,us-west-1,slateingress,slateingress@POST@/user,1579
251,us-west-1,frontend,frontend@POST@/user,1542
251,us-west-1,user,user@POST@/user.User/CheckUser,1495
251,us-west-1,slateingress,slateingress@POST@/user,1540
252,us-west-1,frontend,frontend@POST@/user,1463
252,us-west-1,user,user@POST@/user.User/CheckUser,1470
252,us-west-1,slateingress,slateingress@POST@/user,1480
253,us-west-1,frontend,frontend@POST@/user,1544
253,us-west-1,user,user@POST@/user.User/CheckUser,1548
253,us-west-1,slateingress,slateingress@POST@/user,1519
254,us-west-1,frontend,frontend@POST@/user,1507
254,us-west-1,user,user@POST@/user.User/CheckUser,1525
254,us-west-1,slateingress,slateingress@POST@/user,1527
255,us-west-1,frontend,frontend@POST@/user,1600
255,us-west-1,user,user@POST@/user.User/CheckUser,1584
255,us-west-1,slateingress,slateingress@POST@/user,1588
256,us-west-1,frontend,frontend@POST@/user,1563
256,us-west-1,user,user@POST@/user.User/CheckUser,1576
256,us-west-1,slateingress,slateingress@POST@/user,1563
257,us-west-1,frontend,frontend@POST@/user,1540
257,us-west-1,user,user@POST@/user.User/CheckUser,1527
257,us-west-1,slateingress,slateingress@POST@/user,1565
258,us-west-1,frontend,frontend@POST@/user,1508
258,us-west-1,user,user@POST@/user.User/CheckUser,1503
258,us-west-1,slateingress,slateingress@POST@/user,1482
259,us-west-1,frontend,frontend@POST@/user,1480
259,us-west-1,user,user@POST@/user.User/CheckUser,1471
259,us-west-1,slateingress,slateingress@POST@/user,1482
260,us-west-1,frontend,frontend@POST@/user,1510
260,us-west-1,user,user@POST@/user.User/CheckUser,1514
260,us-west-1,slateingress,slateingress@POST@/user,1527
261,us-west-1,frontend,frontend@POST@/user,1469
261,us-west-1,user,user@POST@/user.User/CheckUser,1489
261,us-west-1,slateingress,slateingress@POST@/user,1467
262,us-west-1,frontend,frontend@POST@/user,1537
262,us-west-1,user,user@POST@/user.User/CheckUser,1555
262,us-west-1,slateingress,slateingress@POST@/user,1516
263,us-west-1,frontend,frontend@POST@/user,1499
263,us-west-1,user,user@POST@/user.User/CheckUser,1495
263,us-west-1,slateingress,slateingress@POST@/user,1526
264,us-west-1,frontend,frontend@POST@/user,1501
264,us-west-1,user,user@POST@/user.User/CheckUser,1498
264,us-west-1,slateingress,slateingress@POST@/user,1503
265,us-west-1,frontend,frontend@POST@/user,1505
265,us-west-1,user,user@POST@/user.User/CheckUser,1493
265,us-west-1,slateingress,slateingress@POST@/user,1502
266,us-west-1,frontend,frontend@POST@/user,1421
266,us-west-1,user,user@POST@/user.User/CheckUser,1433
266,us-west-1,slateingress,slateingress@POST@/user,1418
267,us-west-1,frontend,frontend@POST@/user,1520
267,us-west-1,user,user@POST@/user.User/CheckUser,1468
267,us-west-1,slateingress,slateingress@POST@/user,1512
268,us-west-1,frontend,frontend@POST@/user,1399
268,us-west-1,user,user@POST@/user.User/CheckUser,1226
268,us-west-1,slateingress,slateingress@POST@/user,1434
