counter,region,service,endpoint,rps
212,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,547
212,us-west-1,frontend,frontend@GET@/recommendations,451
212,us-west-1,slateingress,slateingress@GET@/recommendations,317
212,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,21
213,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,318
213,us-west-1,frontend,frontend@GET@/recommendations,604
213,us-west-1,slateingress,slateingress@GET@/recommendations,603
213,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,564
214,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,614
214,us-west-1,frontend,frontend@GET@/recommendations,621
214,us-west-1,slateingress,slateingress@GET@/recommendations,603
214,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,570
215,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,614
215,us-west-1,frontend,frontend@GET@/recommendations,596
215,us-west-1,slateingress,slateingress@GET@/recommendations,617
215,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,611
216,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,587
216,us-west-1,frontend,frontend@GET@/recommendations,596
216,us-west-1,slateingress,slateingress@GET@/recommendations,621
216,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,611
217,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,587
217,us-west-1,frontend,frontend@GET@/recommendations,590
217,us-west-1,slateingress,slateingress@GET@/recommendations,615
217,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,620
218,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,587
218,us-west-1,frontend,frontend@GET@/recommendations,549
218,us-west-1,slateingress,slateingress@GET@/recommendations,580
218,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,608
219,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,580
219,us-west-1,frontend,frontend@GET@/recommendations,549
219,us-west-1,slateingress,slateingress@GET@/recommendations,589
219,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,608
220,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,613
220,us-west-1,frontend,frontend@GET@/recommendations,549
220,us-west-1,slateingress,slateingress@GET@/recommendations,589
220,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,587
221,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,613
221,us-west-1,frontend,frontend@GET@/recommendations,638
221,us-west-1,slateingress,slateingress@GET@/recommendations,632
221,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,587
222,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,613
222,us-west-1,frontend,frontend@GET@/recommendations,604
222,us-west-1,slateingress,slateingress@GET@/recommendations,610
222,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,292
223,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,595
223,us-west-1,frontend,frontend@GET@/recommendations,604
223,us-west-1,slateingress,slateingress@GET@/recommendations,610
223,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,597
224,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,588
224,us-west-1,frontend,frontend@GET@/recommendations,588
224,us-west-1,slateingress,slateingress@GET@/recommendations,575
224,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,588
225,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,595
225,us-west-1,frontend,frontend@GET@/recommendations,593
225,us-west-1,slateingress,slateingress@GET@/recommendations,568
225,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,582
226,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,595
226,us-west-1,frontend,frontend@GET@/recommendations,593
226,us-west-1,slateingress,slateingress@GET@/recommendations,551
226,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,593
227,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,609
227,us-west-1,frontend,frontend@GET@/recommendations,593
227,us-west-1,slateingress,slateingress@GET@/recommendations,580
227,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,585
228,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,587
228,us-west-1,frontend,frontend@GET@/recommendations,600
228,us-west-1,slateingress,slateingress@GET@/recommendations,608
228,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,585
229,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,610
229,us-west-1,frontend,frontend@GET@/recommendations,609
229,us-west-1,slateingress,slateingress@GET@/recommendations,634
229,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,619
230,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,613
230,us-west-1,frontend,frontend@GET@/recommendations,582
230,us-west-1,slateingress,slateingress@GET@/recommendations,563
230,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,585
231,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,593
231,us-west-1,frontend,frontend@GET@/recommendations,601
231,us-west-1,slateingress,slateingress@GET@/recommendations,619
231,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,626
232,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,611
232,us-west-1,frontend,frontend@GET@/recommendations,601
232,us-west-1,slateingress,slateingress@GET@/recommendations,619
232,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,626
233,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,611
233,us-west-1,frontend,frontend@GET@/recommendations,631
233,us-west-1,slateingress,slateingress@GET@/recommendations,605
233,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,611
234,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,611
234,us-west-1,frontend,frontend@GET@/recommendations,642
234,us-west-1,slateingress,slateingress@GET@/recommendations,605
234,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,611
235,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,468
235,us-west-1,frontend,frontend@GET@/recommendations,625
235,us-west-1,slateingress,slateingress@GET@/recommendations,605
235,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,611
236,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,268
236,us-west-1,frontend,frontend@GET@/recommendations,365
236,us-west-1,slateingress,slateingress@GET@/recommendations,490
236,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,303
237,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,224
237,us-west-1,frontend,frontend@GET@/recommendations,206
237,us-west-1,slateingress,slateingress@GET@/recommendations,490
237,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,218
238,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,224
238,us-west-1,frontend,frontend@GET@/recommendations,206
238,us-west-1,slateingress,slateingress@GET@/recommendations,298
238,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,197
239,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,111
239,us-west-1,frontend,frontend@GET@/recommendations,206
239,us-west-1,slateingress,slateingress@GET@/recommendations,515
239,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,197
240,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,111
240,us-west-1,frontend,frontend@GET@/recommendations,206
240,us-west-1,slateingress,slateingress@GET@/recommendations,253
240,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,99
241,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,100
241,us-west-1,frontend,frontend@GET@/recommendations,126
241,us-west-1,slateingress,slateingress@GET@/recommendations,140
241,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,114
242,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,60
242,us-west-1,frontend,frontend@GET@/recommendations,58
242,us-west-1,slateingress,slateingress@GET@/recommendations,76
242,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,58
243,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,57
243,us-west-1,frontend,frontend@GET@/recommendations,58
243,us-west-1,slateingress,slateingress@GET@/recommendations,65
243,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,55
244,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,57
244,us-west-1,frontend,frontend@GET@/recommendations,46
244,us-west-1,slateingress,slateingress@GET@/recommendations,64
244,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,55
245,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,47
245,us-west-1,frontend,frontend@GET@/recommendations,46
245,us-west-1,slateingress,slateingress@GET@/recommendations,64
245,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,47
246,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,47
246,us-west-1,frontend,frontend@GET@/recommendations,46
246,us-west-1,slateingress,slateingress@GET@/recommendations,71
246,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,47
247,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,45
247,us-west-1,frontend,frontend@GET@/recommendations,37
247,us-west-1,slateingress,slateingress@GET@/recommendations,63
247,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,39
248,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,26
248,us-west-1,frontend,frontend@GET@/recommendations,35
248,us-west-1,slateingress,slateingress@GET@/recommendations,30
248,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,35
249,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,26
249,us-west-1,frontend,frontend@GET@/recommendations,35
249,us-west-1,slateingress,slateingress@GET@/recommendations,31
249,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,17
250,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,28
250,us-west-1,frontend,frontend@GET@/recommendations,27
250,us-west-1,slateingress,slateingress@GET@/recommendations,28
250,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,20
251,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,28
251,us-west-1,frontend,frontend@GET@/recommendations,19
251,us-west-1,slateingress,slateingress@GET@/recommendations,28
251,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,20
252,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,16
252,us-west-1,frontend,frontend@GET@/recommendations,19
252,us-west-1,slateingress,slateingress@GET@/recommendations,25
252,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,20
253,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,16
253,us-west-1,frontend,frontend@GET@/recommendations,19
253,us-west-1,slateingress,slateingress@GET@/recommendations,27
253,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,22
254,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,7
254,us-west-1,frontend,frontend@GET@/recommendations,0
254,us-west-1,slateingress,slateingress@GET@/recommendations,4
254,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,11
255,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,4
255,us-west-1,frontend,frontend@GET@/recommendations,0
255,us-west-1,slateingress,slateingress@GET@/recommendations,0
255,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,3
256,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
256,us-west-1,frontend,frontend@GET@/recommendations,0
256,us-west-1,slateingress,slateingress@GET@/recommendations,0
256,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,3
257,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
257,us-west-1,frontend,frontend@GET@/recommendations,2
257,us-west-1,slateingress,slateingress@GET@/recommendations,3
257,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,3
258,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,2
258,us-west-1,frontend,frontend@GET@/recommendations,2
258,us-west-1,slateingress,slateingress@GET@/recommendations,3
258,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,2
259,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,2
259,us-west-1,frontend,frontend@GET@/recommendations,0
259,us-west-1,slateingress,slateingress@GET@/recommendations,0
259,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,2
260,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
260,us-west-1,frontend,frontend@GET@/recommendations,0
260,us-west-1,slateingress,slateingress@GET@/recommendations,0
260,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
261,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
261,us-west-1,frontend,frontend@GET@/recommendations,0
261,us-west-1,slateingress,slateingress@GET@/recommendations,0
261,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
262,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
262,us-west-1,frontend,frontend@GET@/recommendations,0
262,us-west-1,slateingress,slateingress@GET@/recommendations,0
262,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
263,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
263,us-west-1,frontend,frontend@GET@/recommendations,0
263,us-west-1,slateingress,slateingress@GET@/recommendations,0
263,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
264,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
264,us-west-1,frontend,frontend@GET@/recommendations,0
264,us-west-1,slateingress,slateingress@GET@/recommendations,0
264,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
265,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
265,us-west-1,frontend,frontend@GET@/recommendations,0
265,us-west-1,slateingress,slateingress@GET@/recommendations,0
265,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
266,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
266,us-west-1,frontend,frontend@GET@/recommendations,0
266,us-west-1,slateingress,slateingress@GET@/recommendations,0
266,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
267,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
267,us-west-1,frontend,frontend@GET@/recommendations,0
267,us-west-1,slateingress,slateingress@GET@/recommendations,0
267,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
