counter,region,service,endpoint,rps
21,us-west-1,search,search@POST@/search.Search/Nearby,1
22,us-west-1,frontend,frontend@GET@/hotels,500
22,us-west-1,rate,rate@POST@/rate.Rate/GetRates,43
22,us-west-1,geo,geo@POST@/geo.Geo/Nearby,40
22,us-west-1,search,search@POST@/search.Search/Nearby,66
23,us-west-1,frontend,frontend@GET@/hotels,0
23,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
23,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
23,us-west-1,search,search@POST@/search.Search/Nearby,0
24,us-west-1,frontend,frontend@GET@/hotels,0
24,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
24,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
24,us-west-1,search,search@POST@/search.Search/Nearby,66
25,us-west-1,frontend,frontend@GET@/hotels,91
25,us-west-1,rate,rate@POST@/rate.Rate/GetRates,43
25,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
25,us-west-1,search,search@POST@/search.Search/Nearby,0
26,us-west-1,frontend,frontend@GET@/hotels,0
26,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
26,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
26,us-west-1,search,search@POST@/search.Search/Nearby,0
27,us-west-1,frontend,frontend@GET@/hotels,0
27,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
27,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
27,us-west-1,search,search@POST@/search.Search/Nearby,0
28,us-west-1,frontend,frontend@GET@/hotels,0
28,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
28,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
28,us-west-1,search,search@POST@/search.Search/Nearby,0
29,us-west-1,frontend,frontend@GET@/hotels,0
29,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
29,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
29,us-west-1,search,search@POST@/search.Search/Nearby,0
30,us-west-1,frontend,frontend@GET@/hotels,0
30,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
30,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
30,us-west-1,search,search@POST@/search.Search/Nearby,0
31,us-west-1,frontend,frontend@GET@/hotels,0
31,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
31,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
31,us-west-1,search,search@POST@/search.Search/Nearby,0
32,us-west-1,frontend,frontend@GET@/hotels,0
32,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
32,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
32,us-west-1,search,search@POST@/search.Search/Nearby,0
33,us-west-1,frontend,frontend@GET@/hotels,0
33,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
33,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
33,us-west-1,search,search@POST@/search.Search/Nearby,0
34,us-west-1,frontend,frontend@GET@/hotels,0
34,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
34,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
34,us-west-1,search,search@POST@/search.Search/Nearby,0
35,us-west-1,frontend,frontend@GET@/hotels,0
35,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
35,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
35,us-west-1,search,search@POST@/search.Search/Nearby,0
36,us-west-1,frontend,frontend@GET@/hotels,0
36,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
36,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
36,us-west-1,search,search@POST@/search.Search/Nearby,0
37,us-west-1,frontend,frontend@GET@/hotels,0
37,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
37,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
37,us-west-1,search,search@POST@/search.Search/Nearby,0
38,us-west-1,frontend,frontend@GET@/hotels,0
38,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
38,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
38,us-west-1,search,search@POST@/search.Search/Nearby,0
39,us-west-1,frontend,frontend@GET@/hotels,0
39,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
39,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
39,us-west-1,search,search@POST@/search.Search/Nearby,0
40,us-west-1,frontend,frontend@GET@/hotels,0
40,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
40,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
40,us-west-1,search,search@POST@/search.Search/Nearby,0
41,us-west-1,frontend,frontend@GET@/hotels,0
41,us-west-1,rate,rate@POST@/rate.Rate/GetRates,0
41,us-west-1,geo,geo@POST@/geo.Geo/Nearby,0
41,us-west-1,search,search@POST@/search.Search/Nearby,0
