Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-69499f5576-ntznb,consul,11,51
default,consul-69499f5576-ntznb,istio-proxy,6,92
default,frontend-us-central-1-5b566cfdd7-62495,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5b566cfdd7-62495,istio-proxy,5,89
default,frontend-us-central-1-5b566cfdd7-b2jbm,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5b566cfdd7-b2jbm,istio-proxy,6,89
default,frontend-us-east-1-5d75df5849-28s7f,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5d75df5849-28s7f,istio-proxy,5,92
default,frontend-us-east-1-5d75df5849-dtqz9,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5d75df5849-dtqz9,istio-proxy,5,89
default,frontend-us-south-1-547f457fdc-b85k4,hotel-reserv-frontend,0,4
default,frontend-us-south-1-547f457fdc-b85k4,istio-proxy,6,90
default,frontend-us-south-1-547f457fdc-spdg2,hotel-reserv-frontend,0,4
default,frontend-us-south-1-547f457fdc-spdg2,istio-proxy,5,90
default,frontend-us-west-1-847df46548-mcdqq,hotel-reserv-frontend,0,15
default,frontend-us-west-1-847df46548-mcdqq,istio-proxy,5,120
default,frontend-us-west-1-847df46548-rlplb,hotel-reserv-frontend,0,24
default,frontend-us-west-1-847df46548-rlplb,istio-proxy,9,146
default,geo-us-central-1-5858b776f6-8gzq5,hotel-reserv-geo,0,5
default,geo-us-central-1-5858b776f6-8gzq5,istio-proxy,5,91
default,geo-us-central-1-5858b776f6-mf8tj,hotel-reserv-geo,0,5
default,geo-us-central-1-5858b776f6-mf8tj,istio-proxy,5,91
default,geo-us-east-1-6f4cf5b698-4vf9l,hotel-reserv-geo,0,5
default,geo-us-east-1-6f4cf5b698-4vf9l,istio-proxy,5,88
default,geo-us-east-1-6f4cf5b698-7xj9w,hotel-reserv-geo,0,5
default,geo-us-east-1-6f4cf5b698-7xj9w,istio-proxy,5,89
default,geo-us-south-1-5555fd9968-48xjq,hotel-reserv-geo,0,5
default,geo-us-south-1-5555fd9968-48xjq,istio-proxy,6,91
default,geo-us-south-1-5555fd9968-xmkwt,hotel-reserv-geo,0,5
default,geo-us-south-1-5555fd9968-xmkwt,istio-proxy,5,91
default,geo-us-west-1-664f9b769f-nxwxf,hotel-reserv-geo,0,7
default,geo-us-west-1-664f9b769f-nxwxf,istio-proxy,5,91
default,geo-us-west-1-664f9b769f-tw258,hotel-reserv-geo,0,8
default,geo-us-west-1-664f9b769f-tw258,istio-proxy,6,93
default,jaeger-9747d58c4-6xms7,hotel-reserv-jaeger,0,3696
default,jaeger-9747d58c4-6xms7,istio-proxy,5,92
default,memcached-profile-us-central-1-d4cd47b4c-66n52,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-d4cd47b4c-66n52,istio-proxy,5,90
default,memcached-profile-us-central-1-d4cd47b4c-lts9l,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-d4cd47b4c-lts9l,istio-proxy,5,90
default,memcached-profile-us-east-1-78d487659f-gx7n9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-78d487659f-gx7n9,istio-proxy,5,90
default,memcached-profile-us-east-1-78d487659f-sjrk7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-78d487659f-sjrk7,istio-proxy,5,92
default,memcached-profile-us-south-1-55f97d96c5-6frqb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-55f97d96c5-6frqb,istio-proxy,5,91
default,memcached-profile-us-south-1-55f97d96c5-kf7sz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-55f97d96c5-kf7sz,istio-proxy,5,92
default,memcached-profile-us-west-1-dddf567d6-nh42v,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-dddf567d6-nh42v,istio-proxy,6,91
default,memcached-profile-us-west-1-dddf567d6-xgdnj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-dddf567d6-xgdnj,istio-proxy,6,89
default,memcached-rate-us-central-1-7c8ff99b55-qsgxd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7c8ff99b55-qsgxd,istio-proxy,5,90
default,memcached-rate-us-central-1-7c8ff99b55-w6cs9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7c8ff99b55-w6cs9,istio-proxy,5,88
default,memcached-rate-us-east-1-56dc57bc89-6ck8m,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56dc57bc89-6ck8m,istio-proxy,5,89
default,memcached-rate-us-east-1-56dc57bc89-h7vpc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56dc57bc89-h7vpc,istio-proxy,5,92
default,memcached-rate-us-south-1-df8d4cb47-jmbvv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-df8d4cb47-jmbvv,istio-proxy,5,93
default,memcached-rate-us-south-1-df8d4cb47-lrgfm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-df8d4cb47-lrgfm,istio-proxy,5,90
default,memcached-rate-us-west-1-7dbc468998-pb7v2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7dbc468998-pb7v2,istio-proxy,6,91
default,memcached-rate-us-west-1-7dbc468998-tzgg2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7dbc468998-tzgg2,istio-proxy,5,90
default,memcached-reserve-us-central-1-766d88486c-6jdcb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-766d88486c-6jdcb,istio-proxy,6,91
default,memcached-reserve-us-central-1-766d88486c-bp8rl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-766d88486c-bp8rl,istio-proxy,5,90
default,memcached-reserve-us-east-1-5bc5bfccd5-k2qbl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5bc5bfccd5-k2qbl,istio-proxy,5,90
default,memcached-reserve-us-east-1-5bc5bfccd5-k82sn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5bc5bfccd5-k82sn,istio-proxy,5,92
default,memcached-reserve-us-south-1-67c5899bf9-tmd78,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-67c5899bf9-tmd78,istio-proxy,6,89
default,memcached-reserve-us-south-1-67c5899bf9-v7xt7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-67c5899bf9-v7xt7,istio-proxy,5,92
default,memcached-reserve-us-west-1-77f7d9c95b-dms2q,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-77f7d9c95b-dms2q,istio-proxy,5,90
default,memcached-reserve-us-west-1-77f7d9c95b-q269k,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-77f7d9c95b-q269k,istio-proxy,5,91
default,mongodb-geo-us-central-1-5ff86cdcf8-d2f4h,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-central-1-5ff86cdcf8-d2f4h,istio-proxy,5,90
default,mongodb-geo-us-east-1-d767cbc86-2s8qm,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-east-1-d767cbc86-2s8qm,istio-proxy,5,89
default,mongodb-geo-us-south-1-774f96bd58-2f5hk,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-south-1-774f96bd58-2f5hk,istio-proxy,6,88
default,mongodb-geo-us-west-1-7d85cffff7-rj9x6,hotel-reserv-geo-mongo,3,162
default,mongodb-geo-us-west-1-7d85cffff7-rj9x6,istio-proxy,6,90
default,mongodb-profile-us-central-1-6d89f4bc48-htngr,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-central-1-6d89f4bc48-htngr,istio-proxy,5,90
default,mongodb-profile-us-east-1-9587447b-bb29k,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-east-1-9587447b-bb29k,istio-proxy,5,91
default,mongodb-profile-us-south-1-858dc86544-nxcvz,hotel-reserv-profile-mongo,4,160
default,mongodb-profile-us-south-1-858dc86544-nxcvz,istio-proxy,5,89
default,mongodb-profile-us-west-1-7d75c8bd59-f8nbt,hotel-reserv-profile-mongo,4,164
default,mongodb-profile-us-west-1-7d75c8bd59-f8nbt,istio-proxy,5,92
default,mongodb-rate-us-central-1-69d788bdd7-9d526,hotel-reserv-rate-mongo,4,162
default,mongodb-rate-us-central-1-69d788bdd7-9d526,istio-proxy,6,91
default,mongodb-rate-us-east-1-7cc9b5765f-2wrdn,hotel-reserv-rate-mongo,3,160
default,mongodb-rate-us-east-1-7cc9b5765f-2wrdn,istio-proxy,5,89
default,mongodb-rate-us-south-1-799f78578c-ssmvh,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-south-1-799f78578c-ssmvh,istio-proxy,6,90
default,mongodb-rate-us-west-1-db95d75d4-bvtzq,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-west-1-db95d75d4-bvtzq,istio-proxy,5,90
default,mongodb-recommendation-us-central-1-57df488678-tpjt2,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-central-1-57df488678-tpjt2,istio-proxy,5,90
default,mongodb-recommendation-us-east-1-7b666bb658-6bplq,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-east-1-7b666bb658-6bplq,istio-proxy,6,90
default,mongodb-recommendation-us-south-1-6f65768f86-m6z2z,hotel-reserv-recommendation-mongo,3,160
default,mongodb-recommendation-us-south-1-6f65768f86-m6z2z,istio-proxy,6,91
default,mongodb-recommendation-us-west-1-7c79f96f87-jdlk8,hotel-reserv-recommendation-mongo,4,163
default,mongodb-recommendation-us-west-1-7c79f96f87-jdlk8,istio-proxy,7,90
default,mongodb-reservation-us-central-1-56fbb7c66d-pz6tn,hotel-reserv-reservation-mongo,3,160
default,mongodb-reservation-us-central-1-56fbb7c66d-pz6tn,istio-proxy,5,91
default,mongodb-reservation-us-east-1-fcc446fd4-wzn97,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-east-1-fcc446fd4-wzn97,istio-proxy,5,91
default,mongodb-reservation-us-south-1-59b5b4c648-j6slm,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-south-1-59b5b4c648-j6slm,istio-proxy,5,89
default,mongodb-reservation-us-west-1-67bfd46c59-wlr7n,hotel-reserv-reservation-mongo,4,162
default,mongodb-reservation-us-west-1-67bfd46c59-wlr7n,istio-proxy,6,91
default,mongodb-user-us-central-1-74df64b68b-v9jwj,hotel-reserv-user-mongo,3,166
default,mongodb-user-us-central-1-74df64b68b-v9jwj,istio-proxy,5,89
default,mongodb-user-us-east-1-7dfcfb7ccd-5drm8,hotel-reserv-user-mongo,3,165
default,mongodb-user-us-east-1-7dfcfb7ccd-5drm8,istio-proxy,6,91
default,mongodb-user-us-south-1-7f8d47cd94-c9q89,hotel-reserv-user-mongo,4,163
default,mongodb-user-us-south-1-7f8d47cd94-c9q89,istio-proxy,5,90
default,mongodb-user-us-west-1-6c6997c987-n2pmb,hotel-reserv-user-mongo,3,187
default,mongodb-user-us-west-1-6c6997c987-n2pmb,istio-proxy,6,91
default,profile-us-central-1-5dd4c9bff4-85tl6,hotel-reserv-profile,0,5
default,profile-us-central-1-5dd4c9bff4-85tl6,istio-proxy,5,89
default,profile-us-central-1-5dd4c9bff4-l9zst,hotel-reserv-profile,0,5
default,profile-us-central-1-5dd4c9bff4-l9zst,istio-proxy,5,89
default,profile-us-east-1-757475c54d-lbd58,hotel-reserv-profile,0,5
default,profile-us-east-1-757475c54d-lbd58,istio-proxy,5,90
default,profile-us-east-1-757475c54d-qkwll,hotel-reserv-profile,0,5
default,profile-us-east-1-757475c54d-qkwll,istio-proxy,5,92
default,profile-us-south-1-5f88474d6-5r4c9,hotel-reserv-profile,0,5
