Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-68c8fff89b-p8nhr,consul,10,38
default,consul-68c8fff89b-p8nhr,istio-proxy,4,91
default,frontend-us-central-1-867c6bcff5-jnm97,hotel-reserv-frontend,0,4
default,frontend-us-central-1-867c6bcff5-jnm97,istio-proxy,4,88
default,frontend-us-central-1-867c6bcff5-szngv,hotel-reserv-frontend,0,4
default,frontend-us-central-1-867c6bcff5-szngv,istio-proxy,4,88
default,frontend-us-east-1-7d66d5d65-28tln,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7d66d5d65-28tln,istio-proxy,4,90
default,frontend-us-east-1-7d66d5d65-wfqjq,hotel-reserv-frontend,0,5
default,frontend-us-east-1-7d66d5d65-wfqjq,istio-proxy,4,91
default,frontend-us-south-1-7f5d874fd7-5f9tc,hotel-reserv-frontend,0,5
default,frontend-us-south-1-7f5d874fd7-5f9tc,istio-proxy,4,88
default,frontend-us-south-1-7f5d874fd7-sfnjp,hotel-reserv-frontend,0,5
default,frontend-us-south-1-7f5d874fd7-sfnjp,istio-proxy,4,89
default,frontend-us-west-1-655c4df694-nlj2m,hotel-reserv-frontend,0,4
default,frontend-us-west-1-655c4df694-nlj2m,istio-proxy,4,90
default,frontend-us-west-1-655c4df694-sqsbs,hotel-reserv-frontend,0,3
default,frontend-us-west-1-655c4df694-sqsbs,istio-proxy,3,89
default,geo-us-central-1-8687664c56-mcswb,hotel-reserv-geo,0,5
default,geo-us-central-1-8687664c56-mcswb,istio-proxy,4,89
default,geo-us-central-1-8687664c56-zm58h,hotel-reserv-geo,0,5
default,geo-us-central-1-8687664c56-zm58h,istio-proxy,4,91
default,geo-us-east-1-c4c5f9886-8xj7c,hotel-reserv-geo,0,5
default,geo-us-east-1-c4c5f9886-8xj7c,istio-proxy,4,90
default,geo-us-east-1-c4c5f9886-bnv8z,hotel-reserv-geo,0,5
default,geo-us-east-1-c4c5f9886-bnv8z,istio-proxy,4,89
default,geo-us-south-1-774d7675d8-5bx4l,hotel-reserv-geo,0,5
default,geo-us-south-1-774d7675d8-5bx4l,istio-proxy,3,89
default,geo-us-south-1-774d7675d8-p2ngv,hotel-reserv-geo,0,5
default,geo-us-south-1-774d7675d8-p2ngv,istio-proxy,4,89
default,geo-us-west-1-98b48b59c-vj6kx,hotel-reserv-geo,0,5
default,geo-us-west-1-98b48b59c-vj6kx,istio-proxy,4,90
default,geo-us-west-1-98b48b59c-x6npt,hotel-reserv-geo,0,5
default,geo-us-west-1-98b48b59c-x6npt,istio-proxy,4,92
default,jaeger-6768fbdb-f6n5g,hotel-reserv-jaeger,0,637
