counter,region,service,endpoint,rps
220,us-west-1,slateingress,slateingress@GET@/hotels,0
221,us-west-1,frontend,frontend@GET@/hotels,17
221,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,25
221,us-west-1,slateingress,slateingress@GET@/hotels,0
221,us-west-1,rate,rate@POST@/rate.Rate/GetRates,67
222,us-west-1,frontend,frontend@GET@/hotels,142
222,us-west-1,geo,geo@POST@/geo.Geo/Nearby,66
222,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,25
222,us-west-1,slateingress,slateingress@GET@/hotels,68
222,us-west-1,search,search@POST@/search.Search/Nearby,239
222,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,98
222,us-west-1,rate,rate@POST@/rate.Rate/GetRates,67
223,us-west-1,frontend,frontend@GET@/hotels,505
223,us-west-1,geo,geo@POST@/geo.Geo/Nearby,494
223,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,509
223,us-west-1,slateingress,slateingress@GET@/hotels,488
223,us-west-1,search,search@POST@/search.Search/Nearby,506
223,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,347
223,us-west-1,rate,rate@POST@/rate.Rate/GetRates,499
224,us-west-1,frontend,frontend@GET@/hotels,498
224,us-west-1,geo,geo@POST@/geo.Geo/Nearby,528
224,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,521
224,us-west-1,slateingress,slateingress@GET@/hotels,509
224,us-west-1,search,search@POST@/search.Search/Nearby,489
224,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,498
224,us-west-1,rate,rate@POST@/rate.Rate/GetRates,502
225,us-west-1,frontend,frontend@GET@/hotels,498
225,us-west-1,geo,geo@POST@/geo.Geo/Nearby,528
225,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,503
225,us-west-1,slateingress,slateingress@GET@/hotels,521
225,us-west-1,search,search@POST@/search.Search/Nearby,508
225,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,518
225,us-west-1,rate,rate@POST@/rate.Rate/GetRates,502
226,us-west-1,frontend,frontend@GET@/hotels,498
226,us-west-1,geo,geo@POST@/geo.Geo/Nearby,502
226,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,518
226,us-west-1,slateingress,slateingress@GET@/hotels,495
226,us-west-1,search,search@POST@/search.Search/Nearby,508
226,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,550
226,us-west-1,rate,rate@POST@/rate.Rate/GetRates,513
227,us-west-1,frontend,frontend@GET@/hotels,485
227,us-west-1,geo,geo@POST@/geo.Geo/Nearby,474
227,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,493
227,us-west-1,slateingress,slateingress@GET@/hotels,451
227,us-west-1,search,search@POST@/search.Search/Nearby,508
227,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,486
227,us-west-1,rate,rate@POST@/rate.Rate/GetRates,513
228,us-west-1,frontend,frontend@GET@/hotels,498
228,us-west-1,geo,geo@POST@/geo.Geo/Nearby,487
228,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,460
228,us-west-1,slateingress,slateingress@GET@/hotels,453
228,us-west-1,search,search@POST@/search.Search/Nearby,494
228,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,486
228,us-west-1,rate,rate@POST@/rate.Rate/GetRates,462
229,us-west-1,frontend,frontend@GET@/hotels,498
229,us-west-1,geo,geo@POST@/geo.Geo/Nearby,498
229,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,478
229,us-west-1,slateingress,slateingress@GET@/hotels,479
229,us-west-1,search,search@POST@/search.Search/Nearby,496
229,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,526
229,us-west-1,rate,rate@POST@/rate.Rate/GetRates,462
230,us-west-1,frontend,frontend@GET@/hotels,465
230,us-west-1,geo,geo@POST@/geo.Geo/Nearby,498
230,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,478
230,us-west-1,slateingress,slateingress@GET@/hotels,477
230,us-west-1,search,search@POST@/search.Search/Nearby,467
230,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,526
230,us-west-1,rate,rate@POST@/rate.Rate/GetRates,462
231,us-west-1,frontend,frontend@GET@/hotels,470
231,us-west-1,geo,geo@POST@/geo.Geo/Nearby,491
231,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,480
231,us-west-1,slateingress,slateingress@GET@/hotels,481
231,us-west-1,search,search@POST@/search.Search/Nearby,467
231,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,512
231,us-west-1,rate,rate@POST@/rate.Rate/GetRates,475
232,us-west-1,frontend,frontend@GET@/hotels,470
232,us-west-1,geo,geo@POST@/geo.Geo/Nearby,496
232,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,482
232,us-west-1,slateingress,slateingress@GET@/hotels,481
232,us-west-1,search,search@POST@/search.Search/Nearby,467
232,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,512
232,us-west-1,rate,rate@POST@/rate.Rate/GetRates,475
233,us-west-1,frontend,frontend@GET@/hotels,490
233,us-west-1,geo,geo@POST@/geo.Geo/Nearby,244
233,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,514
233,us-west-1,slateingress,slateingress@GET@/hotels,481
233,us-west-1,search,search@POST@/search.Search/Nearby,467
233,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,540
233,us-west-1,rate,rate@POST@/rate.Rate/GetRates,527
234,us-west-1,frontend,frontend@GET@/hotels,519
234,us-west-1,geo,geo@POST@/geo.Geo/Nearby,245
234,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,514
234,us-west-1,slateingress,slateingress@GET@/hotels,514
234,us-west-1,search,search@POST@/search.Search/Nearby,521
234,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,537
234,us-west-1,rate,rate@POST@/rate.Rate/GetRates,527
235,us-west-1,frontend,frontend@GET@/hotels,510
235,us-west-1,geo,geo@POST@/geo.Geo/Nearby,501
235,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,517
235,us-west-1,slateingress,slateingress@GET@/hotels,513
235,us-west-1,search,search@POST@/search.Search/Nearby,490
235,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,516
235,us-west-1,rate,rate@POST@/rate.Rate/GetRates,517
236,us-west-1,frontend,frontend@GET@/hotels,493
236,us-west-1,geo,geo@POST@/geo.Geo/Nearby,482
236,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,488
236,us-west-1,slateingress,slateingress@GET@/hotels,501
236,us-west-1,search,search@POST@/search.Search/Nearby,491
236,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,501
236,us-west-1,rate,rate@POST@/rate.Rate/GetRates,498
237,us-west-1,frontend,frontend@GET@/hotels,494
237,us-west-1,geo,geo@POST@/geo.Geo/Nearby,501
237,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,488
237,us-west-1,slateingress,slateingress@GET@/hotels,485
237,us-west-1,search,search@POST@/search.Search/Nearby,498
237,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,501
237,us-west-1,rate,rate@POST@/rate.Rate/GetRates,498
238,us-west-1,frontend,frontend@GET@/hotels,517
238,us-west-1,geo,geo@POST@/geo.Geo/Nearby,501
238,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,523
238,us-west-1,slateingress,slateingress@GET@/hotels,495
238,us-west-1,search,search@POST@/search.Search/Nearby,495
238,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,494
238,us-west-1,rate,rate@POST@/rate.Rate/GetRates,498
239,us-west-1,frontend,frontend@GET@/hotels,517
239,us-west-1,geo,geo@POST@/geo.Geo/Nearby,501
239,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,523
239,us-west-1,slateingress,slateingress@GET@/hotels,513
239,us-west-1,search,search@POST@/search.Search/Nearby,512
239,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,494
239,us-west-1,rate,rate@POST@/rate.Rate/GetRates,542
240,us-west-1,frontend,frontend@GET@/hotels,517
240,us-west-1,geo,geo@POST@/geo.Geo/Nearby,474
240,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,523
240,us-west-1,slateingress,slateingress@GET@/hotels,475
240,us-west-1,search,search@POST@/search.Search/Nearby,511
240,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,516
240,us-west-1,rate,rate@POST@/rate.Rate/GetRates,441
241,us-west-1,frontend,frontend@GET@/hotels,459
241,us-west-1,geo,geo@POST@/geo.Geo/Nearby,486
241,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,469
241,us-west-1,slateingress,slateingress@GET@/hotels,485
241,us-west-1,search,search@POST@/search.Search/Nearby,479
241,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,500
241,us-west-1,rate,rate@POST@/rate.Rate/GetRates,441
242,us-west-1,frontend,frontend@GET@/hotels,518
242,us-west-1,geo,geo@POST@/geo.Geo/Nearby,486
242,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,509
242,us-west-1,slateingress,slateingress@GET@/hotels,500
242,us-west-1,search,search@POST@/search.Search/Nearby,504
242,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,499
242,us-west-1,rate,rate@POST@/rate.Rate/GetRates,476
243,us-west-1,frontend,frontend@GET@/hotels,499
243,us-west-1,geo,geo@POST@/geo.Geo/Nearby,488
243,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,509
243,us-west-1,slateingress,slateingress@GET@/hotels,500
243,us-west-1,search,search@POST@/search.Search/Nearby,489
243,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,524
243,us-west-1,rate,rate@POST@/rate.Rate/GetRates,518
244,us-west-1,frontend,frontend@GET@/hotels,499
244,us-west-1,geo,geo@POST@/geo.Geo/Nearby,499
244,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,502
244,us-west-1,slateingress,slateingress@GET@/hotels,511
244,us-west-1,search,search@POST@/search.Search/Nearby,489
244,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,524
244,us-west-1,rate,rate@POST@/rate.Rate/GetRates,516
245,us-west-1,frontend,frontend@GET@/hotels,496
245,us-west-1,geo,geo@POST@/geo.Geo/Nearby,499
245,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,502
245,us-west-1,slateingress,slateingress@GET@/hotels,517
245,us-west-1,search,search@POST@/search.Search/Nearby,500
245,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,533
245,us-west-1,rate,rate@POST@/rate.Rate/GetRates,515
246,us-west-1,frontend,frontend@GET@/hotels,496
246,us-west-1,geo,geo@POST@/geo.Geo/Nearby,499
246,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,503
246,us-west-1,slateingress,slateingress@GET@/hotels,517
246,us-west-1,search,search@POST@/search.Search/Nearby,500
246,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,533
246,us-west-1,rate,rate@POST@/rate.Rate/GetRates,515
247,us-west-1,frontend,frontend@GET@/hotels,502
247,us-west-1,geo,geo@POST@/geo.Geo/Nearby,506
247,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,530
247,us-west-1,slateingress,slateingress@GET@/hotels,491
247,us-west-1,search,search@POST@/search.Search/Nearby,524
247,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,518
247,us-west-1,rate,rate@POST@/rate.Rate/GetRates,506
248,us-west-1,frontend,frontend@GET@/hotels,502
248,us-west-1,geo,geo@POST@/geo.Geo/Nearby,506
248,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,530
248,us-west-1,slateingress,slateingress@GET@/hotels,519
248,us-west-1,search,search@POST@/search.Search/Nearby,494
248,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,504
248,us-west-1,rate,rate@POST@/rate.Rate/GetRates,506
249,us-west-1,frontend,frontend@GET@/hotels,493
249,us-west-1,geo,geo@POST@/geo.Geo/Nearby,492
249,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,491
249,us-west-1,slateingress,slateingress@GET@/hotels,511
249,us-west-1,search,search@POST@/search.Search/Nearby,462
249,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,494
249,us-west-1,rate,rate@POST@/rate.Rate/GetRates,506
250,us-west-1,frontend,frontend@GET@/hotels,475
250,us-west-1,geo,geo@POST@/geo.Geo/Nearby,502
250,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,491
250,us-west-1,slateingress,slateingress@GET@/hotels,511
250,us-west-1,search,search@POST@/search.Search/Nearby,462
250,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,483
250,us-west-1,rate,rate@POST@/rate.Rate/GetRates,471
251,us-west-1,frontend,frontend@GET@/hotels,488
251,us-west-1,geo,geo@POST@/geo.Geo/Nearby,508
251,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,463
251,us-west-1,slateingress,slateingress@GET@/hotels,505
251,us-west-1,search,search@POST@/search.Search/Nearby,513
