counter,region,service,endpoint,rps
196,us-west-1,frontend,frontend@POST@/user,40
196,us-west-1,user,user@POST@/user.User/CheckUser,38
196,us-west-1,slateingress,slateingress@POST@/user,3
197,us-west-1,frontend,frontend@POST@/user,636
197,us-west-1,user,user@POST@/user.User/CheckUser,597
197,us-west-1,slateingress,slateingress@POST@/user,884
198,us-west-1,frontend,frontend@POST@/user,1008
198,us-west-1,user,user@POST@/user.User/CheckUser,601
198,us-west-1,slateingress,slateingress@POST@/user,679
199,us-west-1,frontend,frontend@POST@/user,1008
199,us-west-1,user,user@POST@/user.User/CheckUser,1016
199,us-west-1,slateingress,slateingress@POST@/user,1120
200,us-west-1,frontend,frontend@POST@/user,1019
200,us-west-1,user,user@POST@/user.User/CheckUser,1110
200,us-west-1,slateingress,slateingress@POST@/user,1120
201,us-west-1,frontend,frontend@POST@/user,547
201,us-west-1,user,user@POST@/user.User/CheckUser,1110
201,us-west-1,slateingress,slateingress@POST@/user,1051
202,us-west-1,frontend,frontend@POST@/user,565
202,us-west-1,user,user@POST@/user.User/CheckUser,1103
202,us-west-1,slateingress,slateingress@POST@/user,1051
203,us-west-1,frontend,frontend@POST@/user,1074
203,us-west-1,user,user@POST@/user.User/CheckUser,1103
203,us-west-1,slateingress,slateingress@POST@/user,1069
204,us-west-1,frontend,frontend@POST@/user,1074
204,us-west-1,user,user@POST@/user.User/CheckUser,1103
204,us-west-1,slateingress,slateingress@POST@/user,1069
205,us-west-1,frontend,frontend@POST@/user,1132
205,us-west-1,user,user@POST@/user.User/CheckUser,1114
205,us-west-1,slateingress,slateingress@POST@/user,1084
206,us-west-1,frontend,frontend@POST@/user,1132
206,us-west-1,user,user@POST@/user.User/CheckUser,1129
206,us-west-1,slateingress,slateingress@POST@/user,1138
207,us-west-1,frontend,frontend@POST@/user,1087
207,us-west-1,user,user@POST@/user.User/CheckUser,1088
207,us-west-1,slateingress,slateingress@POST@/user,1138
208,us-west-1,frontend,frontend@POST@/user,1068
208,us-west-1,user,user@POST@/user.User/CheckUser,1028
208,us-west-1,slateingress,slateingress@POST@/user,1080
209,us-west-1,frontend,frontend@POST@/user,1051
209,us-west-1,user,user@POST@/user.User/CheckUser,1073
209,us-west-1,slateingress,slateingress@POST@/user,1107
210,us-west-1,frontend,frontend@POST@/user,1051
210,us-west-1,user,user@POST@/user.User/CheckUser,1073
