,src_endpoint,src_cluster,dst_endpiont,dst_cluster,weight
0,frontend@GET@/hotels,us-south-1,profile@POST@/profile.Profile/GetProfiles,us-south-1,53.999999712136294
1,frontend@GET@/hotels,us-south-1,reservation@POST@/reservation.Reservation/CheckAvailability,us-south-1,53.999999711659015
2,frontend@GET@/hotels,us-south-1,search@POST@/search.Search/Nearby,us-south-1,53.99999970210163
3,slateingress@GET@/hotels,us-south-1,frontend@GET@/hotels,us-south-1,53.99999973163631
4,search@POST@/search.Search/Nearby,us-south-1,geo@POST@/geo.Geo/Nearby,us-south-1,53.99999969531472
5,search@POST@/search.Search/Nearby,us-south-1,rate@POST@/rate.Rate/GetRates,us-south-1,53.99999969516876
6,slateingress@POST@/user,us-south-1,frontend@POST@/user,us-south-1,49.0
7,frontend@POST@/user,us-south-1,user@POST@/user.User/CheckUser,us-south-1,49.0
8,frontend@GET@/recommendations,us-south-1,profile@POST@/profile.Profile/GetProfiles,us-south-1,50.99999986450273
9,frontend@GET@/recommendations,us-south-1,recommendation@POST@/recommendation.Recommendation/GetRecommendations,us-south-1,50.99999986245277
10,slateingress@GET@/recommendations,us-south-1,frontend@GET@/recommendations,us-south-1,50.999999884557575
11,slateingress@POST@/reservation,us-south-1,frontend@POST@/reservation,us-south-1,49.0
12,frontend@POST@/reservation,us-south-1,reservation@POST@/reservation.Reservation/MakeReservation,us-south-1,49.0
13,frontend@POST@/reservation,us-south-1,user@POST@/user.User/CheckUser,us-south-1,49.0
14,SOURCE,XXXX,slateingress@GET@/hotels,us-south-1,54.0
15,SOURCE,XXXX,slateingress@POST@/user,us-south-1,49.0
16,SOURCE,XXXX,slateingress@GET@/recommendations,us-south-1,51.0
17,SOURCE,XXXX,slateingress@POST@/reservation,us-south-1,49.0
18,slateingress@POST@/user,us-south-1,slateingress@POST@/user,us-south-1,49.0
19,slateingress@GET@/recommendations,us-south-1,slateingress@GET@/recommendations,us-south-1,51.0
20,slateingress@POST@/reservation,us-south-1,slateingress@POST@/reservation,us-south-1,49.0
21,slateingress@GET@/hotels,us-south-1,slateingress@GET@/hotels,us-south-1,54.0
22,profile@POST@/profile.Profile/GetProfiles,us-south-1,profile@POST@/profile.Profile/GetProfiles,us-south-1,104.9999996062609
23,recommendation@POST@/recommendation.Recommendation/GetRecommendations,us-south-1,recommendation@POST@/recommendation.Recommendation/GetRecommendations,us-south-1,50.99999987555321
24,user@POST@/user.User/CheckUser,us-south-1,user@POST@/user.User/CheckUser,us-south-1,98.0
25,search@POST@/search.Search/Nearby,us-south-1,search@POST@/search.Search/Nearby,us-south-1,53.99999971442923
26,rate@POST@/rate.Rate/GetRates,us-south-1,rate@POST@/rate.Rate/GetRates,us-south-1,53.999999710794114
27,geo@POST@/geo.Geo/Nearby,us-south-1,geo@POST@/geo.Geo/Nearby,us-south-1,53.99999971103753
28,frontend@GET@/hotels,us-south-1,frontend@GET@/hotels,us-south-1,53.99999973163631
29,frontend@GET@/recommendations,us-south-1,frontend@GET@/recommendations,us-south-1,50.999999884557575
30,frontend@POST@/user,us-south-1,frontend@POST@/user,us-south-1,49.0
31,frontend@POST@/reservation,us-south-1,frontend@POST@/reservation,us-south-1,49.0
32,reservation@POST@/reservation.Reservation/CheckAvailability,us-south-1,reservation@POST@/reservation.Reservation/CheckAvailability,us-south-1,53.9999997270559
33,reservation@POST@/reservation.Reservation/MakeReservation,us-south-1,reservation@POST@/reservation.Reservation/MakeReservation,us-south-1,49.0
