Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-579fdf6d4b-9jxkr,consul,11,35
default,consul-579fdf6d4b-9jxkr,istio-proxy,6,95
default,frontend-us-central-1-7cc85dc55c-5p5hn,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7cc85dc55c-5p5hn,istio-proxy,6,93
default,frontend-us-central-1-7cc85dc55c-vhxz2,hotel-reserv-frontend,9,7
default,frontend-us-central-1-7cc85dc55c-vhxz2,istio-proxy,6,91
default,frontend-us-east-1-55755fbbf8-5qclj,hotel-reserv-frontend,10,7
default,frontend-us-east-1-55755fbbf8-5qclj,istio-proxy,7,93
default,frontend-us-east-1-55755fbbf8-6vdk2,hotel-reserv-frontend,0,4
default,frontend-us-east-1-55755fbbf8-6vdk2,istio-proxy,55,91
default,frontend-us-south-1-57b869b49d-rxg5w,hotel-reserv-frontend,0,4
default,frontend-us-south-1-57b869b49d-rxg5w,istio-proxy,6,92
default,frontend-us-south-1-57b869b49d-vzrr6,hotel-reserv-frontend,0,4
default,frontend-us-south-1-57b869b49d-vzrr6,istio-proxy,6,94
default,frontend-us-west-1-6548b5ff7d-m49sl,hotel-reserv-frontend,0,4
default,frontend-us-west-1-6548b5ff7d-m49sl,istio-proxy,7,94
default,frontend-us-west-1-6548b5ff7d-zvk44,hotel-reserv-frontend,43,10
default,frontend-us-west-1-6548b5ff7d-zvk44,istio-proxy,6,91
default,geo-us-central-1-787bfbff6f-dpbm9,hotel-reserv-geo,0,7
default,geo-us-central-1-787bfbff6f-dpbm9,istio-proxy,6,92
default,geo-us-central-1-787bfbff6f-wmbr2,hotel-reserv-geo,0,6
default,geo-us-central-1-787bfbff6f-wmbr2,istio-proxy,6,92
default,geo-us-east-1-5ffbfbbb94-7jn9n,hotel-reserv-geo,0,6
default,geo-us-east-1-5ffbfbbb94-7jn9n,istio-proxy,6,92
default,geo-us-east-1-5ffbfbbb94-jzvl5,hotel-reserv-geo,3,7
default,geo-us-east-1-5ffbfbbb94-jzvl5,istio-proxy,7,92
default,geo-us-south-1-8694949f96-2zjnj,hotel-reserv-geo,1,6
default,geo-us-south-1-8694949f96-2zjnj,istio-proxy,7,94
default,geo-us-south-1-8694949f96-t6vd6,hotel-reserv-geo,0,6
default,geo-us-south-1-8694949f96-t6vd6,istio-proxy,8,91
default,geo-us-west-1-68d66b454-2tvqz,hotel-reserv-geo,0,10
default,geo-us-west-1-68d66b454-2tvqz,istio-proxy,5,92
default,geo-us-west-1-68d66b454-jbhlh,hotel-reserv-geo,0,6
default,geo-us-west-1-68d66b454-jbhlh,istio-proxy,3,90
default,jaeger-75c444bb66-mn95v,hotel-reserv-jaeger,8,18
default,jaeger-75c444bb66-mn95v,istio-proxy,5,94
default,memcached-profile-us-central-1-84bf8dfccb-wbz7d,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-84bf8dfccb-wbz7d,istio-proxy,3,91
default,memcached-profile-us-central-1-84bf8dfccb-wvl42,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-84bf8dfccb-wvl42,istio-proxy,6,92
default,memcached-profile-us-east-1-8c64b59c8-2vfbd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-8c64b59c8-2vfbd,istio-proxy,6,91
default,memcached-profile-us-east-1-8c64b59c8-d2r5b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-8c64b59c8-d2r5b,istio-proxy,5,92
default,memcached-profile-us-south-1-85d48d57dd-7m5dg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-85d48d57dd-7m5dg,istio-proxy,7,95
default,memcached-profile-us-south-1-85d48d57dd-p9b8s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-85d48d57dd-p9b8s,istio-proxy,7,91
default,memcached-profile-us-west-1-557f6d7666-2cgzp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-557f6d7666-2cgzp,istio-proxy,5,96
