Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-579fdf6d4b-9jxkr,consul,12,36
default,consul-579fdf6d4b-9jxkr,istio-proxy,3,94
default,frontend-us-central-1-7cc85dc55c-5p5hn,hotel-reserv-frontend,179,8
default,frontend-us-central-1-7cc85dc55c-5p5hn,istio-proxy,478,95
default,frontend-us-central-1-7cc85dc55c-vhxz2,hotel-reserv-frontend,196,8
default,frontend-us-central-1-7cc85dc55c-vhxz2,istio-proxy,433,93
default,frontend-us-east-1-55755fbbf8-5qclj,hotel-reserv-frontend,173,8
default,frontend-us-east-1-55755fbbf8-5qclj,istio-proxy,405,96
default,frontend-us-east-1-55755fbbf8-6vdk2,hotel-reserv-frontend,144,8
default,frontend-us-east-1-55755fbbf8-6vdk2,istio-proxy,377,93
default,frontend-us-south-1-57b869b49d-rxg5w,hotel-reserv-frontend,197,8
default,frontend-us-south-1-57b869b49d-rxg5w,istio-proxy,481,95
default,frontend-us-south-1-57b869b49d-vzrr6,hotel-reserv-frontend,193,8
default,frontend-us-south-1-57b869b49d-vzrr6,istio-proxy,491,96
default,frontend-us-west-1-6548b5ff7d-m49sl,hotel-reserv-frontend,556,11
default,frontend-us-west-1-6548b5ff7d-m49sl,istio-proxy,1442,104
default,frontend-us-west-1-6548b5ff7d-zvk44,hotel-reserv-frontend,610,11
default,frontend-us-west-1-6548b5ff7d-zvk44,istio-proxy,1574,104
default,geo-us-central-1-787bfbff6f-dpbm9,hotel-reserv-geo,28,7
default,geo-us-central-1-787bfbff6f-dpbm9,istio-proxy,52,93
default,geo-us-central-1-787bfbff6f-wmbr2,hotel-reserv-geo,27,8
default,geo-us-central-1-787bfbff6f-wmbr2,istio-proxy,32,93
default,geo-us-east-1-5ffbfbbb94-7jn9n,hotel-reserv-geo,21,7
default,geo-us-east-1-5ffbfbbb94-7jn9n,istio-proxy,42,93
default,geo-us-east-1-5ffbfbbb94-jzvl5,hotel-reserv-geo,19,7
default,geo-us-east-1-5ffbfbbb94-jzvl5,istio-proxy,49,92
default,geo-us-south-1-8694949f96-2zjnj,hotel-reserv-geo,28,8
default,geo-us-south-1-8694949f96-2zjnj,istio-proxy,53,94
default,geo-us-south-1-8694949f96-t6vd6,hotel-reserv-geo,26,8
default,geo-us-south-1-8694949f96-t6vd6,istio-proxy,54,91
default,geo-us-west-1-68d66b454-2tvqz,hotel-reserv-geo,85,8
default,geo-us-west-1-68d66b454-2tvqz,istio-proxy,171,93
default,geo-us-west-1-68d66b454-jbhlh,hotel-reserv-geo,87,8
default,geo-us-west-1-68d66b454-jbhlh,istio-proxy,175,91
default,jaeger-75c444bb66-mn95v,hotel-reserv-jaeger,247,167
default,jaeger-75c444bb66-mn95v,istio-proxy,3,94
default,memcached-profile-us-central-1-84bf8dfccb-wbz7d,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-84bf8dfccb-wbz7d,istio-proxy,3,91
