Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-579fdf6d4b-9jxkr,consul,10,35
default,consul-579fdf6d4b-9jxkr,istio-proxy,6,95
default,frontend-us-central-1-7cc85dc55c-5p5hn,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7cc85dc55c-5p5hn,istio-proxy,6,93
default,frontend-us-central-1-7cc85dc55c-vhxz2,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7cc85dc55c-vhxz2,istio-proxy,7,91
default,frontend-us-east-1-55755fbbf8-5qclj,hotel-reserv-frontend,0,4
default,frontend-us-east-1-55755fbbf8-5qclj,istio-proxy,7,93
default,frontend-us-east-1-55755fbbf8-6vdk2,hotel-reserv-frontend,0,4
default,frontend-us-east-1-55755fbbf8-6vdk2,istio-proxy,5,90
default,frontend-us-south-1-57b869b49d-rxg5w,hotel-reserv-frontend,0,4
default,frontend-us-south-1-57b869b49d-rxg5w,istio-proxy,8,92
default,frontend-us-south-1-57b869b49d-vzrr6,hotel-reserv-frontend,0,4
default,frontend-us-south-1-57b869b49d-vzrr6,istio-proxy,8,94
default,frontend-us-west-1-6548b5ff7d-m49sl,hotel-reserv-frontend,0,4
default,frontend-us-west-1-6548b5ff7d-m49sl,istio-proxy,7,94
default,frontend-us-west-1-6548b5ff7d-zvk44,hotel-reserv-frontend,0,3
default,frontend-us-west-1-6548b5ff7d-zvk44,istio-proxy,8,91
default,geo-us-central-1-787bfbff6f-dpbm9,hotel-reserv-geo,0,7
default,geo-us-central-1-787bfbff6f-dpbm9,istio-proxy,7,92
default,geo-us-central-1-787bfbff6f-wmbr2,hotel-reserv-geo,0,6
default,geo-us-central-1-787bfbff6f-wmbr2,istio-proxy,6,92
default,geo-us-east-1-5ffbfbbb94-7jn9n,hotel-reserv-geo,0,6
default,geo-us-east-1-5ffbfbbb94-7jn9n,istio-proxy,7,92
default,geo-us-east-1-5ffbfbbb94-jzvl5,hotel-reserv-geo,0,6
default,geo-us-east-1-5ffbfbbb94-jzvl5,istio-proxy,7,92
default,geo-us-south-1-8694949f96-2zjnj,hotel-reserv-geo,0,6
default,geo-us-south-1-8694949f96-2zjnj,istio-proxy,9,93
