Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-79bf76685b-lrgng,consul,9,37
default,consul-79bf76685b-lrgng,istio-proxy,4,90
default,frontend-us-central-1-68588bd69f-f6v4m,hotel-reserv-frontend,196,8
default,frontend-us-central-1-68588bd69f-f6v4m,istio-proxy,455,90
default,frontend-us-central-1-68588bd69f-w5jph,hotel-reserv-frontend,198,8
default,frontend-us-central-1-68588bd69f-w5jph,istio-proxy,352,90
default,frontend-us-east-1-74646b97d-6dqlx,hotel-reserv-frontend,384,8
default,frontend-us-east-1-74646b97d-6dqlx,istio-proxy,831,89
default,frontend-us-east-1-74646b97d-p2s68,hotel-reserv-frontend,377,8
default,frontend-us-east-1-74646b97d-p2s68,istio-proxy,892,91
default,frontend-us-south-1-97dbb5d9d-4f6m4,hotel-reserv-frontend,199,8
default,frontend-us-south-1-97dbb5d9d-4f6m4,istio-proxy,474,89
default,frontend-us-south-1-97dbb5d9d-ttk86,hotel-reserv-frontend,194,8
default,frontend-us-south-1-97dbb5d9d-ttk86,istio-proxy,479,88
default,frontend-us-west-1-667dc68974-bn845,hotel-reserv-frontend,589,11
default,frontend-us-west-1-667dc68974-bn845,istio-proxy,1562,101
default,frontend-us-west-1-667dc68974-d6dv9,hotel-reserv-frontend,578,10
default,frontend-us-west-1-667dc68974-d6dv9,istio-proxy,1452,101
default,geo-us-central-1-5958dd488f-c2nzl,hotel-reserv-geo,27,7
default,geo-us-central-1-5958dd488f-c2nzl,istio-proxy,49,87
default,geo-us-central-1-5958dd488f-chzt7,hotel-reserv-geo,27,8
default,geo-us-central-1-5958dd488f-chzt7,istio-proxy,50,87
default,geo-us-east-1-6bf5bbdcd9-m2rt5,hotel-reserv-geo,53,8
default,geo-us-east-1-6bf5bbdcd9-m2rt5,istio-proxy,96,87
default,geo-us-east-1-6bf5bbdcd9-slz84,hotel-reserv-geo,53,8
default,geo-us-east-1-6bf5bbdcd9-slz84,istio-proxy,93,87
default,geo-us-south-1-7c68cc5958-6rf46,hotel-reserv-geo,25,8
default,geo-us-south-1-7c68cc5958-6rf46,istio-proxy,56,90
default,geo-us-south-1-7c68cc5958-kb82v,hotel-reserv-geo,26,8
default,geo-us-south-1-7c68cc5958-kb82v,istio-proxy,52,88
default,geo-us-west-1-c75495444-klh8q,hotel-reserv-geo,87,8
default,geo-us-west-1-c75495444-klh8q,istio-proxy,145,87
default,geo-us-west-1-c75495444-xmxrg,hotel-reserv-geo,81,8
default,geo-us-west-1-c75495444-xmxrg,istio-proxy,177,91
default,jaeger-8fb7755dd-drkq7,hotel-reserv-jaeger,235,222
default,jaeger-8fb7755dd-drkq7,istio-proxy,3,90
default,memcached-profile-us-central-1-5988f8f9c7-5dqqz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5988f8f9c7-5dqqz,istio-proxy,4,89
default,memcached-profile-us-central-1-5988f8f9c7-8wbcc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5988f8f9c7-8wbcc,istio-proxy,4,87
default,memcached-profile-us-east-1-6dc96664c7-tr84h,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6dc96664c7-tr84h,istio-proxy,7,88
default,memcached-profile-us-east-1-6dc96664c7-tzxm8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6dc96664c7-tzxm8,istio-proxy,7,89
