Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-79bf76685b-lrgng,consul,10,37
default,consul-79bf76685b-lrgng,istio-proxy,3,90
default,frontend-us-central-1-68588bd69f-f6v4m,hotel-reserv-frontend,160,8
default,frontend-us-central-1-68588bd69f-f6v4m,istio-proxy,464,89
default,frontend-us-central-1-68588bd69f-w5jph,hotel-reserv-frontend,202,8
default,frontend-us-central-1-68588bd69f-w5jph,istio-proxy,352,90
default,frontend-us-east-1-74646b97d-6dqlx,hotel-reserv-frontend,154,8
default,frontend-us-east-1-74646b97d-6dqlx,istio-proxy,831,89
default,frontend-us-east-1-74646b97d-p2s68,hotel-reserv-frontend,399,8
default,frontend-us-east-1-74646b97d-p2s68,istio-proxy,431,91
default,frontend-us-south-1-97dbb5d9d-4f6m4,hotel-reserv-frontend,193,8
default,frontend-us-south-1-97dbb5d9d-4f6m4,istio-proxy,312,89
default,frontend-us-south-1-97dbb5d9d-ttk86,hotel-reserv-frontend,52,8
default,frontend-us-south-1-97dbb5d9d-ttk86,istio-proxy,173,88
default,frontend-us-west-1-667dc68974-bn845,hotel-reserv-frontend,584,10
default,frontend-us-west-1-667dc68974-bn845,istio-proxy,1427,97
default,frontend-us-west-1-667dc68974-d6dv9,hotel-reserv-frontend,314,10
default,frontend-us-west-1-667dc68974-d6dv9,istio-proxy,668,96
default,geo-us-central-1-5958dd488f-c2nzl,hotel-reserv-geo,27,8
default,geo-us-central-1-5958dd488f-c2nzl,istio-proxy,46,87
default,geo-us-central-1-5958dd488f-chzt7,hotel-reserv-geo,11,7
default,geo-us-central-1-5958dd488f-chzt7,istio-proxy,28,87
default,geo-us-east-1-6bf5bbdcd9-m2rt5,hotel-reserv-geo,53,8
default,geo-us-east-1-6bf5bbdcd9-m2rt5,istio-proxy,96,87
default,geo-us-east-1-6bf5bbdcd9-slz84,hotel-reserv-geo,39,7
default,geo-us-east-1-6bf5bbdcd9-slz84,istio-proxy,94,87
default,geo-us-south-1-7c68cc5958-6rf46,hotel-reserv-geo,14,8
default,geo-us-south-1-7c68cc5958-6rf46,istio-proxy,46,90
default,geo-us-south-1-7c68cc5958-kb82v,hotel-reserv-geo,6,7
default,geo-us-south-1-7c68cc5958-kb82v,istio-proxy,42,88
default,geo-us-west-1-c75495444-klh8q,hotel-reserv-geo,60,8
default,geo-us-west-1-c75495444-klh8q,istio-proxy,123,87
default,geo-us-west-1-c75495444-xmxrg,hotel-reserv-geo,63,8
default,geo-us-west-1-c75495444-xmxrg,istio-proxy,177,91
default,jaeger-8fb7755dd-drkq7,hotel-reserv-jaeger,154,89
default,jaeger-8fb7755dd-drkq7,istio-proxy,4,90
default,memcached-profile-us-central-1-5988f8f9c7-5dqqz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5988f8f9c7-5dqqz,istio-proxy,3,89
default,memcached-profile-us-central-1-5988f8f9c7-8wbcc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5988f8f9c7-8wbcc,istio-proxy,4,87
default,memcached-profile-us-east-1-6dc96664c7-tr84h,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6dc96664c7-tr84h,istio-proxy,6,88
default,memcached-profile-us-east-1-6dc96664c7-tzxm8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6dc96664c7-tzxm8,istio-proxy,7,89
default,memcached-profile-us-south-1-7bf6ffb9f-9qr84,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7bf6ffb9f-9qr84,istio-proxy,4,89
default,memcached-profile-us-south-1-7bf6ffb9f-plz5l,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7bf6ffb9f-plz5l,istio-proxy,4,88
default,memcached-profile-us-west-1-6cf498d67f-9kbsc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6cf498d67f-9kbsc,istio-proxy,4,87
default,memcached-profile-us-west-1-6cf498d67f-pz97r,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6cf498d67f-pz97r,istio-proxy,5,89
default,memcached-rate-us-central-1-94447bd9f-7z48v,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-94447bd9f-7z48v,istio-proxy,4,87
default,memcached-rate-us-central-1-94447bd9f-pq96b,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-94447bd9f-pq96b,istio-proxy,3,88
default,memcached-rate-us-east-1-f49fd674f-8blsf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-f49fd674f-8blsf,istio-proxy,7,90
default,memcached-rate-us-east-1-f49fd674f-h8chz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-f49fd674f-h8chz,istio-proxy,9,87
default,memcached-rate-us-south-1-6bccd7dff9-fzhnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6bccd7dff9-fzhnq,istio-proxy,4,87
default,memcached-rate-us-south-1-6bccd7dff9-zwljg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6bccd7dff9-zwljg,istio-proxy,5,87
default,memcached-rate-us-west-1-65ddcd4f8b-gm6w2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-65ddcd4f8b-gm6w2,istio-proxy,4,88
default,memcached-rate-us-west-1-65ddcd4f8b-kgqzj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-65ddcd4f8b-kgqzj,istio-proxy,4,87
default,memcached-reserve-us-central-1-65484bd668-r4894,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-65484bd668-r4894,istio-proxy,4,90
default,memcached-reserve-us-central-1-65484bd668-t7h9t,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-65484bd668-t7h9t,istio-proxy,4,87
default,memcached-reserve-us-east-1-5c7965494c-jlsvn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5c7965494c-jlsvn,istio-proxy,8,87
default,memcached-reserve-us-east-1-5c7965494c-r7xwv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5c7965494c-r7xwv,istio-proxy,7,87
default,memcached-reserve-us-south-1-59c8b599fc-gvkrp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-59c8b599fc-gvkrp,istio-proxy,5,89
default,memcached-reserve-us-south-1-59c8b599fc-qwmz5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-59c8b599fc-qwmz5,istio-proxy,4,88
default,memcached-reserve-us-west-1-6b66b48479-v8vrw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6b66b48479-v8vrw,istio-proxy,4,89
default,memcached-reserve-us-west-1-6b66b48479-zf25d,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6b66b48479-zf25d,istio-proxy,4,87
default,mongodb-geo-us-central-1-6f89c5599b-l6z94,hotel-reserv-geo-mongo,4,159
default,mongodb-geo-us-central-1-6f89c5599b-l6z94,istio-proxy,4,87
default,mongodb-geo-us-east-1-66566cfc67-s2jfl,hotel-reserv-geo-mongo,7,159
default,mongodb-geo-us-east-1-66566cfc67-s2jfl,istio-proxy,8,88
default,mongodb-geo-us-south-1-7b6b488d65-w5t4x,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-south-1-7b6b488d65-w5t4x,istio-proxy,4,87
default,mongodb-geo-us-west-1-b4d85cdbc-lzlk4,hotel-reserv-geo-mongo,4,159
default,mongodb-geo-us-west-1-b4d85cdbc-lzlk4,istio-proxy,4,90
default,mongodb-profile-us-central-1-799c7b7bbc-kkv4h,hotel-reserv-profile-mongo,26,164
default,mongodb-profile-us-central-1-799c7b7bbc-kkv4h,istio-proxy,20,88
default,mongodb-profile-us-east-1-6dbc5c8468-vxvv6,hotel-reserv-profile-mongo,134,165
default,mongodb-profile-us-east-1-6dbc5c8468-vxvv6,istio-proxy,52,88
default,mongodb-profile-us-south-1-567678d6cb-bpkpc,hotel-reserv-profile-mongo,32,163
default,mongodb-profile-us-south-1-567678d6cb-bpkpc,istio-proxy,32,89
default,mongodb-profile-us-west-1-7c894448c6-944hh,hotel-reserv-profile-mongo,130,166
default,mongodb-profile-us-west-1-7c894448c6-944hh,istio-proxy,89,87
default,mongodb-rate-us-central-1-7f8f9c6867-2kgn4,hotel-reserv-rate-mongo,54,161
default,mongodb-rate-us-central-1-7f8f9c6867-2kgn4,istio-proxy,14,87
default,mongodb-rate-us-east-1-5448bd4ffb-tf64b,hotel-reserv-rate-mongo,127,162
default,mongodb-rate-us-east-1-5448bd4ffb-tf64b,istio-proxy,20,87
default,mongodb-rate-us-south-1-74c6f7d94b-qx2b2,hotel-reserv-rate-mongo,66,161
default,mongodb-rate-us-south-1-74c6f7d94b-qx2b2,istio-proxy,21,87
default,mongodb-rate-us-west-1-f65dd79d4-rf5cw,hotel-reserv-rate-mongo,386,162
default,mongodb-rate-us-west-1-f65dd79d4-rf5cw,istio-proxy,37,89
default,mongodb-recommendation-us-central-1-67458dfdfc-wt8gt,hotel-reserv-recommendation-mongo,4,159
default,mongodb-recommendation-us-central-1-67458dfdfc-wt8gt,istio-proxy,4,88
default,mongodb-recommendation-us-east-1-7896875fc9-bvnht,hotel-reserv-recommendation-mongo,6,161
