counter,region,service,endpoint,rps
3,us-south-1,search,search@POST@/search.Search/Nearby,2
4,us-south-1,rate,rate@POST@/rate.Rate/GetRates,4
4,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,4
4,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,4
4,us-south-1,geo,geo@POST@/geo.Geo/Nearby,2
4,us-south-1,frontend,frontend@POST@/reservation,56
4,us-south-1,frontend,frontend@GET@/hotels,58
4,us-south-1,user,user@POST@/user.User/CheckUser,4
4,us-south-1,search,search@POST@/search.Search/Nearby,2
4,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,4
5,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
5,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
5,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
5,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
5,us-south-1,frontend,frontend@POST@/reservation,0
5,us-south-1,frontend,frontend@GET@/hotels,0
5,us-south-1,user,user@POST@/user.User/CheckUser,0
5,us-south-1,search,search@POST@/search.Search/Nearby,0
5,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
6,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
6,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
6,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
6,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
6,us-south-1,frontend,frontend@POST@/reservation,0
6,us-south-1,frontend,frontend@GET@/hotels,0
6,us-south-1,user,user@POST@/user.User/CheckUser,0
6,us-south-1,search,search@POST@/search.Search/Nearby,0
6,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
7,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
7,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
7,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
7,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
7,us-south-1,frontend,frontend@POST@/reservation,0
7,us-south-1,frontend,frontend@GET@/hotels,0
7,us-south-1,user,user@POST@/user.User/CheckUser,6
7,us-south-1,search,search@POST@/search.Search/Nearby,0
7,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
8,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
8,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,4
8,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
8,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
8,us-south-1,frontend,frontend@POST@/reservation,23
8,us-south-1,frontend,frontend@GET@/hotels,-1729
8,us-south-1,user,user@POST@/user.User/CheckUser,12
8,us-south-1,search,search@POST@/search.Search/Nearby,0
8,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
9,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
9,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
9,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
9,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
9,us-south-1,frontend,frontend@POST@/reservation,0
9,us-south-1,frontend,frontend@GET@/hotels,0
9,us-south-1,user,user@POST@/user.User/CheckUser,0
9,us-south-1,search,search@POST@/search.Search/Nearby,0
9,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
10,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
10,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
10,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
10,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
10,us-south-1,frontend,frontend@POST@/reservation,0
10,us-south-1,frontend,frontend@GET@/hotels,0
10,us-south-1,user,user@POST@/user.User/CheckUser,0
10,us-south-1,search,search@POST@/search.Search/Nearby,0
10,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
11,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
11,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
11,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
11,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
11,us-south-1,frontend,frontend@POST@/reservation,0
11,us-south-1,frontend,frontend@GET@/hotels,0
11,us-south-1,user,user@POST@/user.User/CheckUser,0
11,us-south-1,search,search@POST@/search.Search/Nearby,0
11,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
12,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
12,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
12,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
12,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
12,us-south-1,frontend,frontend@POST@/reservation,0
12,us-south-1,frontend,frontend@GET@/hotels,0
12,us-south-1,user,user@POST@/user.User/CheckUser,0
12,us-south-1,search,search@POST@/search.Search/Nearby,0
12,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
13,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
13,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
13,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
13,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
13,us-south-1,frontend,frontend@POST@/reservation,0
13,us-south-1,frontend,frontend@GET@/hotels,0
13,us-south-1,user,user@POST@/user.User/CheckUser,0
13,us-south-1,search,search@POST@/search.Search/Nearby,0
13,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
14,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
14,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
14,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
14,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
14,us-south-1,frontend,frontend@POST@/reservation,0
14,us-south-1,frontend,frontend@GET@/hotels,0
14,us-south-1,user,user@POST@/user.User/CheckUser,0
14,us-south-1,search,search@POST@/search.Search/Nearby,0
14,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,0
15,us-south-1,rate,rate@POST@/rate.Rate/GetRates,0
15,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,0
15,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,0
15,us-south-1,geo,geo@POST@/geo.Geo/Nearby,0
15,us-south-1,frontend,frontend@POST@/reservation,0
