Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-588c67b566-5tspt,consul,10,35
default,consul-588c67b566-5tspt,istio-proxy,4,94
default,frontend-us-central-1-664f9cb6fc-59x7w,hotel-reserv-frontend,120,7
default,frontend-us-central-1-664f9cb6fc-59x7w,istio-proxy,481,94
default,frontend-us-central-1-664f9cb6fc-7mt2k,hotel-reserv-frontend,152,8
default,frontend-us-central-1-664f9cb6fc-7mt2k,istio-proxy,480,94
default,frontend-us-east-1-76fc4b4bd8-dtgnk,hotel-reserv-frontend,194,8
default,frontend-us-east-1-76fc4b4bd8-dtgnk,istio-proxy,412,96
default,frontend-us-east-1-76fc4b4bd8-htwfp,hotel-reserv-frontend,188,8
default,frontend-us-east-1-76fc4b4bd8-htwfp,istio-proxy,301,95
default,frontend-us-south-1-ccf6ffdd8-j2xfw,hotel-reserv-frontend,116,8
default,frontend-us-south-1-ccf6ffdd8-j2xfw,istio-proxy,113,94
default,frontend-us-south-1-ccf6ffdd8-ln48x,hotel-reserv-frontend,5,7
default,frontend-us-south-1-ccf6ffdd8-ln48x,istio-proxy,213,94
default,frontend-us-west-1-5b5dbf776d-26r8p,hotel-reserv-frontend,536,16
default,frontend-us-west-1-5b5dbf776d-26r8p,istio-proxy,1512,115
default,frontend-us-west-1-5b5dbf776d-87d5v,hotel-reserv-frontend,690,16
default,frontend-us-west-1-5b5dbf776d-87d5v,istio-proxy,2086,118
default,geo-us-central-1-5b9c5784f5-hmcpb,hotel-reserv-geo,13,7
default,geo-us-central-1-5b9c5784f5-hmcpb,istio-proxy,36,92
default,geo-us-central-1-5b9c5784f5-lfdns,hotel-reserv-geo,17,8
default,geo-us-central-1-5b9c5784f5-lfdns,istio-proxy,39,93
default,geo-us-east-1-7984d44dc8-mctgx,hotel-reserv-geo,4,7
default,geo-us-east-1-7984d44dc8-mctgx,istio-proxy,30,91
default,geo-us-east-1-7984d44dc8-vbklp,hotel-reserv-geo,28,8
default,geo-us-east-1-7984d44dc8-vbklp,istio-proxy,47,95
default,geo-us-south-1-5d996465b4-f98l5,hotel-reserv-geo,25,8
default,geo-us-south-1-5d996465b4-f98l5,istio-proxy,53,92
default,geo-us-south-1-5d996465b4-pnkn6,hotel-reserv-geo,18,8
default,geo-us-south-1-5d996465b4-pnkn6,istio-proxy,45,94
default,geo-us-west-1-554ddb4fcd-bs9sg,hotel-reserv-geo,62,8
default,geo-us-west-1-554ddb4fcd-bs9sg,istio-proxy,111,92
default,geo-us-west-1-554ddb4fcd-j2hbs,hotel-reserv-geo,115,8
default,geo-us-west-1-554ddb4fcd-j2hbs,istio-proxy,245,90
default,jaeger-5ffcd6b458-fvzqq,hotel-reserv-jaeger,60,55
default,jaeger-5ffcd6b458-fvzqq,istio-proxy,4,93
default,memcached-profile-us-central-1-68649bf89f-49k9m,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-68649bf89f-49k9m,istio-proxy,4,92
default,memcached-profile-us-central-1-68649bf89f-54crf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-68649bf89f-54crf,istio-proxy,4,91
default,memcached-profile-us-east-1-7c56668d5b-5bnbj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7c56668d5b-5bnbj,istio-proxy,4,90
default,memcached-profile-us-east-1-7c56668d5b-lx7bd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7c56668d5b-lx7bd,istio-proxy,4,90
default,memcached-profile-us-south-1-55f8cf87fd-8gt9v,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-55f8cf87fd-8gt9v,istio-proxy,3,92
default,memcached-profile-us-south-1-55f8cf87fd-f7s8g,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-55f8cf87fd-f7s8g,istio-proxy,4,91
default,memcached-profile-us-west-1-74db4c6fb4-4bcmc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-74db4c6fb4-4bcmc,istio-proxy,5,91
default,memcached-profile-us-west-1-74db4c6fb4-tdckp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-74db4c6fb4-tdckp,istio-proxy,4,93
default,memcached-rate-us-central-1-7bbbbfcb88-9h6l6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7bbbbfcb88-9h6l6,istio-proxy,3,94
default,memcached-rate-us-central-1-7bbbbfcb88-vqnd9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7bbbbfcb88-vqnd9,istio-proxy,4,92
default,memcached-rate-us-east-1-6f54bb76fb-4nv85,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6f54bb76fb-4nv85,istio-proxy,4,92
default,memcached-rate-us-east-1-6f54bb76fb-562xh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6f54bb76fb-562xh,istio-proxy,4,90
default,memcached-rate-us-south-1-6db8cfc84f-ds6cm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6db8cfc84f-ds6cm,istio-proxy,4,91
default,memcached-rate-us-south-1-6db8cfc84f-pvvw4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6db8cfc84f-pvvw4,istio-proxy,4,91
default,memcached-rate-us-west-1-66ddf6fb47-5l6mv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-66ddf6fb47-5l6mv,istio-proxy,6,93
default,memcached-rate-us-west-1-66ddf6fb47-h4vhz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-66ddf6fb47-h4vhz,istio-proxy,5,93
default,memcached-reserve-us-central-1-76f8f997df-24wk7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-76f8f997df-24wk7,istio-proxy,4,89
default,memcached-reserve-us-central-1-76f8f997df-tsqms,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-76f8f997df-tsqms,istio-proxy,4,92
default,memcached-reserve-us-east-1-5d5987bf75-c6x4p,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5d5987bf75-c6x4p,istio-proxy,4,92
default,memcached-reserve-us-east-1-5d5987bf75-v7rqr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5d5987bf75-v7rqr,istio-proxy,4,92
default,memcached-reserve-us-south-1-555db9cb76-2dq49,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-555db9cb76-2dq49,istio-proxy,4,91
default,memcached-reserve-us-south-1-555db9cb76-zgzvz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-555db9cb76-zgzvz,istio-proxy,4,91
default,memcached-reserve-us-west-1-7f48bd6fd8-59vlk,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7f48bd6fd8-59vlk,istio-proxy,4,92
default,memcached-reserve-us-west-1-7f48bd6fd8-mnxvx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7f48bd6fd8-mnxvx,istio-proxy,4,94
default,mongodb-geo-us-central-1-86c567dcff-g7pbx,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-86c567dcff-g7pbx,istio-proxy,4,91
default,mongodb-geo-us-east-1-867565db49-g98xv,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-867565db49-g98xv,istio-proxy,4,91
default,mongodb-geo-us-south-1-6fdff8689d-t2l4z,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-6fdff8689d-t2l4z,istio-proxy,4,91
default,mongodb-geo-us-west-1-7f59666bf8-qlvrn,hotel-reserv-geo-mongo,4,161
