Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-588c67b566-5tspt,consul,10,35
default,consul-588c67b566-5tspt,istio-proxy,5,94
default,frontend-us-central-1-664f9cb6fc-59x7w,hotel-reserv-frontend,0,4
default,frontend-us-central-1-664f9cb6fc-59x7w,istio-proxy,7,91
default,frontend-us-central-1-664f9cb6fc-7mt2k,hotel-reserv-frontend,0,4
default,frontend-us-central-1-664f9cb6fc-7mt2k,istio-proxy,5,92
default,frontend-us-east-1-76fc4b4bd8-dtgnk,hotel-reserv-frontend,0,4
default,frontend-us-east-1-76fc4b4bd8-dtgnk,istio-proxy,4,94
default,frontend-us-east-1-76fc4b4bd8-htwfp,hotel-reserv-frontend,0,3
default,frontend-us-east-1-76fc4b4bd8-htwfp,istio-proxy,7,93
default,frontend-us-south-1-ccf6ffdd8-j2xfw,hotel-reserv-frontend,0,6
default,frontend-us-south-1-ccf6ffdd8-j2xfw,istio-proxy,6,92
default,frontend-us-south-1-ccf6ffdd8-ln48x,hotel-reserv-frontend,0,5
default,frontend-us-south-1-ccf6ffdd8-ln48x,istio-proxy,6,92
default,frontend-us-west-1-5b5dbf776d-26r8p,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5b5dbf776d-26r8p,istio-proxy,7,91
default,frontend-us-west-1-5b5dbf776d-87d5v,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5b5dbf776d-87d5v,istio-proxy,6,97
default,geo-us-central-1-5b9c5784f5-hmcpb,hotel-reserv-geo,0,7
default,geo-us-central-1-5b9c5784f5-hmcpb,istio-proxy,7,91
default,geo-us-central-1-5b9c5784f5-lfdns,hotel-reserv-geo,0,7
default,geo-us-central-1-5b9c5784f5-lfdns,istio-proxy,6,93
default,geo-us-east-1-7984d44dc8-mctgx,hotel-reserv-geo,0,7
default,geo-us-east-1-7984d44dc8-mctgx,istio-proxy,5,91
default,geo-us-east-1-7984d44dc8-vbklp,hotel-reserv-geo,0,7
default,geo-us-east-1-7984d44dc8-vbklp,istio-proxy,6,94
default,geo-us-south-1-5d996465b4-f98l5,hotel-reserv-geo,0,7
default,geo-us-south-1-5d996465b4-f98l5,istio-proxy,7,91
default,geo-us-south-1-5d996465b4-pnkn6,hotel-reserv-geo,0,6
default,geo-us-south-1-5d996465b4-pnkn6,istio-proxy,7,93
default,geo-us-west-1-554ddb4fcd-bs9sg,hotel-reserv-geo,0,6
default,geo-us-west-1-554ddb4fcd-bs9sg,istio-proxy,7,92
default,geo-us-west-1-554ddb4fcd-j2hbs,hotel-reserv-geo,0,6
default,geo-us-west-1-554ddb4fcd-j2hbs,istio-proxy,6,90
default,jaeger-5ffcd6b458-fvzqq,hotel-reserv-jaeger,0,11
default,jaeger-5ffcd6b458-fvzqq,istio-proxy,5,94
default,memcached-profile-us-central-1-68649bf89f-49k9m,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-68649bf89f-49k9m,istio-proxy,6,92
