counter,region,service,endpoint,rps
178,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,18
178,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
179,us-central-1,search,search@POST@/search.Search/Nearby,61
179,us-central-1,geo,geo@POST@/geo.Geo/Nearby,105
179,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,173
179,us-central-1,frontend,frontend@POST@/reservation,114
179,us-central-1,frontend,frontend@POST@/user,111
179,us-central-1,frontend,frontend@GET@/recommendations,111
179,us-central-1,frontend,frontend@GET@/hotels,109
179,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,106
179,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,97
179,us-central-1,slateingress,slateingress@GET@/recommendations,98
179,us-central-1,slateingress,slateingress@POST@/reservation,97
179,us-central-1,slateingress,slateingress@POST@/user,113
179,us-central-1,slateingress,slateingress@GET@/hotels,99
179,us-central-1,rate,rate@POST@/rate.Rate/GetRates,83
179,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,107
179,us-central-1,user,user@POST@/user.User/CheckUser,188
179,us-east-1,slateingress,slateingress@POST@/user,110
179,us-east-1,slateingress,slateingress@POST@/reservation,111
179,us-east-1,slateingress,slateingress@GET@/recommendations,111
179,us-east-1,slateingress,slateingress@GET@/hotels,102
179,us-east-1,user,user@POST@/user.User/CheckUser,211
179,us-east-1,rate,rate@POST@/rate.Rate/GetRates,107
179,us-east-1,geo,geo@POST@/geo.Geo/Nearby,99
179,us-east-1,frontend,frontend@POST@/user,108
179,us-east-1,frontend,frontend@GET@/recommendations,113
179,us-east-1,frontend,frontend@POST@/reservation,115
179,us-east-1,frontend,frontend@GET@/hotels,112
179,us-east-1,search,search@POST@/search.Search/Nearby,113
179,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,220
179,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,107
179,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,103
179,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
179,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,872
179,us-west-1,user,user@POST@/user.User/CheckUser,899
179,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,455
179,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,404
179,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,455
179,us-west-1,frontend,frontend@POST@/user,440
179,us-west-1,frontend,frontend@POST@/reservation,423
179,us-west-1,frontend,frontend@GET@/hotels,372
179,us-west-1,frontend,frontend@GET@/recommendations,422
179,us-west-1,search,search@POST@/search.Search/Nearby,347
179,us-west-1,geo,geo@POST@/geo.Geo/Nearby,447
179,us-west-1,slateingress,slateingress@POST@/user,432
179,us-west-1,slateingress,slateingress@POST@/reservation,438
179,us-west-1,slateingress,slateingress@GET@/hotels,413
179,us-west-1,slateingress,slateingress@GET@/recommendations,408
179,us-west-1,rate,rate@POST@/rate.Rate/GetRates,422
179,us-south-1,frontend,frontend@POST@/user,113
179,us-south-1,frontend,frontend@POST@/reservation,92
179,us-south-1,frontend,frontend@GET@/hotels,80
179,us-south-1,frontend,frontend@GET@/recommendations,107
179,us-south-1,slateingress,slateingress@POST@/user,108
179,us-south-1,slateingress,slateingress@GET@/recommendations,106
179,us-south-1,slateingress,slateingress@POST@/reservation,103
179,us-south-1,slateingress,slateingress@GET@/hotels,94
179,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,18
179,us-south-1,geo,geo@POST@/geo.Geo/Nearby,59
179,us-south-1,search,search@POST@/search.Search/Nearby,81
179,us-south-1,rate,rate@POST@/rate.Rate/GetRates,72
179,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,25
179,us-south-1,user,user@POST@/user.User/CheckUser,177
179,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,47
179,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,34
