Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-b6fd65f5b-ggj2q,consul,12,35
default,consul-b6fd65f5b-ggj2q,istio-proxy,3,95
default,frontend-us-central-1-65d76bb6b7-4rfbn,hotel-reserv-frontend,166,8
default,frontend-us-central-1-65d76bb6b7-4rfbn,istio-proxy,444,92
default,frontend-us-central-1-65d76bb6b7-zklqx,hotel-reserv-frontend,189,8
default,frontend-us-central-1-65d76bb6b7-zklqx,istio-proxy,431,95
default,frontend-us-east-1-79dd48b6f-8lss8,hotel-reserv-frontend,204,8
default,frontend-us-east-1-79dd48b6f-8lss8,istio-proxy,484,94
default,frontend-us-east-1-79dd48b6f-t2nk8,hotel-reserv-frontend,194,8
default,frontend-us-east-1-79dd48b6f-t2nk8,istio-proxy,469,94
default,frontend-us-south-1-b569b6747-2mrh6,hotel-reserv-frontend,98,8
default,frontend-us-south-1-b569b6747-2mrh6,istio-proxy,457,95
default,frontend-us-south-1-b569b6747-m4qdk,hotel-reserv-frontend,181,8
default,frontend-us-south-1-b569b6747-m4qdk,istio-proxy,502,94
default,frontend-us-west-1-8d56578cc-bfbwd,hotel-reserv-frontend,681,16
default,frontend-us-west-1-8d56578cc-bfbwd,istio-proxy,2204,116
default,frontend-us-west-1-8d56578cc-d5rtt,hotel-reserv-frontend,622,15
default,frontend-us-west-1-8d56578cc-d5rtt,istio-proxy,1978,118
default,geo-us-central-1-59794db4b8-knbsp,hotel-reserv-geo,23,8
default,geo-us-central-1-59794db4b8-knbsp,istio-proxy,51,93
default,geo-us-central-1-59794db4b8-kspg9,hotel-reserv-geo,27,8
default,geo-us-central-1-59794db4b8-kspg9,istio-proxy,51,93
default,geo-us-east-1-9785d454b-2rwqz,hotel-reserv-geo,24,7
default,geo-us-east-1-9785d454b-2rwqz,istio-proxy,54,93
default,geo-us-east-1-9785d454b-68dfb,hotel-reserv-geo,29,8
default,geo-us-east-1-9785d454b-68dfb,istio-proxy,58,91
default,geo-us-south-1-cb56c964d-nkdhc,hotel-reserv-geo,27,7
default,geo-us-south-1-cb56c964d-nkdhc,istio-proxy,51,94
default,geo-us-south-1-cb56c964d-v4j27,hotel-reserv-geo,29,7
default,geo-us-south-1-cb56c964d-v4j27,istio-proxy,56,93
default,geo-us-west-1-6b8cbcd779-8dczb,hotel-reserv-geo,116,8
default,geo-us-west-1-6b8cbcd779-8dczb,istio-proxy,198,93
default,geo-us-west-1-6b8cbcd779-qrsn4,hotel-reserv-geo,115,8
default,geo-us-west-1-6b8cbcd779-qrsn4,istio-proxy,244,94
default,jaeger-5c8d9d4b9f-kzmw9,hotel-reserv-jaeger,264,182
default,jaeger-5c8d9d4b9f-kzmw9,istio-proxy,3,93
default,memcached-profile-us-central-1-556fb4558d-cs7k6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-556fb4558d-cs7k6,istio-proxy,4,92
default,memcached-profile-us-central-1-556fb4558d-jk7sv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-556fb4558d-jk7sv,istio-proxy,4,92
default,memcached-profile-us-east-1-6f67967774-6mbqn,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6f67967774-6mbqn,istio-proxy,3,93
default,memcached-profile-us-east-1-6f67967774-qcjfd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6f67967774-qcjfd,istio-proxy,4,93
default,memcached-profile-us-south-1-78ff87659c-d8r6n,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78ff87659c-d8r6n,istio-proxy,4,92
default,memcached-profile-us-south-1-78ff87659c-l2sc9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78ff87659c-l2sc9,istio-proxy,3,93
default,memcached-profile-us-west-1-5f5cb67457-w2sq4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5f5cb67457-w2sq4,istio-proxy,5,93
default,memcached-profile-us-west-1-5f5cb67457-xwgrk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5f5cb67457-xwgrk,istio-proxy,5,90
default,memcached-rate-us-central-1-6b8f4897-bgwlf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b8f4897-bgwlf,istio-proxy,4,92
default,memcached-rate-us-central-1-6b8f4897-v92ml,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b8f4897-v92ml,istio-proxy,4,93
default,memcached-rate-us-east-1-78976f657f-f9m46,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-78976f657f-f9m46,istio-proxy,4,91
default,memcached-rate-us-east-1-78976f657f-vgg5n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-78976f657f-vgg5n,istio-proxy,4,92
default,memcached-rate-us-south-1-659bddf4b8-4zhdm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-659bddf4b8-4zhdm,istio-proxy,4,92
default,memcached-rate-us-south-1-659bddf4b8-p7jwp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-659bddf4b8-p7jwp,istio-proxy,3,93
default,memcached-rate-us-west-1-669b67cc44-9z9sp,hotel-reserv-rate-mmc,0,1
