Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-b6fd65f5b-ggj2q,consul,10,34
default,consul-b6fd65f5b-ggj2q,istio-proxy,4,94
default,frontend-us-central-1-65d76bb6b7-4rfbn,hotel-reserv-frontend,0,4
default,frontend-us-central-1-65d76bb6b7-4rfbn,istio-proxy,4,90
default,frontend-us-central-1-65d76bb6b7-zklqx,hotel-reserv-frontend,0,4
default,frontend-us-central-1-65d76bb6b7-zklqx,istio-proxy,4,93
default,frontend-us-east-1-79dd48b6f-8lss8,hotel-reserv-frontend,0,4
default,frontend-us-east-1-79dd48b6f-8lss8,istio-proxy,4,92
default,frontend-us-east-1-79dd48b6f-t2nk8,hotel-reserv-frontend,0,4
default,frontend-us-east-1-79dd48b6f-t2nk8,istio-proxy,4,92
default,frontend-us-south-1-b569b6747-2mrh6,hotel-reserv-frontend,0,4
default,frontend-us-south-1-b569b6747-2mrh6,istio-proxy,4,93
default,frontend-us-south-1-b569b6747-m4qdk,hotel-reserv-frontend,0,4
default,frontend-us-south-1-b569b6747-m4qdk,istio-proxy,4,92
default,frontend-us-west-1-8d56578cc-bfbwd,hotel-reserv-frontend,0,4
default,frontend-us-west-1-8d56578cc-bfbwd,istio-proxy,4,91
default,frontend-us-west-1-8d56578cc-d5rtt,hotel-reserv-frontend,0,4
default,frontend-us-west-1-8d56578cc-d5rtt,istio-proxy,4,93
default,geo-us-central-1-59794db4b8-knbsp,hotel-reserv-geo,0,7
default,geo-us-central-1-59794db4b8-knbsp,istio-proxy,4,93
default,geo-us-central-1-59794db4b8-kspg9,hotel-reserv-geo,0,7
default,geo-us-central-1-59794db4b8-kspg9,istio-proxy,4,92
default,geo-us-east-1-9785d454b-2rwqz,hotel-reserv-geo,0,6
default,geo-us-east-1-9785d454b-2rwqz,istio-proxy,4,92
default,geo-us-east-1-9785d454b-68dfb,hotel-reserv-geo,0,6
default,geo-us-east-1-9785d454b-68dfb,istio-proxy,4,91
default,geo-us-south-1-cb56c964d-nkdhc,hotel-reserv-geo,0,7
default,geo-us-south-1-cb56c964d-nkdhc,istio-proxy,4,93
default,geo-us-south-1-cb56c964d-v4j27,hotel-reserv-geo,0,6
default,geo-us-south-1-cb56c964d-v4j27,istio-proxy,5,92
default,geo-us-west-1-6b8cbcd779-8dczb,hotel-reserv-geo,0,10
default,geo-us-west-1-6b8cbcd779-8dczb,istio-proxy,4,92
default,geo-us-west-1-6b8cbcd779-qrsn4,hotel-reserv-geo,0,10
default,geo-us-west-1-6b8cbcd779-qrsn4,istio-proxy,4,94
default,jaeger-5c8d9d4b9f-kzmw9,hotel-reserv-jaeger,0,10
default,jaeger-5c8d9d4b9f-kzmw9,istio-proxy,3,93
default,memcached-profile-us-central-1-556fb4558d-cs7k6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-556fb4558d-cs7k6,istio-proxy,4,92
default,memcached-profile-us-central-1-556fb4558d-jk7sv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-556fb4558d-jk7sv,istio-proxy,4,92
default,memcached-profile-us-east-1-6f67967774-6mbqn,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6f67967774-6mbqn,istio-proxy,4,93
default,memcached-profile-us-east-1-6f67967774-qcjfd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6f67967774-qcjfd,istio-proxy,4,93
default,memcached-profile-us-south-1-78ff87659c-d8r6n,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78ff87659c-d8r6n,istio-proxy,4,92
default,memcached-profile-us-south-1-78ff87659c-l2sc9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78ff87659c-l2sc9,istio-proxy,4,93
default,memcached-profile-us-west-1-5f5cb67457-w2sq4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5f5cb67457-w2sq4,istio-proxy,4,93
default,memcached-profile-us-west-1-5f5cb67457-xwgrk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5f5cb67457-xwgrk,istio-proxy,5,90
default,memcached-rate-us-central-1-6b8f4897-bgwlf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b8f4897-bgwlf,istio-proxy,4,92
default,memcached-rate-us-central-1-6b8f4897-v92ml,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b8f4897-v92ml,istio-proxy,4,93
default,memcached-rate-us-east-1-78976f657f-f9m46,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-78976f657f-f9m46,istio-proxy,4,91
default,memcached-rate-us-east-1-78976f657f-vgg5n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-78976f657f-vgg5n,istio-proxy,4,92
default,memcached-rate-us-south-1-659bddf4b8-4zhdm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-659bddf4b8-4zhdm,istio-proxy,4,92
default,memcached-rate-us-south-1-659bddf4b8-p7jwp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-659bddf4b8-p7jwp,istio-proxy,4,94
default,memcached-rate-us-west-1-669b67cc44-9z9sp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-669b67cc44-9z9sp,istio-proxy,4,93
default,memcached-rate-us-west-1-669b67cc44-gc5cx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-669b67cc44-gc5cx,istio-proxy,5,92
default,memcached-reserve-us-central-1-d645bd78b-8lrbr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-d645bd78b-8lrbr,istio-proxy,4,91
default,memcached-reserve-us-central-1-d645bd78b-xwfb4,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-d645bd78b-xwfb4,istio-proxy,4,93
default,memcached-reserve-us-east-1-8557df9d5d-qbsdh,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-8557df9d5d-qbsdh,istio-proxy,3,91
default,memcached-reserve-us-east-1-8557df9d5d-z5tdr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-8557df9d5d-z5tdr,istio-proxy,4,91
default,memcached-reserve-us-south-1-c446fb9c8-7kz64,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-c446fb9c8-7kz64,istio-proxy,4,93
default,memcached-reserve-us-south-1-c446fb9c8-fvsxk,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-c446fb9c8-fvsxk,istio-proxy,4,90
default,memcached-reserve-us-west-1-7dcdd45b6f-kd7wq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7dcdd45b6f-kd7wq,istio-proxy,4,92
default,memcached-reserve-us-west-1-7dcdd45b6f-mctxn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7dcdd45b6f-mctxn,istio-proxy,4,90
default,mongodb-geo-us-central-1-b548f884b-2jrxl,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-b548f884b-2jrxl,istio-proxy,4,91
default,mongodb-geo-us-east-1-94656884f-t26j5,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-east-1-94656884f-t26j5,istio-proxy,5,91
default,mongodb-geo-us-south-1-59796f57b7-5fv2k,hotel-reserv-geo-mongo,3,159
default,mongodb-geo-us-south-1-59796f57b7-5fv2k,istio-proxy,4,93
default,mongodb-geo-us-west-1-6fbf6d98cc-cddqx,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-west-1-6fbf6d98cc-cddqx,istio-proxy,4,91
default,mongodb-profile-us-central-1-69b8b84489-8hddl,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-central-1-69b8b84489-8hddl,istio-proxy,4,93
default,mongodb-profile-us-east-1-74dc746667-rwrfh,hotel-reserv-profile-mongo,30,157
default,mongodb-profile-us-east-1-74dc746667-rwrfh,istio-proxy,4,94
default,mongodb-profile-us-south-1-648447cf7d-w8gtf,hotel-reserv-profile-mongo,3,157
default,mongodb-profile-us-south-1-648447cf7d-w8gtf,istio-proxy,4,91
default,mongodb-profile-us-west-1-6996876494-j6cr8,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-west-1-6996876494-j6cr8,istio-proxy,4,91
default,mongodb-rate-us-central-1-575fb7897c-z6hq9,hotel-reserv-rate-mongo,3,157
default,mongodb-rate-us-central-1-575fb7897c-z6hq9,istio-proxy,4,91
default,mongodb-rate-us-east-1-5f577b5db-kztr8,hotel-reserv-rate-mongo,3,158
default,mongodb-rate-us-east-1-5f577b5db-kztr8,istio-proxy,4,90
default,mongodb-rate-us-south-1-f5c4d7956-mhqzl,hotel-reserv-rate-mongo,3,158
default,mongodb-rate-us-south-1-f5c4d7956-mhqzl,istio-proxy,5,93
default,mongodb-rate-us-west-1-6c4c7b579d-4xh8w,hotel-reserv-rate-mongo,3,158
default,mongodb-rate-us-west-1-6c4c7b579d-4xh8w,istio-proxy,4,92
default,mongodb-recommendation-us-central-1-55d85c9bf5-db85v,hotel-reserv-recommendation-mongo,3,159
default,mongodb-recommendation-us-central-1-55d85c9bf5-db85v,istio-proxy,4,91
default,mongodb-recommendation-us-east-1-568ff56fd6-n5q54,hotel-reserv-recommendation-mongo,4,160
default,mongodb-recommendation-us-east-1-568ff56fd6-n5q54,istio-proxy,6,93
default,mongodb-recommendation-us-south-1-74fb5df594-rvsjf,hotel-reserv-recommendation-mongo,3,157
default,mongodb-recommendation-us-south-1-74fb5df594-rvsjf,istio-proxy,4,95
default,mongodb-recommendation-us-west-1-748d8597f8-wnfdc,hotel-reserv-recommendation-mongo,17,158
default,mongodb-recommendation-us-west-1-748d8597f8-wnfdc,istio-proxy,4,92
default,mongodb-reservation-us-central-1-84c8b977b4-dzmx2,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-central-1-84c8b977b4-dzmx2,istio-proxy,4,91
default,mongodb-reservation-us-east-1-97dbdfccb-259sn,hotel-reserv-reservation-mongo,3,158
default,mongodb-reservation-us-east-1-97dbdfccb-259sn,istio-proxy,4,92
default,mongodb-reservation-us-south-1-6f8854cdf-2x228,hotel-reserv-reservation-mongo,3,158
default,mongodb-reservation-us-south-1-6f8854cdf-2x228,istio-proxy,4,92
default,mongodb-reservation-us-west-1-67c5fb7ddc-vv5mz,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-west-1-67c5fb7ddc-vv5mz,istio-proxy,5,91
default,mongodb-user-us-central-1-6d448bc57-m6xjg,hotel-reserv-user-mongo,3,169
default,mongodb-user-us-central-1-6d448bc57-m6xjg,istio-proxy,5,92
default,mongodb-user-us-east-1-549dff7c75-nxc6d,hotel-reserv-user-mongo,3,179
default,mongodb-user-us-east-1-549dff7c75-nxc6d,istio-proxy,5,93
default,mongodb-user-us-south-1-db65b8959-72x8v,hotel-reserv-user-mongo,3,157
default,mongodb-user-us-south-1-db65b8959-72x8v,istio-proxy,4,93
default,mongodb-user-us-west-1-64cd77b4b9-ls22p,hotel-reserv-user-mongo,3,159
default,mongodb-user-us-west-1-64cd77b4b9-ls22p,istio-proxy,4,92
default,profile-us-central-1-66c7665959-bzms2,hotel-reserv-profile,0,5
default,profile-us-central-1-66c7665959-bzms2,istio-proxy,4,91
default,profile-us-central-1-66c7665959-v2ccj,hotel-reserv-profile,0,5
default,profile-us-central-1-66c7665959-v2ccj,istio-proxy,5,91
default,profile-us-east-1-6c86d566c5-lm6s2,hotel-reserv-profile,0,5
default,profile-us-east-1-6c86d566c5-lm6s2,istio-proxy,5,93
default,profile-us-east-1-6c86d566c5-ncx9n,hotel-reserv-profile,0,5
default,profile-us-east-1-6c86d566c5-ncx9n,istio-proxy,5,93
default,profile-us-south-1-6d6f8b5bd4-jq4cd,hotel-reserv-profile,0,5
default,profile-us-south-1-6d6f8b5bd4-jq4cd,istio-proxy,4,92
default,profile-us-south-1-6d6f8b5bd4-tdkpv,hotel-reserv-profile,0,5
default,profile-us-south-1-6d6f8b5bd4-tdkpv,istio-proxy,5,93
default,profile-us-west-1-58dd64785d-svr78,hotel-reserv-profile,0,3
default,profile-us-west-1-58dd64785d-svr78,istio-proxy,4,92
default,profile-us-west-1-58dd64785d-vlpl7,hotel-reserv-profile,0,3
default,profile-us-west-1-58dd64785d-vlpl7,istio-proxy,4,92
default,rate-us-central-1-5c46f8b696-7zmcz,hotel-reserv-rate,0,5
default,rate-us-central-1-5c46f8b696-7zmcz,istio-proxy,4,91
default,rate-us-central-1-5c46f8b696-wcm52,hotel-reserv-rate,0,4
default,rate-us-central-1-5c46f8b696-wcm52,istio-proxy,4,92
default,rate-us-east-1-5c9879f6d-s8kh2,hotel-reserv-rate,0,5
default,rate-us-east-1-5c9879f6d-s8kh2,istio-proxy,4,94
default,rate-us-east-1-5c9879f6d-zthhn,hotel-reserv-rate,0,4
default,rate-us-east-1-5c9879f6d-zthhn,istio-proxy,4,92
default,rate-us-south-1-5cbfb68c68-7tcxr,hotel-reserv-rate,0,4
default,rate-us-south-1-5cbfb68c68-7tcxr,istio-proxy,5,92
default,rate-us-south-1-5cbfb68c68-7w4vb,hotel-reserv-rate,0,3
default,rate-us-south-1-5cbfb68c68-7w4vb,istio-proxy,4,92
default,rate-us-west-1-59554f879-xcw2d,hotel-reserv-rate,0,3
default,rate-us-west-1-59554f879-xcw2d,istio-proxy,4,93
default,rate-us-west-1-59554f879-z4bfc,hotel-reserv-rate,0,4
default,rate-us-west-1-59554f879-z4bfc,istio-proxy,5,92
default,recommendation-us-central-1-7f8dbb875-bb8fh,hotel-reserv-recommendation,0,9
