counter,region,service,endpoint,rps
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,573
1,us-west-1,slateingress,slateingress@POST@/user,863
1,us-west-1,slateingress,slateingress@GET@/recommendations,547
1,us-west-1,slateingress,slateingress@POST@/reservation,209
1,us-west-1,slateingress,slateingress@GET@/hotels,217
1,us-west-1,user,user@POST@/user.User/CheckUser,1178
1,us-west-1,search,search@POST@/search.Search/Nearby,242
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,249
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,237
1,us-west-1,frontend,frontend@POST@/reservation,231
1,us-west-1,frontend,frontend@POST@/user,922
1,us-west-1,frontend,frontend@GET@/recommendations,576
1,us-west-1,frontend,frontend@GET@/hotels,228
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,244
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,859
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,236
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,104
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,105
1,us-east-1,slateingress,slateingress@POST@/user,105
1,us-east-1,slateingress,slateingress@GET@/recommendations,109
1,us-east-1,slateingress,slateingress@GET@/hotels,115
1,us-east-1,slateingress,slateingress@POST@/reservation,105
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,115
1,us-east-1,frontend,frontend@POST@/reservation,103
1,us-east-1,frontend,frontend@GET@/hotels,107
1,us-east-1,frontend,frontend@POST@/user,106
1,us-east-1,frontend,frontend@GET@/recommendations,103
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,115
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,87
1,us-east-1,user,user@POST@/user.User/CheckUser,226
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,218
1,us-east-1,search,search@POST@/search.Search/Nearby,107
1,us-central-1,search,search@POST@/search.Search/Nearby,104
