Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6775fccf8b-cmsjw,consul,10,35
default,consul-6775fccf8b-cmsjw,istio-proxy,3,94
default,frontend-us-central-1-7f88b5d4f-2vgnc,hotel-reserv-frontend,87,7
default,frontend-us-central-1-7f88b5d4f-2vgnc,istio-proxy,54,93
default,frontend-us-central-1-7f88b5d4f-4zbns,hotel-reserv-frontend,177,8
default,frontend-us-central-1-7f88b5d4f-4zbns,istio-proxy,388,94
default,frontend-us-east-1-bd686cbf5-79k7b,hotel-reserv-frontend,194,8
default,frontend-us-east-1-bd686cbf5-79k7b,istio-proxy,133,94
default,frontend-us-east-1-bd686cbf5-kx9s6,hotel-reserv-frontend,55,8
default,frontend-us-east-1-bd686cbf5-kx9s6,istio-proxy,6,93
default,frontend-us-south-1-84f848b68b-4h7nm,hotel-reserv-frontend,0,4
default,frontend-us-south-1-84f848b68b-4h7nm,istio-proxy,250,94
default,frontend-us-south-1-84f848b68b-qdwgz,hotel-reserv-frontend,134,8
default,frontend-us-south-1-84f848b68b-qdwgz,istio-proxy,232,93
default,frontend-us-west-1-56b978c8f8-jstzp,hotel-reserv-frontend,221,12
default,frontend-us-west-1-56b978c8f8-jstzp,istio-proxy,1239,105
default,frontend-us-west-1-56b978c8f8-ztfgq,hotel-reserv-frontend,34,12
default,frontend-us-west-1-56b978c8f8-ztfgq,istio-proxy,1891,108
default,geo-us-central-1-b5f85c8b9-46v8p,hotel-reserv-geo,23,8
default,geo-us-central-1-b5f85c8b9-46v8p,istio-proxy,35,95
default,geo-us-central-1-b5f85c8b9-z9rjm,hotel-reserv-geo,0,7
default,geo-us-central-1-b5f85c8b9-z9rjm,istio-proxy,40,94
default,geo-us-east-1-65bf656757-gtn6d,hotel-reserv-geo,27,8
default,geo-us-east-1-65bf656757-gtn6d,istio-proxy,38,93
default,geo-us-east-1-65bf656757-rkm69,hotel-reserv-geo,17,8
default,geo-us-east-1-65bf656757-rkm69,istio-proxy,15,94
default,geo-us-south-1-77764797f7-5zlst,hotel-reserv-geo,19,8
default,geo-us-south-1-77764797f7-5zlst,istio-proxy,33,93
default,geo-us-south-1-77764797f7-khr64,hotel-reserv-geo,17,8
default,geo-us-south-1-77764797f7-khr64,istio-proxy,11,91
default,geo-us-west-1-7c689c6c58-4lkp4,hotel-reserv-geo,30,8
default,geo-us-west-1-7c689c6c58-4lkp4,istio-proxy,96,92
default,geo-us-west-1-7c689c6c58-85wfm,hotel-reserv-geo,24,8
default,geo-us-west-1-7c689c6c58-85wfm,istio-proxy,86,93
default,jaeger-76fbf86b78-kj44g,hotel-reserv-jaeger,127,76
default,jaeger-76fbf86b78-kj44g,istio-proxy,5,93
default,memcached-profile-us-central-1-746f8649b7-jf695,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-746f8649b7-jf695,istio-proxy,4,92
default,memcached-profile-us-central-1-746f8649b7-s9pz9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-746f8649b7-s9pz9,istio-proxy,4,92
default,memcached-profile-us-east-1-6d7b88dc75-bl24s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6d7b88dc75-bl24s,istio-proxy,4,91
default,memcached-profile-us-east-1-6d7b88dc75-kjcsg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6d7b88dc75-kjcsg,istio-proxy,4,93
default,memcached-profile-us-south-1-5fdd54977f-279rw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5fdd54977f-279rw,istio-proxy,4,90
default,memcached-profile-us-south-1-5fdd54977f-8b2cv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5fdd54977f-8b2cv,istio-proxy,4,93
default,memcached-profile-us-west-1-7545975db-dk8bg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7545975db-dk8bg,istio-proxy,5,90
default,memcached-profile-us-west-1-7545975db-qbldw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7545975db-qbldw,istio-proxy,4,94
default,memcached-rate-us-central-1-5dcff77bb-f9zm9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5dcff77bb-f9zm9,istio-proxy,5,92
default,memcached-rate-us-central-1-5dcff77bb-t9984,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5dcff77bb-t9984,istio-proxy,4,92
default,memcached-rate-us-east-1-77775997d6-mkjrp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-77775997d6-mkjrp,istio-proxy,4,93
default,memcached-rate-us-east-1-77775997d6-mlvg4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-77775997d6-mlvg4,istio-proxy,4,90
default,memcached-rate-us-south-1-8bc59546-mvt4n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-8bc59546-mvt4n,istio-proxy,4,91
default,memcached-rate-us-south-1-8bc59546-n7j5d,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-8bc59546-n7j5d,istio-proxy,4,91
default,memcached-rate-us-west-1-77f5bcb546-7kz4x,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-77f5bcb546-7kz4x,istio-proxy,4,94
default,memcached-rate-us-west-1-77f5bcb546-d97hh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-77f5bcb546-d97hh,istio-proxy,4,90
default,memcached-reserve-us-central-1-6d7b7f8b45-6rwhx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6d7b7f8b45-6rwhx,istio-proxy,4,92
default,memcached-reserve-us-central-1-6d7b7f8b45-wv7gt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6d7b7f8b45-wv7gt,istio-proxy,4,90
default,memcached-reserve-us-east-1-6ddf666fdc-lnlbc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6ddf666fdc-lnlbc,istio-proxy,5,90
default,memcached-reserve-us-east-1-6ddf666fdc-np9x2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6ddf666fdc-np9x2,istio-proxy,4,92
default,memcached-reserve-us-south-1-54b94cc7b5-4xqhf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-54b94cc7b5-4xqhf,istio-proxy,4,93
default,memcached-reserve-us-south-1-54b94cc7b5-6xvs7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-54b94cc7b5-6xvs7,istio-proxy,4,94
default,memcached-reserve-us-west-1-bcb86cdc5-8kzdd,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-bcb86cdc5-8kzdd,istio-proxy,5,93
default,memcached-reserve-us-west-1-bcb86cdc5-bd7gv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-bcb86cdc5-bd7gv,istio-proxy,4,91
default,mongodb-geo-us-central-1-57446b8b76-mpz7d,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-57446b8b76-mpz7d,istio-proxy,4,92
default,mongodb-geo-us-east-1-7b6dcf55f9-k6zb2,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-7b6dcf55f9-k6zb2,istio-proxy,4,93
default,mongodb-geo-us-south-1-57458cb64f-5b69j,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-57458cb64f-5b69j,istio-proxy,4,91
default,mongodb-geo-us-west-1-65fdc75755-zq95f,hotel-reserv-geo-mongo,5,161
default,mongodb-geo-us-west-1-65fdc75755-zq95f,istio-proxy,4,92
default,mongodb-profile-us-central-1-68cc49d7b4-hb97n,hotel-reserv-profile-mongo,74,162
default,mongodb-profile-us-central-1-68cc49d7b4-hb97n,istio-proxy,29,92
default,mongodb-profile-us-east-1-5f5ffc5c84-pnvjs,hotel-reserv-profile-mongo,54,163
default,mongodb-profile-us-east-1-5f5ffc5c84-pnvjs,istio-proxy,35,95
default,mongodb-profile-us-south-1-7fdcd88b64-s7789,hotel-reserv-profile-mongo,67,163
default,mongodb-profile-us-south-1-7fdcd88b64-s7789,istio-proxy,18,92
default,mongodb-profile-us-west-1-6996d4df6d-5fvjh,hotel-reserv-profile-mongo,261,166
