Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6775fccf8b-cmsjw,consul,11,34
default,consul-6775fccf8b-cmsjw,istio-proxy,11,94
default,frontend-us-central-1-7f88b5d4f-2vgnc,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7f88b5d4f-2vgnc,istio-proxy,8,91
default,frontend-us-central-1-7f88b5d4f-4zbns,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7f88b5d4f-4zbns,istio-proxy,5,92
default,frontend-us-east-1-bd686cbf5-79k7b,hotel-reserv-frontend,0,4
default,frontend-us-east-1-bd686cbf5-79k7b,istio-proxy,8,92
default,frontend-us-east-1-bd686cbf5-kx9s6,hotel-reserv-frontend,0,3
default,frontend-us-east-1-bd686cbf5-kx9s6,istio-proxy,6,93
default,frontend-us-south-1-84f848b68b-4h7nm,hotel-reserv-frontend,0,4
default,frontend-us-south-1-84f848b68b-4h7nm,istio-proxy,9,92
default,frontend-us-south-1-84f848b68b-qdwgz,hotel-reserv-frontend,0,4
default,frontend-us-south-1-84f848b68b-qdwgz,istio-proxy,7,92
default,frontend-us-west-1-56b978c8f8-jstzp,hotel-reserv-frontend,0,4
default,frontend-us-west-1-56b978c8f8-jstzp,istio-proxy,7,91
default,frontend-us-west-1-56b978c8f8-ztfgq,hotel-reserv-frontend,34,12
default,frontend-us-west-1-56b978c8f8-ztfgq,istio-proxy,6,93
default,geo-us-central-1-b5f85c8b9-46v8p,hotel-reserv-geo,0,6
default,geo-us-central-1-b5f85c8b9-46v8p,istio-proxy,8,94
default,geo-us-central-1-b5f85c8b9-z9rjm,hotel-reserv-geo,0,7
default,geo-us-central-1-b5f85c8b9-z9rjm,istio-proxy,8,94
default,geo-us-east-1-65bf656757-gtn6d,hotel-reserv-geo,0,7
default,geo-us-east-1-65bf656757-gtn6d,istio-proxy,8,92
default,geo-us-east-1-65bf656757-rkm69,hotel-reserv-geo,0,6
default,geo-us-east-1-65bf656757-rkm69,istio-proxy,9,93
default,geo-us-south-1-77764797f7-5zlst,hotel-reserv-geo,0,6
default,geo-us-south-1-77764797f7-5zlst,istio-proxy,8,92
default,geo-us-south-1-77764797f7-khr64,hotel-reserv-geo,0,6
default,geo-us-south-1-77764797f7-khr64,istio-proxy,8,91
default,geo-us-west-1-7c689c6c58-4lkp4,hotel-reserv-geo,0,7
default,geo-us-west-1-7c689c6c58-4lkp4,istio-proxy,6,91
default,geo-us-west-1-7c689c6c58-85wfm,hotel-reserv-geo,0,10
default,geo-us-west-1-7c689c6c58-85wfm,istio-proxy,6,92
default,jaeger-76fbf86b78-kj44g,hotel-reserv-jaeger,0,10
default,jaeger-76fbf86b78-kj44g,istio-proxy,5,93
default,memcached-profile-us-central-1-746f8649b7-jf695,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-746f8649b7-jf695,istio-proxy,5,92
default,memcached-profile-us-central-1-746f8649b7-s9pz9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-746f8649b7-s9pz9,istio-proxy,4,92
default,memcached-profile-us-east-1-6d7b88dc75-bl24s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6d7b88dc75-bl24s,istio-proxy,8,91
default,memcached-profile-us-east-1-6d7b88dc75-kjcsg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6d7b88dc75-kjcsg,istio-proxy,8,93
default,memcached-profile-us-south-1-5fdd54977f-279rw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5fdd54977f-279rw,istio-proxy,4,90
default,memcached-profile-us-south-1-5fdd54977f-8b2cv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5fdd54977f-8b2cv,istio-proxy,7,93
default,memcached-profile-us-west-1-7545975db-dk8bg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7545975db-dk8bg,istio-proxy,4,90
default,memcached-profile-us-west-1-7545975db-qbldw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7545975db-qbldw,istio-proxy,6,94
default,memcached-rate-us-central-1-5dcff77bb-f9zm9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5dcff77bb-f9zm9,istio-proxy,9,92
default,memcached-rate-us-central-1-5dcff77bb-t9984,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5dcff77bb-t9984,istio-proxy,7,92
default,memcached-rate-us-east-1-77775997d6-mkjrp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-77775997d6-mkjrp,istio-proxy,6,93
default,memcached-rate-us-east-1-77775997d6-mlvg4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-77775997d6-mlvg4,istio-proxy,7,90
default,memcached-rate-us-south-1-8bc59546-mvt4n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-8bc59546-mvt4n,istio-proxy,7,91
default,memcached-rate-us-south-1-8bc59546-n7j5d,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-8bc59546-n7j5d,istio-proxy,6,91
default,memcached-rate-us-west-1-77f5bcb546-7kz4x,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-77f5bcb546-7kz4x,istio-proxy,8,94
default,memcached-rate-us-west-1-77f5bcb546-d97hh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-77f5bcb546-d97hh,istio-proxy,7,90
default,memcached-reserve-us-central-1-6d7b7f8b45-6rwhx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6d7b7f8b45-6rwhx,istio-proxy,7,92
default,memcached-reserve-us-central-1-6d7b7f8b45-wv7gt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6d7b7f8b45-wv7gt,istio-proxy,7,91
default,memcached-reserve-us-east-1-6ddf666fdc-lnlbc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6ddf666fdc-lnlbc,istio-proxy,5,90
default,memcached-reserve-us-east-1-6ddf666fdc-np9x2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6ddf666fdc-np9x2,istio-proxy,8,92
