counter,region,service,endpoint,rps
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,113
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,88
1,us-south-1,frontend,frontend@POST@/user,100
1,us-south-1,frontend,frontend@POST@/reservation,107
1,us-south-1,frontend,frontend@GET@/recommendations,106
1,us-south-1,frontend,frontend@GET@/hotels,113
1,us-south-1,search,search@POST@/search.Search/Nearby,84
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,181
1,us-south-1,user,user@POST@/user.User/CheckUser,210
1,us-south-1,slateingress,slateingress@POST@/user,112
1,us-south-1,slateingress,slateingress@POST@/reservation,99
1,us-south-1,slateingress,slateingress@GET@/recommendations,104
1,us-south-1,slateingress,slateingress@GET@/hotels,79
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,97
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,89
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,72
1,us-west-1,frontend,frontend@POST@/reservation,227
1,us-west-1,frontend,frontend@POST@/user,871
1,us-west-1,frontend,frontend@GET@/recommendations,503
1,us-west-1,frontend,frontend@GET@/hotels,236
1,us-west-1,search,search@POST@/search.Search/Nearby,229
1,us-west-1,slateingress,slateingress@POST@/user,816
1,us-west-1,slateingress,slateingress@GET@/recommendations,519
1,us-west-1,slateingress,slateingress@POST@/reservation,233
1,us-west-1,slateingress,slateingress@GET@/hotels,244
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,811
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,523
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,239
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,245
1,us-west-1,user,user@POST@/user.User/CheckUser,1135
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,238
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,233
1,us-central-1,user,user@POST@/user.User/CheckUser,206
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,117
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,221
1,us-central-1,slateingress,slateingress@GET@/recommendations,111
1,us-central-1,slateingress,slateingress@POST@/reservation,111
1,us-central-1,slateingress,slateingress@POST@/user,109
1,us-central-1,slateingress,slateingress@GET@/hotels,110
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,103
1,us-central-1,frontend,frontend@POST@/reservation,109
1,us-central-1,frontend,frontend@POST@/user,109
1,us-central-1,frontend,frontend@GET@/recommendations,103
1,us-central-1,frontend,frontend@GET@/hotels,108
1,us-central-1,search,search@POST@/search.Search/Nearby,116
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,100
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,122
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,105
1,us-east-1,slateingress,slateingress@POST@/user,112
1,us-east-1,slateingress,slateingress@POST@/reservation,103
1,us-east-1,slateingress,slateingress@GET@/hotels,107
1,us-east-1,slateingress,slateingress@GET@/recommendations,108
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,209
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,108
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,106
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,101
1,us-east-1,user,user@POST@/user.User/CheckUser,214
1,us-east-1,search,search@POST@/search.Search/Nearby,108
1,us-east-1,frontend,frontend@POST@/user,105
1,us-east-1,frontend,frontend@GET@/recommendations,102
1,us-east-1,frontend,frontend@POST@/reservation,104
1,us-east-1,frontend,frontend@GET@/hotels,109
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
2,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,105
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,100
2,us-south-1,frontend,frontend@POST@/user,112
2,us-south-1,frontend,frontend@POST@/reservation,108
2,us-south-1,frontend,frontend@GET@/recommendations,109
2,us-south-1,frontend,frontend@GET@/hotels,100
2,us-south-1,search,search@POST@/search.Search/Nearby,108
2,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,225
2,us-south-1,user,user@POST@/user.User/CheckUser,212
2,us-south-1,slateingress,slateingress@POST@/user,108
2,us-south-1,slateingress,slateingress@POST@/reservation,103
2,us-south-1,slateingress,slateingress@GET@/recommendations,107
2,us-south-1,slateingress,slateingress@GET@/hotels,112
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,109
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,104
2,us-west-1,frontend,frontend@POST@/reservation,231
2,us-west-1,frontend,frontend@POST@/user,778
2,us-west-1,frontend,frontend@GET@/recommendations,539
2,us-west-1,frontend,frontend@GET@/hotels,213
2,us-west-1,search,search@POST@/search.Search/Nearby,230
2,us-west-1,slateingress,slateingress@POST@/user,788
2,us-west-1,slateingress,slateingress@GET@/recommendations,509
2,us-west-1,slateingress,slateingress@POST@/reservation,208
2,us-west-1,slateingress,slateingress@GET@/hotels,203
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,742
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,514
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,214
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,226
2,us-west-1,user,user@POST@/user.User/CheckUser,1001
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,221
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,217
2,us-central-1,user,user@POST@/user.User/CheckUser,215
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,104
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,208
2,us-central-1,slateingress,slateingress@GET@/recommendations,104
2,us-central-1,slateingress,slateingress@POST@/reservation,103
2,us-central-1,slateingress,slateingress@POST@/user,102
2,us-central-1,slateingress,slateingress@GET@/hotels,107
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,104
2,us-central-1,frontend,frontend@POST@/reservation,101
2,us-central-1,frontend,frontend@POST@/user,106
2,us-central-1,frontend,frontend@GET@/recommendations,107
2,us-central-1,frontend,frontend@GET@/hotels,109
2,us-central-1,search,search@POST@/search.Search/Nearby,103
