Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65b7ff4999-jbhm8,consul,12,36
default,consul-65b7ff4999-jbhm8,istio-proxy,3,94
default,frontend-us-central-1-6567d7759f-lgczs,hotel-reserv-frontend,156,8
default,frontend-us-central-1-6567d7759f-lgczs,istio-proxy,381,97
default,frontend-us-central-1-6567d7759f-mm4ww,hotel-reserv-frontend,166,8
default,frontend-us-central-1-6567d7759f-mm4ww,istio-proxy,269,93
default,frontend-us-east-1-b7bbf4d57-2762b,hotel-reserv-frontend,116,8
default,frontend-us-east-1-b7bbf4d57-2762b,istio-proxy,490,95
default,frontend-us-east-1-b7bbf4d57-7fm74,hotel-reserv-frontend,146,7
default,frontend-us-east-1-b7bbf4d57-7fm74,istio-proxy,47,94
default,frontend-us-south-1-797f44d467-kzvr2,hotel-reserv-frontend,143,8
default,frontend-us-south-1-797f44d467-kzvr2,istio-proxy,279,95
default,frontend-us-south-1-797f44d467-pd5m6,hotel-reserv-frontend,19,7
default,frontend-us-south-1-797f44d467-pd5m6,istio-proxy,346,94
default,frontend-us-west-1-5bc95cbcd5-56964,hotel-reserv-frontend,298,11
default,frontend-us-west-1-5bc95cbcd5-56964,istio-proxy,1488,104
default,frontend-us-west-1-5bc95cbcd5-x95mv,hotel-reserv-frontend,589,12
default,frontend-us-west-1-5bc95cbcd5-x95mv,istio-proxy,1363,105
default,geo-us-central-1-549d656dfc-k76jg,hotel-reserv-geo,15,8
default,geo-us-central-1-549d656dfc-k76jg,istio-proxy,37,93
default,geo-us-central-1-549d656dfc-qkc9q,hotel-reserv-geo,19,8
default,geo-us-central-1-549d656dfc-qkc9q,istio-proxy,41,92
default,geo-us-east-1-cb94f4c7-2s9m9,hotel-reserv-geo,14,8
default,geo-us-east-1-cb94f4c7-2s9m9,istio-proxy,50,93
default,geo-us-east-1-cb94f4c7-8lcxw,hotel-reserv-geo,11,7
default,geo-us-east-1-cb94f4c7-8lcxw,istio-proxy,48,91
default,geo-us-south-1-88445d989-nzjrq,hotel-reserv-geo,9,7
default,geo-us-south-1-88445d989-nzjrq,istio-proxy,53,93
default,geo-us-south-1-88445d989-xm267,hotel-reserv-geo,14,7
default,geo-us-south-1-88445d989-xm267,istio-proxy,55,92
default,geo-us-west-1-5d8ffdfdf7-dsd62,hotel-reserv-geo,59,8
default,geo-us-west-1-5d8ffdfdf7-dsd62,istio-proxy,18,90
default,geo-us-west-1-5d8ffdfdf7-kfq9q,hotel-reserv-geo,55,8
default,geo-us-west-1-5d8ffdfdf7-kfq9q,istio-proxy,126,93
default,jaeger-7d759c5584-wfrq2,hotel-reserv-jaeger,150,107
default,jaeger-7d759c5584-wfrq2,istio-proxy,4,93
default,memcached-profile-us-central-1-55fd77c7f7-ldhll,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55fd77c7f7-ldhll,istio-proxy,4,91
default,memcached-profile-us-central-1-55fd77c7f7-z6wml,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55fd77c7f7-z6wml,istio-proxy,4,94
default,memcached-profile-us-east-1-5fff9fdc5c-4pqpc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5fff9fdc5c-4pqpc,istio-proxy,4,92
default,memcached-profile-us-east-1-5fff9fdc5c-c77gq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5fff9fdc5c-c77gq,istio-proxy,4,94
default,memcached-profile-us-south-1-7b64588fc7-nwwpd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b64588fc7-nwwpd,istio-proxy,4,92
default,memcached-profile-us-south-1-7b64588fc7-rbp8s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b64588fc7-rbp8s,istio-proxy,4,93
default,memcached-profile-us-west-1-54459b5c65-cj78v,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54459b5c65-cj78v,istio-proxy,4,92
default,memcached-profile-us-west-1-54459b5c65-vt7c7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54459b5c65-vt7c7,istio-proxy,5,92
default,memcached-rate-us-central-1-58c6cf9b5-z4hdg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-58c6cf9b5-z4hdg,istio-proxy,4,92
default,memcached-rate-us-central-1-58c6cf9b5-zlpsv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-58c6cf9b5-zlpsv,istio-proxy,4,95
