Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65b7ff4999-jbhm8,consul,10,35
default,consul-65b7ff4999-jbhm8,istio-proxy,3,94
default,frontend-us-central-1-6567d7759f-lgczs,hotel-reserv-frontend,156,8
default,frontend-us-central-1-6567d7759f-lgczs,istio-proxy,480,97
default,frontend-us-central-1-6567d7759f-mm4ww,hotel-reserv-frontend,196,8
default,frontend-us-central-1-6567d7759f-mm4ww,istio-proxy,269,93
default,frontend-us-east-1-b7bbf4d57-2762b,hotel-reserv-frontend,187,8
default,frontend-us-east-1-b7bbf4d57-2762b,istio-proxy,478,96
default,frontend-us-east-1-b7bbf4d57-7fm74,hotel-reserv-frontend,196,8
default,frontend-us-east-1-b7bbf4d57-7fm74,istio-proxy,493,95
default,frontend-us-south-1-797f44d467-kzvr2,hotel-reserv-frontend,195,8
default,frontend-us-south-1-797f44d467-kzvr2,istio-proxy,475,95
default,frontend-us-south-1-797f44d467-pd5m6,hotel-reserv-frontend,199,8
default,frontend-us-south-1-797f44d467-pd5m6,istio-proxy,486,95
default,frontend-us-west-1-5bc95cbcd5-56964,hotel-reserv-frontend,716,12
default,frontend-us-west-1-5bc95cbcd5-56964,istio-proxy,1957,109
default,frontend-us-west-1-5bc95cbcd5-x95mv,hotel-reserv-frontend,589,12
default,frontend-us-west-1-5bc95cbcd5-x95mv,istio-proxy,1748,110
default,geo-us-central-1-549d656dfc-k76jg,hotel-reserv-geo,28,7
default,geo-us-central-1-549d656dfc-k76jg,istio-proxy,55,93
default,geo-us-central-1-549d656dfc-qkc9q,hotel-reserv-geo,26,8
default,geo-us-central-1-549d656dfc-qkc9q,istio-proxy,52,92
default,geo-us-east-1-cb94f4c7-2s9m9,hotel-reserv-geo,27,8
default,geo-us-east-1-cb94f4c7-2s9m9,istio-proxy,51,93
default,geo-us-east-1-cb94f4c7-8lcxw,hotel-reserv-geo,27,8
default,geo-us-east-1-cb94f4c7-8lcxw,istio-proxy,53,92
default,geo-us-south-1-88445d989-nzjrq,hotel-reserv-geo,28,7
default,geo-us-south-1-88445d989-nzjrq,istio-proxy,51,93
default,geo-us-south-1-88445d989-xm267,hotel-reserv-geo,27,8
default,geo-us-south-1-88445d989-xm267,istio-proxy,54,92
default,geo-us-west-1-5d8ffdfdf7-dsd62,hotel-reserv-geo,63,8
default,geo-us-west-1-5d8ffdfdf7-dsd62,istio-proxy,122,91
default,geo-us-west-1-5d8ffdfdf7-kfq9q,hotel-reserv-geo,65,8
default,geo-us-west-1-5d8ffdfdf7-kfq9q,istio-proxy,114,92
default,jaeger-7d759c5584-wfrq2,hotel-reserv-jaeger,243,235
default,jaeger-7d759c5584-wfrq2,istio-proxy,4,93
default,memcached-profile-us-central-1-55fd77c7f7-ldhll,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55fd77c7f7-ldhll,istio-proxy,4,91
default,memcached-profile-us-central-1-55fd77c7f7-z6wml,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55fd77c7f7-z6wml,istio-proxy,4,94
default,memcached-profile-us-east-1-5fff9fdc5c-4pqpc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5fff9fdc5c-4pqpc,istio-proxy,3,92
default,memcached-profile-us-east-1-5fff9fdc5c-c77gq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5fff9fdc5c-c77gq,istio-proxy,3,94
default,memcached-profile-us-south-1-7b64588fc7-nwwpd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b64588fc7-nwwpd,istio-proxy,4,92
default,memcached-profile-us-south-1-7b64588fc7-rbp8s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b64588fc7-rbp8s,istio-proxy,3,93
default,memcached-profile-us-west-1-54459b5c65-cj78v,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54459b5c65-cj78v,istio-proxy,4,92
default,memcached-profile-us-west-1-54459b5c65-vt7c7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54459b5c65-vt7c7,istio-proxy,5,92
default,memcached-rate-us-central-1-58c6cf9b5-z4hdg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-58c6cf9b5-z4hdg,istio-proxy,4,92
default,memcached-rate-us-central-1-58c6cf9b5-zlpsv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-58c6cf9b5-zlpsv,istio-proxy,4,95
default,memcached-rate-us-east-1-86bc6d958-pwbqf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-86bc6d958-pwbqf,istio-proxy,4,91
default,memcached-rate-us-east-1-86bc6d958-vtfjc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-86bc6d958-vtfjc,istio-proxy,4,94
default,memcached-rate-us-south-1-77b749cf86-8fm42,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-77b749cf86-8fm42,istio-proxy,4,92
default,memcached-rate-us-south-1-77b749cf86-vbr29,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-77b749cf86-vbr29,istio-proxy,3,92
default,memcached-rate-us-west-1-675479fc5d-kjmj6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-675479fc5d-kjmj6,istio-proxy,4,91
default,memcached-rate-us-west-1-675479fc5d-n9746,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-675479fc5d-n9746,istio-proxy,4,92
default,memcached-reserve-us-central-1-5966cc7664-2rmqf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5966cc7664-2rmqf,istio-proxy,3,92
default,memcached-reserve-us-central-1-5966cc7664-ktldp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5966cc7664-ktldp,istio-proxy,4,91
default,memcached-reserve-us-east-1-84f5bb7749-gw5l2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-84f5bb7749-gw5l2,istio-proxy,4,93
default,memcached-reserve-us-east-1-84f5bb7749-jkwdj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-84f5bb7749-jkwdj,istio-proxy,4,92
default,memcached-reserve-us-south-1-5c8c5d6ddc-2hsb5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5c8c5d6ddc-2hsb5,istio-proxy,4,90
default,memcached-reserve-us-south-1-5c8c5d6ddc-l8vhw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5c8c5d6ddc-l8vhw,istio-proxy,4,92
default,memcached-reserve-us-west-1-7b7584b7d9-27k59,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b7584b7d9-27k59,istio-proxy,4,91
default,memcached-reserve-us-west-1-7b7584b7d9-dcvd8,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b7584b7d9-dcvd8,istio-proxy,5,94
default,mongodb-geo-us-central-1-847d4fb6f4-r6knh,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-847d4fb6f4-r6knh,istio-proxy,4,90
default,mongodb-geo-us-east-1-779c6d5c5-c6bpq,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-779c6d5c5-c6bpq,istio-proxy,4,94
default,mongodb-geo-us-south-1-68d6767b7c-px47c,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-68d6767b7c-px47c,istio-proxy,4,91
default,mongodb-geo-us-west-1-86cfd6f544-wn66n,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-86cfd6f544-wn66n,istio-proxy,4,90
default,mongodb-profile-us-central-1-5f5bbbb4f4-7bdpc,hotel-reserv-profile-mongo,76,163
default,mongodb-profile-us-central-1-5f5bbbb4f4-7bdpc,istio-proxy,40,92
default,mongodb-profile-us-east-1-66c87959db-kjzwk,hotel-reserv-profile-mongo,76,163
default,mongodb-profile-us-east-1-66c87959db-kjzwk,istio-proxy,40,90
default,mongodb-profile-us-south-1-64cb65574-mxhdv,hotel-reserv-profile-mongo,80,163
default,mongodb-profile-us-south-1-64cb65574-mxhdv,istio-proxy,39,90
default,mongodb-profile-us-west-1-76f4d69494-lv2d5,hotel-reserv-profile-mongo,365,168
default,mongodb-profile-us-west-1-76f4d69494-lv2d5,istio-proxy,206,93
default,mongodb-rate-us-central-1-5498c759cf-8kgst,hotel-reserv-rate-mongo,158,163
default,mongodb-rate-us-central-1-5498c759cf-8kgst,istio-proxy,23,90
default,mongodb-rate-us-east-1-74d86f45f9-t4ftm,hotel-reserv-rate-mongo,148,162
default,mongodb-rate-us-east-1-74d86f45f9-t4ftm,istio-proxy,19,94
default,mongodb-rate-us-south-1-7ccf977879-q78tt,hotel-reserv-rate-mongo,168,162
default,mongodb-rate-us-south-1-7ccf977879-q78tt,istio-proxy,23,94
default,mongodb-rate-us-west-1-85d75c8f6c-c5gh4,hotel-reserv-rate-mongo,470,164
default,mongodb-rate-us-west-1-85d75c8f6c-c5gh4,istio-proxy,47,91
default,mongodb-recommendation-us-central-1-7b864459cd-4tpq2,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-central-1-7b864459cd-4tpq2,istio-proxy,4,91
default,mongodb-recommendation-us-east-1-bf7b9db87-9skzk,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-east-1-bf7b9db87-9skzk,istio-proxy,4,92
default,mongodb-recommendation-us-south-1-845f75cd5-tjcjh,hotel-reserv-recommendation-mongo,4,163
default,mongodb-recommendation-us-south-1-845f75cd5-tjcjh,istio-proxy,4,91
default,mongodb-recommendation-us-west-1-7fdc6dbff5-8xxvl,hotel-reserv-recommendation-mongo,5,161
default,mongodb-recommendation-us-west-1-7fdc6dbff5-8xxvl,istio-proxy,5,93
default,mongodb-reservation-us-central-1-5f74dff58-652x9,hotel-reserv-reservation-mongo,5,162
default,mongodb-reservation-us-central-1-5f74dff58-652x9,istio-proxy,4,91
default,mongodb-reservation-us-east-1-6cb5cb495d-jxb7b,hotel-reserv-reservation-mongo,4,158
default,mongodb-reservation-us-east-1-6cb5cb495d-jxb7b,istio-proxy,3,95
default,mongodb-reservation-us-south-1-6f98866498-dlflj,hotel-reserv-reservation-mongo,4,159
default,mongodb-reservation-us-south-1-6f98866498-dlflj,istio-proxy,4,92
default,mongodb-reservation-us-west-1-77968d6454-tmfjx,hotel-reserv-reservation-mongo,5,158
default,mongodb-reservation-us-west-1-77968d6454-tmfjx,istio-proxy,5,93
default,mongodb-user-us-central-1-55d5d57bdc-cmngf,hotel-reserv-user-mongo,4,210
default,mongodb-user-us-central-1-55d5d57bdc-cmngf,istio-proxy,4,91
default,mongodb-user-us-east-1-5bfd5dd469-8x9f5,hotel-reserv-user-mongo,4,207
default,mongodb-user-us-east-1-5bfd5dd469-8x9f5,istio-proxy,4,93
