Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65b7ff4999-jbhm8,consul,9,34
default,consul-65b7ff4999-jbhm8,istio-proxy,5,94
default,frontend-us-central-1-6567d7759f-lgczs,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6567d7759f-lgczs,istio-proxy,6,95
default,frontend-us-central-1-6567d7759f-mm4ww,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6567d7759f-mm4ww,istio-proxy,10,91
default,frontend-us-east-1-b7bbf4d57-2762b,hotel-reserv-frontend,0,4
default,frontend-us-east-1-b7bbf4d57-2762b,istio-proxy,4,94
default,frontend-us-east-1-b7bbf4d57-7fm74,hotel-reserv-frontend,0,4
default,frontend-us-east-1-b7bbf4d57-7fm74,istio-proxy,47,94
default,frontend-us-south-1-797f44d467-kzvr2,hotel-reserv-frontend,0,4
default,frontend-us-south-1-797f44d467-kzvr2,istio-proxy,6,93
default,frontend-us-south-1-797f44d467-pd5m6,hotel-reserv-frontend,19,7
default,frontend-us-south-1-797f44d467-pd5m6,istio-proxy,6,92
default,frontend-us-west-1-5bc95cbcd5-56964,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5bc95cbcd5-56964,istio-proxy,4,92
default,frontend-us-west-1-5bc95cbcd5-x95mv,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5bc95cbcd5-x95mv,istio-proxy,6,91
default,geo-us-central-1-549d656dfc-k76jg,hotel-reserv-geo,0,6
default,geo-us-central-1-549d656dfc-k76jg,istio-proxy,7,92
default,geo-us-central-1-549d656dfc-qkc9q,hotel-reserv-geo,0,5
default,geo-us-central-1-549d656dfc-qkc9q,istio-proxy,7,92
default,geo-us-east-1-cb94f4c7-2s9m9,hotel-reserv-geo,0,5
default,geo-us-east-1-cb94f4c7-2s9m9,istio-proxy,11,93
default,geo-us-east-1-cb94f4c7-8lcxw,hotel-reserv-geo,0,10
default,geo-us-east-1-cb94f4c7-8lcxw,istio-proxy,4,91
default,geo-us-south-1-88445d989-nzjrq,hotel-reserv-geo,0,6
default,geo-us-south-1-88445d989-nzjrq,istio-proxy,5,92
default,geo-us-south-1-88445d989-xm267,hotel-reserv-geo,0,6
default,geo-us-south-1-88445d989-xm267,istio-proxy,4,91
default,geo-us-west-1-5d8ffdfdf7-dsd62,hotel-reserv-geo,0,10
default,geo-us-west-1-5d8ffdfdf7-dsd62,istio-proxy,18,90
default,geo-us-west-1-5d8ffdfdf7-kfq9q,hotel-reserv-geo,0,6
default,geo-us-west-1-5d8ffdfdf7-kfq9q,istio-proxy,18,92
default,jaeger-7d759c5584-wfrq2,hotel-reserv-jaeger,0,10
default,jaeger-7d759c5584-wfrq2,istio-proxy,4,93
default,memcached-profile-us-central-1-55fd77c7f7-ldhll,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55fd77c7f7-ldhll,istio-proxy,8,91
default,memcached-profile-us-central-1-55fd77c7f7-z6wml,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55fd77c7f7-z6wml,istio-proxy,6,94
default,memcached-profile-us-east-1-5fff9fdc5c-4pqpc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5fff9fdc5c-4pqpc,istio-proxy,7,92
default,memcached-profile-us-east-1-5fff9fdc5c-c77gq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5fff9fdc5c-c77gq,istio-proxy,4,94
default,memcached-profile-us-south-1-7b64588fc7-nwwpd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b64588fc7-nwwpd,istio-proxy,8,92
default,memcached-profile-us-south-1-7b64588fc7-rbp8s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b64588fc7-rbp8s,istio-proxy,6,94
default,memcached-profile-us-west-1-54459b5c65-cj78v,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54459b5c65-cj78v,istio-proxy,6,92
default,memcached-profile-us-west-1-54459b5c65-vt7c7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54459b5c65-vt7c7,istio-proxy,5,92
default,memcached-rate-us-central-1-58c6cf9b5-z4hdg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-58c6cf9b5-z4hdg,istio-proxy,6,92
default,memcached-rate-us-central-1-58c6cf9b5-zlpsv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-58c6cf9b5-zlpsv,istio-proxy,6,95
default,memcached-rate-us-east-1-86bc6d958-pwbqf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-86bc6d958-pwbqf,istio-proxy,4,91
default,memcached-rate-us-east-1-86bc6d958-vtfjc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-86bc6d958-vtfjc,istio-proxy,4,94
default,memcached-rate-us-south-1-77b749cf86-8fm42,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-77b749cf86-8fm42,istio-proxy,7,92
default,memcached-rate-us-south-1-77b749cf86-vbr29,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-77b749cf86-vbr29,istio-proxy,7,92
default,memcached-rate-us-west-1-675479fc5d-kjmj6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-675479fc5d-kjmj6,istio-proxy,5,91
default,memcached-rate-us-west-1-675479fc5d-n9746,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-675479fc5d-n9746,istio-proxy,4,92
default,memcached-reserve-us-central-1-5966cc7664-2rmqf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5966cc7664-2rmqf,istio-proxy,4,92
default,memcached-reserve-us-central-1-5966cc7664-ktldp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5966cc7664-ktldp,istio-proxy,5,91
default,memcached-reserve-us-east-1-84f5bb7749-gw5l2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-84f5bb7749-gw5l2,istio-proxy,6,93
default,memcached-reserve-us-east-1-84f5bb7749-jkwdj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-84f5bb7749-jkwdj,istio-proxy,5,92
default,memcached-reserve-us-south-1-5c8c5d6ddc-2hsb5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5c8c5d6ddc-2hsb5,istio-proxy,4,90
default,memcached-reserve-us-south-1-5c8c5d6ddc-l8vhw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5c8c5d6ddc-l8vhw,istio-proxy,9,92
default,memcached-reserve-us-west-1-7b7584b7d9-27k59,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b7584b7d9-27k59,istio-proxy,4,92
default,memcached-reserve-us-west-1-7b7584b7d9-dcvd8,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b7584b7d9-dcvd8,istio-proxy,5,94
default,mongodb-geo-us-central-1-847d4fb6f4-r6knh,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-847d4fb6f4-r6knh,istio-proxy,6,90
default,mongodb-geo-us-east-1-779c6d5c5-c6bpq,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-779c6d5c5-c6bpq,istio-proxy,5,94
default,mongodb-geo-us-south-1-68d6767b7c-px47c,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-68d6767b7c-px47c,istio-proxy,6,91
default,mongodb-geo-us-west-1-86cfd6f544-wn66n,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-86cfd6f544-wn66n,istio-proxy,7,90
default,mongodb-profile-us-central-1-5f5bbbb4f4-7bdpc,hotel-reserv-profile-mongo,4,161
default,mongodb-profile-us-central-1-5f5bbbb4f4-7bdpc,istio-proxy,4,92
default,mongodb-profile-us-east-1-66c87959db-kjzwk,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-east-1-66c87959db-kjzwk,istio-proxy,10,90
default,mongodb-profile-us-south-1-64cb65574-mxhdv,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-south-1-64cb65574-mxhdv,istio-proxy,8,90
default,mongodb-profile-us-west-1-76f4d69494-lv2d5,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-west-1-76f4d69494-lv2d5,istio-proxy,9,92
default,mongodb-rate-us-central-1-5498c759cf-8kgst,hotel-reserv-rate-mongo,3,157
default,mongodb-rate-us-central-1-5498c759cf-8kgst,istio-proxy,4,90
default,mongodb-rate-us-east-1-74d86f45f9-t4ftm,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-east-1-74d86f45f9-t4ftm,istio-proxy,4,93
default,mongodb-rate-us-south-1-7ccf977879-q78tt,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-south-1-7ccf977879-q78tt,istio-proxy,9,94
default,mongodb-rate-us-west-1-85d75c8f6c-c5gh4,hotel-reserv-rate-mongo,82,164
default,mongodb-rate-us-west-1-85d75c8f6c-c5gh4,istio-proxy,6,91
default,mongodb-recommendation-us-central-1-7b864459cd-4tpq2,hotel-reserv-recommendation-mongo,3,157
default,mongodb-recommendation-us-central-1-7b864459cd-4tpq2,istio-proxy,4,91
default,mongodb-recommendation-us-east-1-bf7b9db87-9skzk,hotel-reserv-recommendation-mongo,3,157
default,mongodb-recommendation-us-east-1-bf7b9db87-9skzk,istio-proxy,4,92
default,mongodb-recommendation-us-south-1-845f75cd5-tjcjh,hotel-reserv-recommendation-mongo,3,163
default,mongodb-recommendation-us-south-1-845f75cd5-tjcjh,istio-proxy,4,91
default,mongodb-recommendation-us-west-1-7fdc6dbff5-8xxvl,hotel-reserv-recommendation-mongo,4,157
default,mongodb-recommendation-us-west-1-7fdc6dbff5-8xxvl,istio-proxy,9,93
default,mongodb-reservation-us-central-1-5f74dff58-652x9,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-central-1-5f74dff58-652x9,istio-proxy,9,91
default,mongodb-reservation-us-east-1-6cb5cb495d-jxb7b,hotel-reserv-reservation-mongo,3,158
default,mongodb-reservation-us-east-1-6cb5cb495d-jxb7b,istio-proxy,4,95
default,mongodb-reservation-us-south-1-6f98866498-dlflj,hotel-reserv-reservation-mongo,3,158
default,mongodb-reservation-us-south-1-6f98866498-dlflj,istio-proxy,7,92
default,mongodb-reservation-us-west-1-77968d6454-tmfjx,hotel-reserv-reservation-mongo,16,158
default,mongodb-reservation-us-west-1-77968d6454-tmfjx,istio-proxy,4,93
default,mongodb-user-us-central-1-55d5d57bdc-cmngf,hotel-reserv-user-mongo,3,210
default,mongodb-user-us-central-1-55d5d57bdc-cmngf,istio-proxy,5,91
default,mongodb-user-us-east-1-5bfd5dd469-8x9f5,hotel-reserv-user-mongo,3,207
default,mongodb-user-us-east-1-5bfd5dd469-8x9f5,istio-proxy,4,93
default,mongodb-user-us-south-1-5d46bb48c-fz5fc,hotel-reserv-user-mongo,72,159
default,mongodb-user-us-south-1-5d46bb48c-fz5fc,istio-proxy,12,92
default,mongodb-user-us-west-1-5bdfcf9649-zdfsh,hotel-reserv-user-mongo,4,220
default,mongodb-user-us-west-1-5bdfcf9649-zdfsh,istio-proxy,3,91
default,profile-us-central-1-67fb6f4f9d-bbjxf,hotel-reserv-profile,0,3
default,profile-us-central-1-67fb6f4f9d-bbjxf,istio-proxy,6,91
default,profile-us-central-1-67fb6f4f9d-ppq7x,hotel-reserv-profile,0,5
default,profile-us-central-1-67fb6f4f9d-ppq7x,istio-proxy,6,94
default,profile-us-east-1-6fc4854fd4-7r9hl,hotel-reserv-profile,15,7
default,profile-us-east-1-6fc4854fd4-7r9hl,istio-proxy,7,93
default,profile-us-east-1-6fc4854fd4-wcv7r,hotel-reserv-profile,8,8
default,profile-us-east-1-6fc4854fd4-wcv7r,istio-proxy,8,90
default,profile-us-south-1-6864564758-bhpqw,hotel-reserv-profile,0,5
default,profile-us-south-1-6864564758-bhpqw,istio-proxy,7,95
default,profile-us-south-1-6864564758-clhdr,hotel-reserv-profile,0,3
default,profile-us-south-1-6864564758-clhdr,istio-proxy,4,94
default,profile-us-west-1-5db9f44fd8-6cj5q,hotel-reserv-profile,0,5
default,profile-us-west-1-5db9f44fd8-6cj5q,istio-proxy,38,94
default,profile-us-west-1-5db9f44fd8-mz77h,hotel-reserv-profile,12,8
default,profile-us-west-1-5db9f44fd8-mz77h,istio-proxy,3,93
default,rate-us-central-1-65847668f7-rgxz9,hotel-reserv-rate,0,3
default,rate-us-central-1-65847668f7-rgxz9,istio-proxy,4,94
default,rate-us-central-1-65847668f7-xkw62,hotel-reserv-rate,0,4
default,rate-us-central-1-65847668f7-xkw62,istio-proxy,7,92
default,rate-us-east-1-69dffd7979-ks8mw,hotel-reserv-rate,0,3
default,rate-us-east-1-69dffd7979-ks8mw,istio-proxy,8,93
default,rate-us-east-1-69dffd7979-rq2hd,hotel-reserv-rate,0,4
default,rate-us-east-1-69dffd7979-rq2hd,istio-proxy,7,93
default,rate-us-south-1-c894fc497-6f5fh,hotel-reserv-rate,0,3
default,rate-us-south-1-c894fc497-6f5fh,istio-proxy,5,91
default,rate-us-south-1-c894fc497-nnz6n,hotel-reserv-rate,0,3
default,rate-us-south-1-c894fc497-nnz6n,istio-proxy,8,92
default,rate-us-west-1-8584c6f8c-nbzrf,hotel-reserv-rate,0,4
default,rate-us-west-1-8584c6f8c-nbzrf,istio-proxy,23,95
default,rate-us-west-1-8584c6f8c-qfg7g,hotel-reserv-rate,6,7
default,rate-us-west-1-8584c6f8c-qfg7g,istio-proxy,19,93
default,recommendation-us-central-1-7f695b6bdc-jrswc,hotel-reserv-recommendation,0,14
default,recommendation-us-central-1-7f695b6bdc-jrswc,istio-proxy,9,92
default,recommendation-us-central-1-7f695b6bdc-lvflm,hotel-reserv-recommendation,0,14
default,recommendation-us-central-1-7f695b6bdc-lvflm,istio-proxy,5,93
default,recommendation-us-east-1-c9799567b-k8ttr,hotel-reserv-recommendation,4,15
default,recommendation-us-east-1-c9799567b-k8ttr,istio-proxy,8,93
default,recommendation-us-east-1-c9799567b-ncrl9,hotel-reserv-recommendation,0,15
default,recommendation-us-east-1-c9799567b-ncrl9,istio-proxy,6,91
default,recommendation-us-south-1-5ff9dbcd94-4kp5v,hotel-reserv-recommendation,0,13
default,recommendation-us-south-1-5ff9dbcd94-4kp5v,istio-proxy,12,92
default,recommendation-us-south-1-5ff9dbcd94-vb8m9,hotel-reserv-recommendation,0,14
default,recommendation-us-south-1-5ff9dbcd94-vb8m9,istio-proxy,7,92
default,recommendation-us-west-1-7c9589ff48-s899t,hotel-reserv-recommendation,0,18
default,recommendation-us-west-1-7c9589ff48-s899t,istio-proxy,4,91
default,recommendation-us-west-1-7c9589ff48-tbs65,hotel-reserv-recommendation,2,19
default,recommendation-us-west-1-7c9589ff48-tbs65,istio-proxy,21,92
default,reservation-us-central-1-5497b7f5d5-f4t89,hotel-reserv-reservation,0,4
default,reservation-us-central-1-5497b7f5d5-f4t89,istio-proxy,7,92
default,reservation-us-central-1-5497b7f5d5-m74np,hotel-reserv-reservation,2,3
default,reservation-us-central-1-5497b7f5d5-m74np,istio-proxy,15,91
default,reservation-us-east-1-f64bfc55d-477dk,hotel-reserv-reservation,0,5
default,reservation-us-east-1-f64bfc55d-477dk,istio-proxy,14,93
default,reservation-us-east-1-f64bfc55d-p885h,hotel-reserv-reservation,0,3
default,reservation-us-east-1-f64bfc55d-p885h,istio-proxy,15,92
default,reservation-us-south-1-f59f5bcb6-2xdc6,hotel-reserv-reservation,0,4
default,reservation-us-south-1-f59f5bcb6-2xdc6,istio-proxy,16,95
default,reservation-us-south-1-f59f5bcb6-t96q2,hotel-reserv-reservation,0,3
default,reservation-us-south-1-f59f5bcb6-t96q2,istio-proxy,15,92
default,reservation-us-west-1-5f859f7ddb-64dq4,hotel-reserv-reservation,0,5
default,reservation-us-west-1-5f859f7ddb-64dq4,istio-proxy,4,91
default,reservation-us-west-1-5f859f7ddb-smn7k,hotel-reserv-reservation,0,4
default,reservation-us-west-1-5f859f7ddb-smn7k,istio-proxy,5,93
default,search-us-central-1-6b8b7b7667-7fm2c,hotel-reserv-search,0,2
default,search-us-central-1-6b8b7b7667-7fm2c,istio-proxy,6,94
default,search-us-central-1-6b8b7b7667-zhr6d,hotel-reserv-search,0,2
default,search-us-central-1-6b8b7b7667-zhr6d,istio-proxy,4,91
default,search-us-east-1-786885889c-9kgjq,hotel-reserv-search,0,3
default,search-us-east-1-786885889c-9kgjq,istio-proxy,23,92
default,search-us-east-1-786885889c-hpnbq,hotel-reserv-search,0,3
default,search-us-east-1-786885889c-hpnbq,istio-proxy,4,91
default,search-us-south-1-7658b85d-jnz7s,hotel-reserv-search,0,2
default,search-us-south-1-7658b85d-jnz7s,istio-proxy,7,93
default,search-us-south-1-7658b85d-qcb75,hotel-reserv-search,0,2
default,search-us-south-1-7658b85d-qcb75,istio-proxy,7,92
default,search-us-west-1-847b4f8d78-4ztdz,hotel-reserv-search,0,2
default,search-us-west-1-847b4f8d78-4ztdz,istio-proxy,7,93
default,search-us-west-1-847b4f8d78-8hdbj,hotel-reserv-search,0,3
default,search-us-west-1-847b4f8d78-8hdbj,istio-proxy,5,93
default,slate-controller-6c45d5768b-fntx2,slate-controller,313,163
default,slate-controller-6c45d5768b-fntx2,istio-proxy,98,101
default,slateingress-us-central-1-5994fd645b-6vcsr,slateingress,0,6
default,slateingress-us-central-1-5994fd645b-6vcsr,istio-proxy,59,93
default,slateingress-us-central-1-5994fd645b-7x9kj,slateingress,0,5
default,slateingress-us-central-1-5994fd645b-7x9kj,istio-proxy,8,87
default,slateingress-us-east-1-5ddb88cb88-fjzhk,slateingress,0,5
default,slateingress-us-east-1-5ddb88cb88-fjzhk,istio-proxy,4,90
default,slateingress-us-east-1-5ddb88cb88-s2n5p,slateingress,16,11
default,slateingress-us-east-1-5ddb88cb88-s2n5p,istio-proxy,4,88
default,slateingress-us-south-1-86cb94568c-c2x7b,slateingress,0,5
default,slateingress-us-south-1-86cb94568c-c2x7b,istio-proxy,3,89
default,slateingress-us-south-1-86cb94568c-zxfwg,slateingress,0,5
default,slateingress-us-south-1-86cb94568c-zxfwg,istio-proxy,4,88
default,slateingress-us-west-1-644dc76597-ck5q7,slateingress,0,5
default,slateingress-us-west-1-644dc76597-ck5q7,istio-proxy,7,90
default,slateingress-us-west-1-644dc76597-wkr5q,slateingress,0,5
default,slateingress-us-west-1-644dc76597-wkr5q,istio-proxy,222,126
default,user-us-central-1-66db8c546d-rkct2,hotel-reserv-user,0,67
default,user-us-central-1-66db8c546d-rkct2,istio-proxy,7,93
default,user-us-central-1-66db8c546d-s94f6,hotel-reserv-user,0,66
default,user-us-central-1-66db8c546d-s94f6,istio-proxy,6,92
default,user-us-east-1-674557b758-2bczs,hotel-reserv-user,2,64
default,user-us-east-1-674557b758-2bczs,istio-proxy,12,91
default,user-us-east-1-674557b758-fwh7l,hotel-reserv-user,0,64
default,user-us-east-1-674557b758-fwh7l,istio-proxy,6,91
default,user-us-south-1-5f6b9694c7-4cfzk,hotel-reserv-user,0,65
default,user-us-south-1-5f6b9694c7-4cfzk,istio-proxy,7,92
default,user-us-south-1-5f6b9694c7-5vq6s,hotel-reserv-user,0,64
default,user-us-south-1-5f6b9694c7-5vq6s,istio-proxy,7,93
default,user-us-west-1-7bcff7d4bf-n2r9n,hotel-reserv-user,0,92
default,user-us-west-1-7bcff7d4bf-n2r9n,istio-proxy,7,94
default,user-us-west-1-7bcff7d4bf-vx4m9,hotel-reserv-user,0,93
default,user-us-west-1-7bcff7d4bf-vx4m9,istio-proxy,8,92
istio-system,istio-ingressgateway-9668cd8d6-4dwfq,istio-proxy,45,77
