Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,36
default,consul-cc8f4df9-4gqrn,istio-proxy,3,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,355,15
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,670,121
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,353,15
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,712,119
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,114,16
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,312,118
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,110,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,351,118
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,99,88
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,182,274
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,237,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,398,168
default,frontend-us-west-1-55844bcc9b-dgltt,hotel-reserv-frontend,270,19
default,frontend-us-west-1-55844bcc9b-dgltt,istio-proxy,937,121
default,frontend-us-west-1-55844bcc9b-r22cb,hotel-reserv-frontend,454,18
default,frontend-us-west-1-55844bcc9b-r22cb,istio-proxy,788,117
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,44,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,75,92
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,40,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,91,91
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,18,9
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,39,91
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,18,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,36,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,22,11
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,37,92
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,22,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,42,91
default,geo-us-west-1-8689c86b47-26xsq,hotel-reserv-geo,53,9
default,geo-us-west-1-8689c86b47-26xsq,istio-proxy,115,92
default,geo-us-west-1-8689c86b47-wf5nq,hotel-reserv-geo,43,10
default,geo-us-west-1-8689c86b47-wf5nq,istio-proxy,105,93
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,200,590
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,91
