Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,36
default,consul-cc8f4df9-4gqrn,istio-proxy,4,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,0,15
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,4,117
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,0,14
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,4,116
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,0,14
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,6,117
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,0,15
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,4,118
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,0,76
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,5,253
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,0,32
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,5,166
default,frontend-us-west-1-55844bcc9b-dgltt,hotel-reserv-frontend,0,4
default,frontend-us-west-1-55844bcc9b-dgltt,istio-proxy,5,92
default,frontend-us-west-1-55844bcc9b-r22cb,hotel-reserv-frontend,0,5
default,frontend-us-west-1-55844bcc9b-r22cb,istio-proxy,4,89
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,0,8
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,4,92
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,0,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,4,91
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,4,91
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,3,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,11
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,6,92
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,0,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,6,91
default,geo-us-west-1-8689c86b47-26xsq,hotel-reserv-geo,0,14
default,geo-us-west-1-8689c86b47-26xsq,istio-proxy,5,91
default,geo-us-west-1-8689c86b47-wf5nq,hotel-reserv-geo,0,15
default,geo-us-west-1-8689c86b47-wf5nq,istio-proxy,5,92
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,0,429
default,jaeger-54fccc9ddc-lffg5,istio-proxy,6,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,6,91
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,93
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,5,92
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,4,90
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,4,93
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,4,91
default,memcached-profile-us-west-1-78468ff78-btb84,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-78468ff78-btb84,istio-proxy,4,94
default,memcached-profile-us-west-1-78468ff78-l58wk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-78468ff78-l58wk,istio-proxy,6,92
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,93
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,4,89
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,6,91
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,4,90
default,memcached-rate-us-west-1-547666bcf8-4rjcv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-547666bcf8-4rjcv,istio-proxy,4,90
default,memcached-rate-us-west-1-547666bcf8-cwv66,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-547666bcf8-cwv66,istio-proxy,4,92
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,4,91
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,4,91
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,4,92
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,4,91
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,4,93
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,4,90
default,memcached-reserve-us-west-1-75978b7dfb-28965,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-75978b7dfb-28965,istio-proxy,6,89
default,memcached-reserve-us-west-1-75978b7dfb-frbdz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-75978b7dfb-frbdz,istio-proxy,4,90
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,istio-proxy,4,91
default,mongodb-geo-us-east-1-c88966fc-c2ghk,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-c88966fc-c2ghk,istio-proxy,4,92
default,mongodb-geo-us-south-1-774ff447f9-z5r25,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-774ff447f9-z5r25,istio-proxy,5,91
default,mongodb-geo-us-west-1-78c858d969-2wllk,hotel-reserv-geo-mongo,11,157
default,mongodb-geo-us-west-1-78c858d969-2wllk,istio-proxy,6,93
default,mongodb-profile-us-central-1-554f6d9585-k8n69,hotel-reserv-profile-mongo,3,168
default,mongodb-profile-us-central-1-554f6d9585-k8n69,istio-proxy,4,91
default,mongodb-profile-us-east-1-76c47b747f-n69br,hotel-reserv-profile-mongo,3,170
default,mongodb-profile-us-east-1-76c47b747f-n69br,istio-proxy,5,91
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,hotel-reserv-profile-mongo,4,179
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,istio-proxy,4,92
default,mongodb-profile-us-west-1-594cf957cf-mbhbb,hotel-reserv-profile-mongo,63,147
default,mongodb-profile-us-west-1-594cf957cf-mbhbb,istio-proxy,10,92
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,hotel-reserv-rate-mongo,3,166
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,istio-proxy,5,90
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,hotel-reserv-rate-mongo,3,168
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,istio-proxy,4,92
default,mongodb-rate-us-south-1-7b885fc966-qnddf,hotel-reserv-rate-mongo,3,169
default,mongodb-rate-us-south-1-7b885fc966-qnddf,istio-proxy,6,91
default,mongodb-rate-us-west-1-86fcd944d-h2xz6,hotel-reserv-rate-mongo,5,157
default,mongodb-rate-us-west-1-86fcd944d-h2xz6,istio-proxy,4,92
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,istio-proxy,4,90
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,istio-proxy,4,90
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,istio-proxy,4,91
default,mongodb-recommendation-us-west-1-668cf59f75-5xbpd,hotel-reserv-recommendation-mongo,N/A,N/A
default,mongodb-recommendation-us-west-1-668cf59f75-5xbpd,istio-proxy,N/A,N/A
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,hotel-reserv-reservation-mongo,3,159
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,istio-proxy,4,90
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,hotel-reserv-reservation-mongo,3,162
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,istio-proxy,4,90
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,hotel-reserv-reservation-mongo,3,162
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,istio-proxy,4,95
default,mongodb-reservation-us-west-1-679dd6db55-qzh8z,hotel-reserv-reservation-mongo,76,147
default,mongodb-reservation-us-west-1-679dd6db55-qzh8z,istio-proxy,14,90
default,mongodb-user-us-central-1-55bb5c8497-fjf9f,hotel-reserv-user-mongo,3,205
default,mongodb-user-us-central-1-55bb5c8497-fjf9f,istio-proxy,5,91
default,mongodb-user-us-east-1-769ddfbf47-7zcp2,hotel-reserv-user-mongo,4,197
default,mongodb-user-us-east-1-769ddfbf47-7zcp2,istio-proxy,6,92
default,mongodb-user-us-south-1-564845989c-pz6zw,hotel-reserv-user-mongo,4,161
default,mongodb-user-us-south-1-564845989c-pz6zw,istio-proxy,4,95
default,mongodb-user-us-west-1-65d58bb6bc-q9bhr,hotel-reserv-user-mongo,73,147
default,mongodb-user-us-west-1-65d58bb6bc-q9bhr,istio-proxy,9,90
default,profile-us-central-1-65cdbbc48f-8s8d8,hotel-reserv-profile,0,13
default,profile-us-central-1-65cdbbc48f-8s8d8,istio-proxy,5,94
default,profile-us-central-1-65cdbbc48f-x5wqq,hotel-reserv-profile,0,12
default,profile-us-central-1-65cdbbc48f-x5wqq,istio-proxy,7,95
default,profile-us-east-1-6d886b9db9-7bcfv,hotel-reserv-profile,0,14
default,profile-us-east-1-6d886b9db9-7bcfv,istio-proxy,5,95
default,profile-us-east-1-6d886b9db9-bdncr,hotel-reserv-profile,0,14
default,profile-us-east-1-6d886b9db9-bdncr,istio-proxy,5,95
default,profile-us-south-1-7b44bdc669-8967d,hotel-reserv-profile,0,24
default,profile-us-south-1-7b44bdc669-8967d,istio-proxy,5,97
default,profile-us-south-1-7b44bdc669-gx4hm,hotel-reserv-profile,0,23
default,profile-us-south-1-7b44bdc669-gx4hm,istio-proxy,4,98
default,profile-us-west-1-76978cd489-4dmn7,hotel-reserv-profile,0,5
default,profile-us-west-1-76978cd489-4dmn7,istio-proxy,6,93
default,profile-us-west-1-76978cd489-lwljf,hotel-reserv-profile,0,5
