counter,region,service,endpoint,rps
1,us-east-1,search,search@POST@/search.Search/Nearby,87
1,us-east-1,slateingress,slateingress@GET@/recommendations,95
1,us-east-1,slateingress,slateingress@POST@/user,99
1,us-east-1,slateingress,slateingress@POST@/reservation,115
1,us-east-1,slateingress,slateingress@GET@/hotels,97
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,93
1,us-east-1,user,user@POST@/user.User/CheckUser,171
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,98
1,us-east-1,frontend,frontend@POST@/user,83
1,us-east-1,frontend,frontend@GET@/recommendations,85
1,us-east-1,frontend,frontend@POST@/reservation,98
1,us-east-1,frontend,frontend@GET@/hotels,96
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,182
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,93
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,103
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,87
1,us-west-1,frontend,frontend@GET@/recommendations,452
1,us-west-1,frontend,frontend@POST@/user,423
1,us-west-1,frontend,frontend@POST@/reservation,400
1,us-west-1,frontend,frontend@GET@/hotels,405
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,371
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,393
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,444
1,us-west-1,slateingress,slateingress@POST@/reservation,441
1,us-west-1,slateingress,slateingress@POST@/user,425
1,us-west-1,slateingress,slateingress@GET@/recommendations,451
1,us-west-1,slateingress,slateingress@GET@/hotels,414
1,us-west-1,user,user@POST@/user.User/CheckUser,839
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,381
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,720
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,412
1,us-west-1,search,search@POST@/search.Search/Nearby,411
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,91
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,96
1,us-central-1,slateingress,slateingress@POST@/user,113
1,us-central-1,slateingress,slateingress@GET@/recommendations,103
1,us-central-1,slateingress,slateingress@POST@/reservation,92
1,us-central-1,slateingress,slateingress@GET@/hotels,82
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,109
1,us-central-1,search,search@POST@/search.Search/Nearby,107
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,103
1,us-central-1,frontend,frontend@POST@/user,107
1,us-central-1,frontend,frontend@GET@/recommendations,97
1,us-central-1,frontend,frontend@POST@/reservation,92
1,us-central-1,frontend,frontend@GET@/hotels,78
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,191
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,90
1,us-central-1,user,user@POST@/user.User/CheckUser,187
1,us-south-1,frontend,frontend@GET@/recommendations,56
1,us-south-1,frontend,frontend@GET@/hotels,57
1,us-south-1,frontend,frontend@POST@/reservation,69
1,us-south-1,frontend,frontend@POST@/user,91
1,us-south-1,slateingress,slateingress@POST@/user,99
1,us-south-1,slateingress,slateingress@POST@/reservation,69
1,us-south-1,slateingress,slateingress@GET@/recommendations,78
1,us-south-1,slateingress,slateingress@GET@/hotels,57
1,us-south-1,search,search@POST@/search.Search/Nearby,64
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,53
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,65
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,119
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,72
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,89
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,93
1,us-south-1,user,user@POST@/user.User/CheckUser,209
2,us-east-1,search,search@POST@/search.Search/Nearby,99
2,us-east-1,slateingress,slateingress@GET@/recommendations,96
2,us-east-1,slateingress,slateingress@POST@/user,94
2,us-east-1,slateingress,slateingress@POST@/reservation,88
2,us-east-1,slateingress,slateingress@GET@/hotels,99
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,95
2,us-east-1,user,user@POST@/user.User/CheckUser,180
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,94
2,us-east-1,frontend,frontend@POST@/user,93
2,us-east-1,frontend,frontend@GET@/recommendations,90
2,us-east-1,frontend,frontend@POST@/reservation,82
2,us-east-1,frontend,frontend@GET@/hotels,94
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,169
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,89
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,90
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,85
2,us-west-1,frontend,frontend@GET@/recommendations,472
2,us-west-1,frontend,frontend@POST@/user,483
2,us-west-1,frontend,frontend@POST@/reservation,451
2,us-west-1,frontend,frontend@GET@/hotels,457
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,430
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,546
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,492
2,us-west-1,slateingress,slateingress@POST@/reservation,453
2,us-west-1,slateingress,slateingress@POST@/user,490
2,us-west-1,slateingress,slateingress@GET@/recommendations,462
2,us-west-1,slateingress,slateingress@GET@/hotels,452
2,us-west-1,user,user@POST@/user.User/CheckUser,1065
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,444
