,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
0,2,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-east-1,us-east-1,406,406,1.0
1,2,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-east-1,us-east-1,406,406,1.0
2,2,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-east-1,us-east-1,406,406,1.0
3,2,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-east-1,us-east-1,406,406,1.0
4,2,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-west-1,801,1731,0.462738301559792
5,2,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-west-1,us-west-1,801,1731,0.462738301559792
6,2,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-west-1,us-west-1,801,1731,0.462738301559792
7,2,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-west-1,us-west-1,801,1731,0.462738301559792
8,2,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-central-1,411,1731,0.23743500866551126
9,2,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-west-1,us-central-1,411,1731,0.23743500866551126
10,2,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-west-1,us-central-1,411,1731,0.23743500866551126
11,2,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-west-1,us-central-1,411,1731,0.23743500866551126
12,2,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-south-1,498,1731,0.2876949740034662
13,2,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-west-1,us-south-1,498,1731,0.2876949740034662
14,2,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-west-1,us-south-1,498,1731,0.2876949740034662
15,2,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-west-1,us-south-1,498,1731,0.2876949740034662
16,2,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-east-1,21,1731,0.012131715771230503
17,2,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-west-1,us-east-1,21,1731,0.012131715771230503
18,2,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-west-1,us-east-1,21,1731,0.012131715771230503
19,2,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-west-1,us-east-1,21,1731,0.012131715771230503
20,2,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-central-1,us-central-1,390,390,1.0
21,2,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-central-1,us-central-1,390,390,1.0
22,2,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-central-1,us-central-1,390,390,1.0
23,2,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-central-1,us-central-1,390,390,1.0
24,2,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-south-1,us-south-1,303,303,1.0
25,2,slateingress,frontend,slateingress@POST@/user,frontend@POST@/user,us-south-1,us-south-1,303,303,1.0
26,2,slateingress,frontend,slateingress@GET@/recommendations,frontend@GET@/recommendations,us-south-1,us-south-1,303,303,1.0
27,2,slateingress,frontend,slateingress@POST@/reservation,frontend@POST@/reservation,us-south-1,us-south-1,303,303,1.0
28,2,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-east-1,us-east-1,-1,-1,1.0
29,2,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-east-1,us-east-1,-1,-1,1.0
30,2,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-east-1,us-east-1,-1,-1,1.0
31,2,frontend,user,frontend@GET@/hotels,user@POST@/user.User/CheckUser,us-east-1,us-east-1,-1,-1,1.0
32,2,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-east-1,us-east-1,-1,-1,1.0
33,2,frontend,recommendation,frontend@GET@/hotels,recommendation@POST@/recommendation.Recommendation/GetRecommendations,us-east-1,us-east-1,-1,-1,1.0
34,2,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/MakeReservation,us-east-1,us-east-1,-1,-1,1.0
35,2,frontend,user,frontend@GET@/hotels,user@POST@/user.User/CheckUser,us-east-1,us-east-1,-1,-1,1.0
36,2,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-east-1,us-east-1,-1,-1,1.0
37,2,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-east-1,us-east-1,-1,-1,1.0
38,2,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-east-1,us-east-1,-1,-1,1.0
