Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,37
default,consul-cc8f4df9-4gqrn,istio-proxy,3,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,0,15
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,461,123
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,164,16
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,4,121
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,73,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,4,119
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,11,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,4,119
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,46,91
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,244,298
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,0,33
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,558,171
default,frontend-us-west-1-f8f8f5f5-rzvlr,hotel-reserv-frontend,0,6
default,frontend-us-west-1-f8f8f5f5-rzvlr,istio-proxy,808,136
default,frontend-us-west-1-f8f8f5f5-vwppf,hotel-reserv-frontend,0,7
default,frontend-us-west-1-f8f8f5f5-vwppf,istio-proxy,263,105
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,18,10
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,52,92
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,25,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,3,90
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,9,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,5,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,5,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,6,10
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,4,92
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,0,10
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,5,90
default,geo-us-west-1-75dbd878bd-dw7b5,hotel-reserv-geo,42,8
default,geo-us-west-1-75dbd878bd-dw7b5,istio-proxy,5,90
default,geo-us-west-1-75dbd878bd-hkqhv,hotel-reserv-geo,0,14
default,geo-us-west-1-75dbd878bd-hkqhv,istio-proxy,46,92
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,17,599
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,91
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,5,93
