Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,37
default,consul-cc8f4df9-4gqrn,istio-proxy,3,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,308,16
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,919,126
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,355,16
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,619,123
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,145,16
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,433,120
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,215,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,561,120
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,130,107
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,244,298
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,383,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,598,174
default,frontend-us-west-1-f8f8f5f5-rzvlr,hotel-reserv-frontend,429,25
default,frontend-us-west-1-f8f8f5f5-rzvlr,istio-proxy,952,137
default,frontend-us-west-1-f8f8f5f5-vwppf,hotel-reserv-frontend,382,27
default,frontend-us-west-1-f8f8f5f5-vwppf,istio-proxy,1114,144
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,18,10
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,85,92
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,45,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,80,90
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,24,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,43,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,23,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,37,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,28,11
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,55,92
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,25,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,42,90
default,geo-us-west-1-75dbd878bd-dw7b5,hotel-reserv-geo,44,8
default,geo-us-west-1-75dbd878bd-dw7b5,istio-proxy,103,91
default,geo-us-west-1-75dbd878bd-hkqhv,hotel-reserv-geo,58,8
default,geo-us-west-1-75dbd878bd-hkqhv,istio-proxy,110,92
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,257,756
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,91
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,93
