Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,12,37
default,consul-cc8f4df9-4gqrn,istio-proxy,3,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,359,16
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,410,127
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,138,15
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,782,126
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,136,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,330,120
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,138,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,344,120
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,33,108
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,226,329
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,183,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,598,174
default,frontend-us-west-1-f8f8f5f5-rzvlr,hotel-reserv-frontend,360,25
default,frontend-us-west-1-f8f8f5f5-rzvlr,istio-proxy,553,139
default,frontend-us-west-1-f8f8f5f5-vwppf,hotel-reserv-frontend,292,27
default,frontend-us-west-1-f8f8f5f5-vwppf,istio-proxy,394,145
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,45,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,86,92
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,45,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,74,91
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,24,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,21,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,23,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,28,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,6,12
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,13,92
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,6,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,14,90
default,geo-us-west-1-75dbd878bd-dw7b5,hotel-reserv-geo,36,8
default,geo-us-west-1-75dbd878bd-dw7b5,istio-proxy,69,91
default,geo-us-west-1-75dbd878bd-hkqhv,hotel-reserv-geo,36,8
default,geo-us-west-1-75dbd878bd-hkqhv,istio-proxy,49,92
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,111,759
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,91
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,93
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,4,92
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,5,90
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,4,93
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
