counter,region,service,endpoint,rps
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,108
1,us-east-1,search,search@POST@/search.Search/Nearby,118
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
1,us-east-1,user,user@POST@/user.User/CheckUser,218
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,210
1,us-east-1,frontend,frontend@POST@/reservation,110
1,us-east-1,frontend,frontend@GET@/hotels,109
1,us-east-1,frontend,frontend@POST@/user,108
1,us-east-1,frontend,frontend@GET@/recommendations,112
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,103
1,us-east-1,slateingress,slateingress@POST@/user,107
1,us-east-1,slateingress,slateingress@GET@/recommendations,108
1,us-east-1,slateingress,slateingress@GET@/hotels,105
1,us-east-1,slateingress,slateingress@POST@/reservation,107
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,103
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,106
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,65
1,us-south-1,user,user@POST@/user.User/CheckUser,157
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,73
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,45
1,us-south-1,slateingress,slateingress@POST@/reservation,23
1,us-south-1,slateingress,slateingress@POST@/user,46
1,us-south-1,slateingress,slateingress@GET@/recommendations,33
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,23
1,us-south-1,frontend,frontend@GET@/hotels,33
1,us-south-1,frontend,frontend@POST@/user,81
1,us-south-1,frontend,frontend@POST@/reservation,58
1,us-south-1,frontend,frontend@GET@/recommendations,67
1,us-south-1,search,search@POST@/search.Search/Nearby,21
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,50
1,us-central-1,frontend,frontend@POST@/user,116
1,us-central-1,frontend,frontend@GET@/recommendations,118
1,us-central-1,frontend,frontend@POST@/reservation,109
1,us-central-1,frontend,frontend@GET@/hotels,103
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,74
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,85
1,us-central-1,slateingress,slateingress@POST@/reservation,91
1,us-central-1,slateingress,slateingress@GET@/recommendations,108
1,us-central-1,slateingress,slateingress@POST@/user,98
1,us-central-1,slateingress,slateingress@GET@/hotels,81
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,85
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,77
1,us-central-1,search,search@POST@/search.Search/Nearby,73
1,us-central-1,user,user@POST@/user.User/CheckUser,166
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,177
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,114
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,204
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,543
1,us-west-1,search,search@POST@/search.Search/Nearby,518
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,212
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,527
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,506
1,us-west-1,user,user@POST@/user.User/CheckUser,399
1,us-west-1,slateingress,slateingress@GET@/recommendations,205
1,us-west-1,slateingress,slateingress@POST@/user,213
1,us-west-1,slateingress,slateingress@POST@/reservation,207
1,us-west-1,slateingress,slateingress@GET@/hotels,530
1,us-west-1,frontend,frontend@POST@/user,206
1,us-west-1,frontend,frontend@GET@/recommendations,198
1,us-west-1,frontend,frontend@POST@/reservation,207
1,us-west-1,frontend,frontend@GET@/hotels,545
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,700
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,100
2,us-east-1,search,search@POST@/search.Search/Nearby,109
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
2,us-east-1,user,user@POST@/user.User/CheckUser,213
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,208
2,us-east-1,frontend,frontend@POST@/reservation,106
2,us-east-1,frontend,frontend@GET@/hotels,108
2,us-east-1,frontend,frontend@POST@/user,111
2,us-east-1,frontend,frontend@GET@/recommendations,111
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,108
2,us-east-1,slateingress,slateingress@POST@/user,101
2,us-east-1,slateingress,slateingress@GET@/recommendations,108
2,us-east-1,slateingress,slateingress@GET@/hotels,106
2,us-east-1,slateingress,slateingress@POST@/reservation,98
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,103
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,106
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,97
2,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,222
2,us-south-1,user,user@POST@/user.User/CheckUser,220
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,99
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,86
2,us-south-1,slateingress,slateingress@POST@/reservation,112
2,us-south-1,slateingress,slateingress@POST@/user,115
2,us-south-1,slateingress,slateingress@GET@/recommendations,110
2,us-south-1,slateingress,slateingress@GET@/hotels,105
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,113
2,us-south-1,frontend,frontend@GET@/hotels,110
2,us-south-1,frontend,frontend@POST@/user,108
2,us-south-1,frontend,frontend@POST@/reservation,110
2,us-south-1,frontend,frontend@GET@/recommendations,105
2,us-south-1,search,search@POST@/search.Search/Nearby,105
2,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,100
2,us-central-1,frontend,frontend@POST@/user,114
2,us-central-1,frontend,frontend@GET@/recommendations,105
2,us-central-1,frontend,frontend@POST@/reservation,116
2,us-central-1,frontend,frontend@GET@/hotels,106
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,106
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,110
2,us-central-1,slateingress,slateingress@POST@/reservation,107
2,us-central-1,slateingress,slateingress@GET@/recommendations,103
2,us-central-1,slateingress,slateingress@POST@/user,110
2,us-central-1,slateingress,slateingress@GET@/hotels,108
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,100
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,115
2,us-central-1,search,search@POST@/search.Search/Nearby,103
2,us-central-1,user,user@POST@/user.User/CheckUser,215
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,222
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,114
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,232
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,506
2,us-west-1,search,search@POST@/search.Search/Nearby,510
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,212
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,527
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,498
2,us-west-1,user,user@POST@/user.User/CheckUser,452
2,us-west-1,slateingress,slateingress@GET@/recommendations,239
2,us-west-1,slateingress,slateingress@POST@/user,244
2,us-west-1,slateingress,slateingress@POST@/reservation,223
2,us-west-1,slateingress,slateingress@GET@/hotels,496
2,us-west-1,frontend,frontend@POST@/user,234
2,us-west-1,frontend,frontend@GET@/recommendations,242
2,us-west-1,frontend,frontend@POST@/reservation,237
2,us-west-1,frontend,frontend@GET@/hotels,493
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,725
3,us-east-1,geo,geo@POST@/geo.Geo/Nearby,109
3,us-east-1,search,search@POST@/search.Search/Nearby,104
3,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,104
3,us-east-1,user,user@POST@/user.User/CheckUser,217
3,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,211
3,us-east-1,frontend,frontend@POST@/reservation,101
3,us-east-1,frontend,frontend@GET@/hotels,100
3,us-east-1,frontend,frontend@POST@/user,104
3,us-east-1,frontend,frontend@GET@/recommendations,106
3,us-east-1,rate,rate@POST@/rate.Rate/GetRates,99
3,us-east-1,slateingress,slateingress@POST@/user,103
3,us-east-1,slateingress,slateingress@GET@/recommendations,104
3,us-east-1,slateingress,slateingress@GET@/hotels,95
3,us-east-1,slateingress,slateingress@POST@/reservation,95
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
3,us-south-1,rate,rate@POST@/rate.Rate/GetRates,105
3,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,208
3,us-south-1,user,user@POST@/user.User/CheckUser,214
3,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,107
3,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,104
3,us-south-1,slateingress,slateingress@POST@/reservation,106
3,us-south-1,slateingress,slateingress@POST@/user,100
3,us-south-1,slateingress,slateingress@GET@/recommendations,108
3,us-south-1,slateingress,slateingress@GET@/hotels,110
3,us-south-1,geo,geo@POST@/geo.Geo/Nearby,105
3,us-south-1,frontend,frontend@GET@/hotels,105
3,us-south-1,frontend,frontend@POST@/user,109
3,us-south-1,frontend,frontend@POST@/reservation,103
3,us-south-1,frontend,frontend@GET@/recommendations,106
3,us-south-1,search,search@POST@/search.Search/Nearby,108
3,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,107
3,us-central-1,frontend,frontend@POST@/user,105
3,us-central-1,frontend,frontend@GET@/recommendations,100
3,us-central-1,frontend,frontend@POST@/reservation,103
3,us-central-1,frontend,frontend@GET@/hotels,102
3,us-central-1,rate,rate@POST@/rate.Rate/GetRates,104
3,us-central-1,geo,geo@POST@/geo.Geo/Nearby,94
3,us-central-1,slateingress,slateingress@POST@/reservation,102
3,us-central-1,slateingress,slateingress@GET@/recommendations,103
3,us-central-1,slateingress,slateingress@POST@/user,106
3,us-central-1,slateingress,slateingress@GET@/hotels,110
3,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,101
3,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,102
3,us-central-1,search,search@POST@/search.Search/Nearby,106
3,us-central-1,user,user@POST@/user.User/CheckUser,216
3,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,201
3,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,102
3,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,206
3,us-west-1,rate,rate@POST@/rate.Rate/GetRates,506
3,us-west-1,search,search@POST@/search.Search/Nearby,504
3,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,198
3,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,495
3,us-west-1,geo,geo@POST@/geo.Geo/Nearby,511
3,us-west-1,user,user@POST@/user.User/CheckUser,430
3,us-west-1,slateingress,slateingress@GET@/recommendations,202
3,us-west-1,slateingress,slateingress@POST@/user,194
3,us-west-1,slateingress,slateingress@POST@/reservation,227
3,us-west-1,slateingress,slateingress@GET@/hotels,501
3,us-west-1,frontend,frontend@POST@/user,199
3,us-west-1,frontend,frontend@GET@/recommendations,194
3,us-west-1,frontend,frontend@POST@/reservation,199
3,us-west-1,frontend,frontend@GET@/hotels,507
3,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,711
4,us-east-1,geo,geo@POST@/geo.Geo/Nearby,104
4,us-east-1,search,search@POST@/search.Search/Nearby,109
4,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,121
4,us-east-1,user,user@POST@/user.User/CheckUser,227
4,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,214
4,us-east-1,frontend,frontend@POST@/reservation,117
4,us-east-1,frontend,frontend@GET@/hotels,114
4,us-east-1,frontend,frontend@POST@/user,117
4,us-east-1,frontend,frontend@GET@/recommendations,118
4,us-east-1,rate,rate@POST@/rate.Rate/GetRates,117
4,us-east-1,slateingress,slateingress@POST@/user,118
4,us-east-1,slateingress,slateingress@GET@/recommendations,97
4,us-east-1,slateingress,slateingress@GET@/hotels,119
4,us-east-1,slateingress,slateingress@POST@/reservation,116
4,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
4,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
4,us-south-1,rate,rate@POST@/rate.Rate/GetRates,111
4,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,197
4,us-south-1,user,user@POST@/user.User/CheckUser,197
4,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
4,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,99
4,us-south-1,slateingress,slateingress@POST@/reservation,99
4,us-south-1,slateingress,slateingress@POST@/user,103
4,us-south-1,slateingress,slateingress@GET@/recommendations,97
4,us-south-1,slateingress,slateingress@GET@/hotels,109
4,us-south-1,geo,geo@POST@/geo.Geo/Nearby,102
4,us-south-1,frontend,frontend@GET@/hotels,102
4,us-south-1,frontend,frontend@POST@/user,102
4,us-south-1,frontend,frontend@POST@/reservation,104
4,us-south-1,frontend,frontend@GET@/recommendations,103
