index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('frontend@GET@/hotels', 'us-south-1', 'profile@POST@/profile.Profile/GetProfiles')",3,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-south-1,us-south-1,199,199,1.0
"('frontend@GET@/hotels', 'us-west-1', 'profile@POST@/profile.Profile/GetProfiles')",3,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-west-1,us-west-1,268,268,1.0
"('frontend@GET@/hotels', 'us-central-1', 'profile@POST@/profile.Profile/GetProfiles')",3,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-central-1,us-central-1,221,221,1.0
"('frontend@GET@/hotels', 'us-east-1', 'profile@POST@/profile.Profile/GetProfiles')",3,frontend,profile,frontend@GET@/hotels,profile@POST@/profile.Profile/GetProfiles,us-east-1,us-east-1,129,129,1.0
"('frontend@GET@/hotels', 'us-south-1', 'reservation@POST@/reservation.Reservation/CheckAvailability')",3,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-south-1,us-south-1,199,199,1.0
"('frontend@GET@/hotels', 'us-west-1', 'reservation@POST@/reservation.Reservation/CheckAvailability')",3,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-west-1,us-west-1,268,268,1.0
"('frontend@GET@/hotels', 'us-central-1', 'reservation@POST@/reservation.Reservation/CheckAvailability')",3,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-central-1,us-central-1,221,221,1.0
"('frontend@GET@/hotels', 'us-east-1', 'reservation@POST@/reservation.Reservation/CheckAvailability')",3,frontend,reservation,frontend@GET@/hotels,reservation@POST@/reservation.Reservation/CheckAvailability,us-east-1,us-east-1,129,129,1.0
"('frontend@GET@/hotels', 'us-south-1', 'search@POST@/search.Search/Nearby')",3,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-south-1,us-south-1,199,199,1.0
"('frontend@GET@/hotels', 'us-west-1', 'search@POST@/search.Search/Nearby')",3,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-west-1,us-west-1,268,268,1.0
"('frontend@GET@/hotels', 'us-central-1', 'search@POST@/search.Search/Nearby')",3,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-central-1,us-central-1,221,221,1.0
"('frontend@GET@/hotels', 'us-east-1', 'search@POST@/search.Search/Nearby')",3,frontend,search,frontend@GET@/hotels,search@POST@/search.Search/Nearby,us-east-1,us-east-1,129,129,1.0
"('slateingress@GET@/hotels', 'us-south-1', 'frontend@GET@/hotels')",3,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-south-1,us-south-1,105,105,1.0
"('slateingress@GET@/hotels', 'us-west-1', 'frontend@GET@/hotels')",3,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-south-1,94,498,0.18875502008032127
"('slateingress@GET@/hotels', 'us-west-1', 'frontend@GET@/hotels')",3,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-west-1,268,498,0.5381526104417671
"('slateingress@GET@/hotels', 'us-west-1', 'frontend@GET@/hotels')",3,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-central-1,113,498,0.22690763052208834
"('slateingress@GET@/hotels', 'us-west-1', 'frontend@GET@/hotels')",3,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-west-1,us-east-1,23,498,0.04618473895582329
"('slateingress@GET@/hotels', 'us-central-1', 'frontend@GET@/hotels')",3,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-central-1,us-central-1,108,108,1.0
"('slateingress@GET@/hotels', 'us-east-1', 'frontend@GET@/hotels')",3,slateingress,frontend,slateingress@GET@/hotels,frontend@GET@/hotels,us-east-1,us-east-1,106,106,1.0
"('search@POST@/search.Search/Nearby', 'us-south-1', 'geo@POST@/geo.Geo/Nearby')",3,search,geo,search@POST@/search.Search/Nearby,geo@POST@/geo.Geo/Nearby,us-south-1,us-south-1,199,199,1.0
"('search@POST@/search.Search/Nearby', 'us-west-1', 'geo@POST@/geo.Geo/Nearby')",3,search,geo,search@POST@/search.Search/Nearby,geo@POST@/geo.Geo/Nearby,us-west-1,us-west-1,268,268,1.0
"('search@POST@/search.Search/Nearby', 'us-central-1', 'geo@POST@/geo.Geo/Nearby')",3,search,geo,search@POST@/search.Search/Nearby,geo@POST@/geo.Geo/Nearby,us-central-1,us-central-1,221,221,1.0
"('search@POST@/search.Search/Nearby', 'us-east-1', 'geo@POST@/geo.Geo/Nearby')",3,search,geo,search@POST@/search.Search/Nearby,geo@POST@/geo.Geo/Nearby,us-east-1,us-east-1,129,129,1.0
