Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-db9d7bd47-g7zwh,consul,10,35
default,consul-db9d7bd47-g7zwh,istio-proxy,4,96
default,frontend-us-central-1-7986fdd95b-c4spp,hotel-reserv-frontend,50,7
default,frontend-us-central-1-7986fdd95b-c4spp,istio-proxy,352,95
default,frontend-us-central-1-7986fdd95b-s9jrl,hotel-reserv-frontend,121,8
default,frontend-us-central-1-7986fdd95b-s9jrl,istio-proxy,252,94
default,frontend-us-east-1-948c94dc-b7ztt,hotel-reserv-frontend,65,7
default,frontend-us-east-1-948c94dc-b7ztt,istio-proxy,379,93
default,frontend-us-east-1-948c94dc-bb8sg,hotel-reserv-frontend,11,7
default,frontend-us-east-1-948c94dc-bb8sg,istio-proxy,490,94
default,frontend-us-south-1-6c86b976cc-67ks8,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6c86b976cc-67ks8,istio-proxy,330,93
default,frontend-us-south-1-6c86b976cc-fn2b6,hotel-reserv-frontend,46,7
default,frontend-us-south-1-6c86b976cc-fn2b6,istio-proxy,409,94
default,frontend-us-west-1-7bbf65f4f9-nnsbg,hotel-reserv-frontend,247,10
default,frontend-us-west-1-7bbf65f4f9-nnsbg,istio-proxy,858,97
default,frontend-us-west-1-7bbf65f4f9-pcn67,hotel-reserv-frontend,328,9
default,frontend-us-west-1-7bbf65f4f9-pcn67,istio-proxy,227,96
default,geo-us-central-1-74bf6457db-c57tx,hotel-reserv-geo,18,8
default,geo-us-central-1-74bf6457db-c57tx,istio-proxy,14,94
default,geo-us-central-1-74bf6457db-w5rgk,hotel-reserv-geo,4,7
default,geo-us-central-1-74bf6457db-w5rgk,istio-proxy,46,92
default,geo-us-east-1-77b86945-rft9q,hotel-reserv-geo,8,7
default,geo-us-east-1-77b86945-rft9q,istio-proxy,4,92
default,geo-us-east-1-77b86945-w2628,hotel-reserv-geo,4,7
default,geo-us-east-1-77b86945-w2628,istio-proxy,13,93
default,geo-us-south-1-69b5fbdfb9-7cqlc,hotel-reserv-geo,27,8
default,geo-us-south-1-69b5fbdfb9-7cqlc,istio-proxy,42,93
default,geo-us-south-1-69b5fbdfb9-lncp4,hotel-reserv-geo,2,6
default,geo-us-south-1-69b5fbdfb9-lncp4,istio-proxy,63,94
default,geo-us-west-1-54dfd96877-64ms8,hotel-reserv-geo,8,8
default,geo-us-west-1-54dfd96877-64ms8,istio-proxy,114,91
default,geo-us-west-1-54dfd96877-b86cr,hotel-reserv-geo,80,8
default,geo-us-west-1-54dfd96877-b86cr,istio-proxy,124,92
default,jaeger-7bd64655d9-k6rhr,hotel-reserv-jaeger,0,10
default,jaeger-7bd64655d9-k6rhr,istio-proxy,4,93
default,memcached-profile-us-central-1-55868bc894-7844m,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55868bc894-7844m,istio-proxy,4,94
default,memcached-profile-us-central-1-55868bc894-rt888,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55868bc894-rt888,istio-proxy,4,92
default,memcached-profile-us-east-1-77b7c9dccf-mf9sv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-77b7c9dccf-mf9sv,istio-proxy,4,91
default,memcached-profile-us-east-1-77b7c9dccf-nsdtx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-77b7c9dccf-nsdtx,istio-proxy,4,92
default,memcached-profile-us-south-1-bf6fd879-dltl5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-bf6fd879-dltl5,istio-proxy,4,91
default,memcached-profile-us-south-1-bf6fd879-htm9g,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-bf6fd879-htm9g,istio-proxy,5,94
default,memcached-profile-us-west-1-5ccdd74795-64l84,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5ccdd74795-64l84,istio-proxy,4,90
default,memcached-profile-us-west-1-5ccdd74795-lxlgf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5ccdd74795-lxlgf,istio-proxy,4,91
default,memcached-rate-us-central-1-586bfcccbb-brql8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-586bfcccbb-brql8,istio-proxy,4,92
default,memcached-rate-us-central-1-586bfcccbb-nlldq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-586bfcccbb-nlldq,istio-proxy,4,93
default,memcached-rate-us-east-1-67b8855678-sz7bz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-67b8855678-sz7bz,istio-proxy,4,91
default,memcached-rate-us-east-1-67b8855678-x7wjb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-67b8855678-x7wjb,istio-proxy,3,94
default,memcached-rate-us-south-1-5cc4d6bb7d-2vrz2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5cc4d6bb7d-2vrz2,istio-proxy,5,92
default,memcached-rate-us-south-1-5cc4d6bb7d-tzxs5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5cc4d6bb7d-tzxs5,istio-proxy,4,91
default,memcached-rate-us-west-1-7c8ff7866-6ws5r,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7c8ff7866-6ws5r,istio-proxy,4,91
default,memcached-rate-us-west-1-7c8ff7866-knzmp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7c8ff7866-knzmp,istio-proxy,5,91
default,memcached-reserve-us-central-1-6c76d75585-69qlh,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6c76d75585-69qlh,istio-proxy,4,93
default,memcached-reserve-us-central-1-6c76d75585-g68jb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6c76d75585-g68jb,istio-proxy,6,90
default,memcached-reserve-us-east-1-5d857787dc-7klmr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5d857787dc-7klmr,istio-proxy,4,93
default,memcached-reserve-us-east-1-5d857787dc-ln2qw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5d857787dc-ln2qw,istio-proxy,4,92
default,memcached-reserve-us-south-1-78577f8df7-dl95b,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-78577f8df7-dl95b,istio-proxy,4,90
default,memcached-reserve-us-south-1-78577f8df7-l4c2l,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-78577f8df7-l4c2l,istio-proxy,4,92
default,memcached-reserve-us-west-1-6db97fdff9-8k47c,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6db97fdff9-8k47c,istio-proxy,4,91
default,memcached-reserve-us-west-1-6db97fdff9-8qlwc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6db97fdff9-8qlwc,istio-proxy,4,91
default,mongodb-geo-us-central-1-78df68b4-bg2xh,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-78df68b4-bg2xh,istio-proxy,4,93
default,mongodb-geo-us-east-1-64b8b7c46c-7qb47,hotel-reserv-geo-mongo,4,163
default,mongodb-geo-us-east-1-64b8b7c46c-7qb47,istio-proxy,4,90
default,mongodb-geo-us-south-1-b9547b7df-295p2,hotel-reserv-geo-mongo,3,159
default,mongodb-geo-us-south-1-b9547b7df-295p2,istio-proxy,4,90
default,mongodb-geo-us-west-1-7456c696f6-p7spk,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-7456c696f6-p7spk,istio-proxy,4,90
default,mongodb-profile-us-central-1-67bdccb998-bw9p4,hotel-reserv-profile-mongo,34,161
default,mongodb-profile-us-central-1-67bdccb998-bw9p4,istio-proxy,13,93
default,mongodb-profile-us-east-1-c9bdc8f4b-92fzk,hotel-reserv-profile-mongo,53,162
default,mongodb-profile-us-east-1-c9bdc8f4b-92fzk,istio-proxy,28,92
default,mongodb-profile-us-south-1-9cb8b5878-kqkdd,hotel-reserv-profile-mongo,59,161
default,mongodb-profile-us-south-1-9cb8b5878-kqkdd,istio-proxy,14,92
default,mongodb-profile-us-west-1-7bcdd9c7d-dj67t,hotel-reserv-profile-mongo,133,164
default,mongodb-profile-us-west-1-7bcdd9c7d-dj67t,istio-proxy,33,94
default,mongodb-rate-us-central-1-8696cbb85b-pcfx9,hotel-reserv-rate-mongo,215,160
default,mongodb-rate-us-central-1-8696cbb85b-pcfx9,istio-proxy,5,94
default,mongodb-rate-us-east-1-78fdb568b-chcc6,hotel-reserv-rate-mongo,160,160
default,mongodb-rate-us-east-1-78fdb568b-chcc6,istio-proxy,16,92
default,mongodb-rate-us-south-1-65b59f8c68-zdqgz,hotel-reserv-rate-mongo,110,161
default,mongodb-rate-us-south-1-65b59f8c68-zdqgz,istio-proxy,9,92
default,mongodb-rate-us-west-1-66ffcf94db-7slht,hotel-reserv-rate-mongo,471,164
default,mongodb-rate-us-west-1-66ffcf94db-7slht,istio-proxy,79,93
default,mongodb-recommendation-us-central-1-86ccb8f898-vwbtm,hotel-reserv-recommendation-mongo,3,166
default,mongodb-recommendation-us-central-1-86ccb8f898-vwbtm,istio-proxy,4,93
default,mongodb-recommendation-us-east-1-6d7564996b-shm4c,hotel-reserv-recommendation-mongo,3,162
default,mongodb-recommendation-us-east-1-6d7564996b-shm4c,istio-proxy,4,93
default,mongodb-recommendation-us-south-1-85b44b4bb-6s7m4,hotel-reserv-recommendation-mongo,17,157
default,mongodb-recommendation-us-south-1-85b44b4bb-6s7m4,istio-proxy,4,93
default,mongodb-recommendation-us-west-1-696676fd98-rcp5r,hotel-reserv-recommendation-mongo,4,162
default,mongodb-recommendation-us-west-1-696676fd98-rcp5r,istio-proxy,4,91
default,mongodb-reservation-us-central-1-599c67c8d5-879qj,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-central-1-599c67c8d5-879qj,istio-proxy,5,90
default,mongodb-reservation-us-east-1-865898cf95-d96vh,hotel-reserv-reservation-mongo,4,159
default,mongodb-reservation-us-east-1-865898cf95-d96vh,istio-proxy,6,91
default,mongodb-reservation-us-south-1-7bb9d9dd4f-txmvv,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-south-1-7bb9d9dd4f-txmvv,istio-proxy,4,91
default,mongodb-reservation-us-west-1-55586669d7-bsfq2,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-west-1-55586669d7-bsfq2,istio-proxy,4,91
default,mongodb-user-us-central-1-5f8b45666f-xjmm2,hotel-reserv-user-mongo,3,207
default,mongodb-user-us-central-1-5f8b45666f-xjmm2,istio-proxy,4,91
default,mongodb-user-us-east-1-677697bcc6-snpxd,hotel-reserv-user-mongo,3,204
default,mongodb-user-us-east-1-677697bcc6-snpxd,istio-proxy,4,92
default,mongodb-user-us-south-1-77588fcb8-bqbk5,hotel-reserv-user-mongo,51,157
default,mongodb-user-us-south-1-77588fcb8-bqbk5,istio-proxy,4,92
default,mongodb-user-us-west-1-7887b7999b-rsl9k,hotel-reserv-user-mongo,4,200
default,mongodb-user-us-west-1-7887b7999b-rsl9k,istio-proxy,5,95
default,profile-us-central-1-6cdd7ddd8-6kldx,hotel-reserv-profile,107,9
default,profile-us-central-1-6cdd7ddd8-6kldx,istio-proxy,5,93
default,profile-us-central-1-6cdd7ddd8-qcpnk,hotel-reserv-profile,0,5
default,profile-us-central-1-6cdd7ddd8-qcpnk,istio-proxy,63,92
default,profile-us-east-1-68dc9f5f99-kmtqw,hotel-reserv-profile,0,5
default,profile-us-east-1-68dc9f5f99-kmtqw,istio-proxy,47,93
default,profile-us-east-1-68dc9f5f99-p5pq6,hotel-reserv-profile,114,9
default,profile-us-east-1-68dc9f5f99-p5pq6,istio-proxy,80,95
default,profile-us-south-1-649fc8567-mg449,hotel-reserv-profile,0,5
default,profile-us-south-1-649fc8567-mg449,istio-proxy,44,92
default,profile-us-south-1-649fc8567-rs474,hotel-reserv-profile,25,8
default,profile-us-south-1-649fc8567-rs474,istio-proxy,65,91
default,profile-us-west-1-5f6db89d4c-gw49j,hotel-reserv-profile,156,11
default,profile-us-west-1-5f6db89d4c-gw49j,istio-proxy,305,92
default,profile-us-west-1-5f6db89d4c-hshrq,hotel-reserv-profile,59,10
default,profile-us-west-1-5f6db89d4c-hshrq,istio-proxy,180,94
default,rate-us-central-1-67f7cfddf5-7xck9,hotel-reserv-rate,117,9
default,rate-us-central-1-67f7cfddf5-7xck9,istio-proxy,26,91
default,rate-us-central-1-67f7cfddf5-x5h8c,hotel-reserv-rate,28,7
default,rate-us-central-1-67f7cfddf5-x5h8c,istio-proxy,19,91
default,rate-us-east-1-5cc75787c4-8wn9v,hotel-reserv-rate,26,8
default,rate-us-east-1-5cc75787c4-8wn9v,istio-proxy,47,92
default,rate-us-east-1-5cc75787c4-9drhx,hotel-reserv-rate,29,8
default,rate-us-east-1-5cc75787c4-9drhx,istio-proxy,56,95
default,rate-us-south-1-78b7cb7dfd-mxqqj,hotel-reserv-rate,38,8
default,rate-us-south-1-78b7cb7dfd-mxqqj,istio-proxy,4,94
default,rate-us-south-1-78b7cb7dfd-tl9v6,hotel-reserv-rate,12,7
default,rate-us-south-1-78b7cb7dfd-tl9v6,istio-proxy,18,91
default,rate-us-west-1-686b79d6b6-kfdsg,hotel-reserv-rate,269,10
default,rate-us-west-1-686b79d6b6-kfdsg,istio-proxy,178,92
default,rate-us-west-1-686b79d6b6-r6lrq,hotel-reserv-rate,110,10
default,rate-us-west-1-686b79d6b6-r6lrq,istio-proxy,245,93
default,recommendation-us-central-1-55b66889d4-nzdsk,hotel-reserv-recommendation,15,8
default,recommendation-us-central-1-55b66889d4-nzdsk,istio-proxy,44,91
default,recommendation-us-central-1-55b66889d4-tkhjt,hotel-reserv-recommendation,28,9
default,recommendation-us-central-1-55b66889d4-tkhjt,istio-proxy,41,91
default,recommendation-us-east-1-5898b98bc-4pqgf,hotel-reserv-recommendation,23,8
default,recommendation-us-east-1-5898b98bc-4pqgf,istio-proxy,29,92
default,recommendation-us-east-1-5898b98bc-hb9qq,hotel-reserv-recommendation,22,17
default,recommendation-us-east-1-5898b98bc-hb9qq,istio-proxy,5,92
default,recommendation-us-south-1-b44b98975-jvtbz,hotel-reserv-recommendation,8,15
default,recommendation-us-south-1-b44b98975-jvtbz,istio-proxy,20,91
default,recommendation-us-south-1-b44b98975-w6b6n,hotel-reserv-recommendation,0,14
default,recommendation-us-south-1-b44b98975-w6b6n,istio-proxy,42,90
default,recommendation-us-west-1-674d497f5-nlvpr,hotel-reserv-recommendation,10,19
default,recommendation-us-west-1-674d497f5-nlvpr,istio-proxy,80,92
default,recommendation-us-west-1-674d497f5-znzc7,hotel-reserv-recommendation,17,19
default,recommendation-us-west-1-674d497f5-znzc7,istio-proxy,77,96
default,reservation-us-central-1-54b55fcd56-bkb5t,hotel-reserv-reservation,741,12
default,reservation-us-central-1-54b55fcd56-bkb5t,istio-proxy,26,95
default,reservation-us-central-1-54b55fcd56-crz4b,hotel-reserv-reservation,799,14
default,reservation-us-central-1-54b55fcd56-crz4b,istio-proxy,102,92
default,reservation-us-east-1-5f7bcfcc67-mfn6n,hotel-reserv-reservation,370,12
default,reservation-us-east-1-5f7bcfcc67-mfn6n,istio-proxy,53,93
default,reservation-us-east-1-5f7bcfcc67-xfvcq,hotel-reserv-reservation,672,12
default,reservation-us-east-1-5f7bcfcc67-xfvcq,istio-proxy,38,93
default,reservation-us-south-1-6c77f6658f-mrqwn,hotel-reserv-reservation,184,9
default,reservation-us-south-1-6c77f6658f-mrqwn,istio-proxy,111,93
default,reservation-us-south-1-6c77f6658f-qzdhz,hotel-reserv-reservation,905,12
default,reservation-us-south-1-6c77f6658f-qzdhz,istio-proxy,34,93
default,reservation-us-west-1-7f56bb5775-ccgkw,hotel-reserv-reservation,2346,21
default,reservation-us-west-1-7f56bb5775-ccgkw,istio-proxy,68,93
default,reservation-us-west-1-7f56bb5775-kggqg,hotel-reserv-reservation,1386,22
default,reservation-us-west-1-7f56bb5775-kggqg,istio-proxy,206,94
default,search-us-central-1-f9f5476d8-42jn2,hotel-reserv-search,94,8
default,search-us-central-1-f9f5476d8-42jn2,istio-proxy,142,95
default,search-us-central-1-f9f5476d8-62gnt,hotel-reserv-search,14,7
default,search-us-central-1-f9f5476d8-62gnt,istio-proxy,188,95
default,search-us-east-1-988fd68df-g4jvg,hotel-reserv-search,61,8
default,search-us-east-1-988fd68df-g4jvg,istio-proxy,155,93
default,search-us-east-1-988fd68df-kb74p,hotel-reserv-search,46,8
default,search-us-east-1-988fd68df-kb74p,istio-proxy,98,92
default,search-us-south-1-54754db5dc-b6dtw,hotel-reserv-search,55,8
default,search-us-south-1-54754db5dc-b6dtw,istio-proxy,135,93
default,search-us-south-1-54754db5dc-vqgkx,hotel-reserv-search,37,7
default,search-us-south-1-54754db5dc-vqgkx,istio-proxy,104,91
default,search-us-west-1-ccdb88589-czm24,hotel-reserv-search,203,10
default,search-us-west-1-ccdb88589-czm24,istio-proxy,165,94
default,search-us-west-1-ccdb88589-qrlm8,hotel-reserv-search,119,9
default,search-us-west-1-ccdb88589-qrlm8,istio-proxy,13,93
default,slate-controller-6cf4cdd545-h2svh,slate-controller,2927,229
default,slate-controller-6cf4cdd545-h2svh,istio-proxy,128,108
default,slateingress-us-central-1-6994dd5dc5-c7lmx,slateingress,151,11
default,slateingress-us-central-1-6994dd5dc5-c7lmx,istio-proxy,311,97
default,slateingress-us-central-1-6994dd5dc5-zns88,slateingress,56,11
default,slateingress-us-central-1-6994dd5dc5-zns88,istio-proxy,331,97
default,slateingress-us-east-1-6d75c8955c-5hvns,slateingress,175,11
default,slateingress-us-east-1-6d75c8955c-5hvns,istio-proxy,338,96
default,slateingress-us-east-1-6d75c8955c-hxbqb,slateingress,160,11
default,slateingress-us-east-1-6d75c8955c-hxbqb,istio-proxy,216,96
default,slateingress-us-south-1-6d89cdcd6c-g5clr,slateingress,0,5
default,slateingress-us-south-1-6d89cdcd6c-g5clr,istio-proxy,160,92
default,slateingress-us-south-1-6d89cdcd6c-tmmdt,slateingress,50,10
default,slateingress-us-south-1-6d89cdcd6c-tmmdt,istio-proxy,197,96
default,slateingress-us-west-1-5f6b884d8-csfbt,slateingress,460,17
default,slateingress-us-west-1-5f6b884d8-csfbt,istio-proxy,822,116
default,slateingress-us-west-1-5f6b884d8-lxmvv,slateingress,128,16
default,slateingress-us-west-1-5f6b884d8-lxmvv,istio-proxy,373,115
default,user-us-central-1-779659d6c9-t2wwz,hotel-reserv-user,24,75
default,user-us-central-1-779659d6c9-t2wwz,istio-proxy,80,94
default,user-us-central-1-779659d6c9-xxv86,hotel-reserv-user,23,69
default,user-us-central-1-779659d6c9-xxv86,istio-proxy,58,92
default,user-us-east-1-b8d676855-4kqvt,hotel-reserv-user,26,66
default,user-us-east-1-b8d676855-4kqvt,istio-proxy,60,92
default,user-us-east-1-b8d676855-qqwhx,hotel-reserv-user,18,70
default,user-us-east-1-b8d676855-qqwhx,istio-proxy,68,93
default,user-us-south-1-7c4dc89959-2856k,hotel-reserv-user,31,9
default,user-us-south-1-7c4dc89959-2856k,istio-proxy,43,95
default,user-us-south-1-7c4dc89959-fss4x,hotel-reserv-user,20,69
default,user-us-south-1-7c4dc89959-fss4x,istio-proxy,15,93
default,user-us-west-1-558d85dc8d-hb787,hotel-reserv-user,37,15
default,user-us-west-1-558d85dc8d-hb787,istio-proxy,109,92
default,user-us-west-1-558d85dc8d-s6k77,hotel-reserv-user,0,91
default,user-us-west-1-558d85dc8d-s6k77,istio-proxy,121,94
istio-system,istio-ingressgateway-9668cd8d6-62lkn,istio-proxy,85,93
istio-system,istio-ingressgateway-9668cd8d6-789bv,istio-proxy,67,91
istio-system,istio-ingressgateway-9668cd8d6-82bzn,istio-proxy,70,91
istio-system,istio-ingressgateway-9668cd8d6-89cwb,istio-proxy,67,142
istio-system,istio-ingressgateway-9668cd8d6-9kq7l,istio-proxy,64,90
istio-system,istio-ingressgateway-9668cd8d6-bhsr2,istio-proxy,84,138
istio-system,istio-ingressgateway-9668cd8d6-bsm5c,istio-proxy,72,139
istio-system,istio-ingressgateway-9668cd8d6-bznxr,istio-proxy,76,91
istio-system,istio-ingressgateway-9668cd8d6-cb5hd,istio-proxy,85,90
istio-system,istio-ingressgateway-9668cd8d6-ddprh,istio-proxy,77,139
istio-system,istio-ingressgateway-9668cd8d6-dhcx5,istio-proxy,76,92
istio-system,istio-ingressgateway-9668cd8d6-dq8qt,istio-proxy,80,138
istio-system,istio-ingressgateway-9668cd8d6-dqtb7,istio-proxy,76,93
istio-system,istio-ingressgateway-9668cd8d6-f2rb2,istio-proxy,62,138
istio-system,istio-ingressgateway-9668cd8d6-fhsrs,istio-proxy,69,90
istio-system,istio-ingressgateway-9668cd8d6-ggsc6,istio-proxy,62,91
istio-system,istio-ingressgateway-9668cd8d6-n9s2f,istio-proxy,62,137
istio-system,istio-ingressgateway-9668cd8d6-p9kb2,istio-proxy,74,139
istio-system,istio-ingressgateway-9668cd8d6-pjkt9,istio-proxy,79,93
istio-system,istio-ingressgateway-9668cd8d6-qd7fp,istio-proxy,82,92
istio-system,istio-ingressgateway-9668cd8d6-r5rzv,istio-proxy,66,94
istio-system,istio-ingressgateway-9668cd8d6-st4gp,istio-proxy,60,90
istio-system,istio-ingressgateway-9668cd8d6-sxxq8,istio-proxy,80,139
istio-system,istio-ingressgateway-9668cd8d6-t7v9x,istio-proxy,76,91
istio-system,istio-ingressgateway-9668cd8d6-v2g59,istio-proxy,73,92
istio-system,istio-ingressgateway-9668cd8d6-v6hnc,istio-proxy,69,91
istio-system,istio-ingressgateway-9668cd8d6-wcg64,istio-proxy,43,89
istio-system,istio-ingressgateway-9668cd8d6-wh6vj,istio-proxy,70,139
istio-system,istiod-74c858c5d-fhmsx,discovery,4,110
istio-system,istiod-74c858c5d-mv4z5,discovery,3,148
istio-system,istiod-74c858c5d-zkjzv,discovery,2,116
