Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-db9d7bd47-g7zwh,consul,10,35
default,consul-db9d7bd47-g7zwh,istio-proxy,3,96
default,frontend-us-central-1-7986fdd95b-c4spp,hotel-reserv-frontend,269,8
default,frontend-us-central-1-7986fdd95b-c4spp,istio-proxy,677,95
default,frontend-us-central-1-7986fdd95b-s9jrl,hotel-reserv-frontend,121,8
default,frontend-us-central-1-7986fdd95b-s9jrl,istio-proxy,688,95
default,frontend-us-east-1-948c94dc-b7ztt,hotel-reserv-frontend,202,8
default,frontend-us-east-1-948c94dc-b7ztt,istio-proxy,507,94
default,frontend-us-east-1-948c94dc-bb8sg,hotel-reserv-frontend,209,8
default,frontend-us-east-1-948c94dc-bb8sg,istio-proxy,490,94
default,frontend-us-south-1-6c86b976cc-67ks8,hotel-reserv-frontend,240,8
default,frontend-us-south-1-6c86b976cc-67ks8,istio-proxy,330,93
default,frontend-us-south-1-6c86b976cc-fn2b6,hotel-reserv-frontend,251,8
default,frontend-us-south-1-6c86b976cc-fn2b6,istio-proxy,642,96
default,frontend-us-west-1-7bbf65f4f9-nnsbg,hotel-reserv-frontend,466,10
default,frontend-us-west-1-7bbf65f4f9-nnsbg,istio-proxy,1140,99
default,frontend-us-west-1-7bbf65f4f9-pcn67,hotel-reserv-frontend,453,10
default,frontend-us-west-1-7bbf65f4f9-pcn67,istio-proxy,1178,99
default,geo-us-central-1-74bf6457db-c57tx,hotel-reserv-geo,55,8
default,geo-us-central-1-74bf6457db-c57tx,istio-proxy,98,94
default,geo-us-central-1-74bf6457db-w5rgk,hotel-reserv-geo,53,8
default,geo-us-central-1-74bf6457db-w5rgk,istio-proxy,112,92
default,geo-us-east-1-77b86945-rft9q,hotel-reserv-geo,33,7
default,geo-us-east-1-77b86945-rft9q,istio-proxy,62,92
default,geo-us-east-1-77b86945-w2628,hotel-reserv-geo,31,8
default,geo-us-east-1-77b86945-w2628,istio-proxy,63,93
default,geo-us-south-1-69b5fbdfb9-7cqlc,hotel-reserv-geo,27,8
default,geo-us-south-1-69b5fbdfb9-7cqlc,istio-proxy,101,93
default,geo-us-south-1-69b5fbdfb9-lncp4,hotel-reserv-geo,48,8
default,geo-us-south-1-69b5fbdfb9-lncp4,istio-proxy,95,94
default,geo-us-west-1-54dfd96877-64ms8,hotel-reserv-geo,91,9
default,geo-us-west-1-54dfd96877-64ms8,istio-proxy,150,91
default,geo-us-west-1-54dfd96877-b86cr,hotel-reserv-geo,76,8
default,geo-us-west-1-54dfd96877-b86cr,istio-proxy,149,92
default,jaeger-7bd64655d9-k6rhr,hotel-reserv-jaeger,221,137
default,jaeger-7bd64655d9-k6rhr,istio-proxy,3,93
default,memcached-profile-us-central-1-55868bc894-7844m,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55868bc894-7844m,istio-proxy,4,94
default,memcached-profile-us-central-1-55868bc894-rt888,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55868bc894-rt888,istio-proxy,4,92
default,memcached-profile-us-east-1-77b7c9dccf-mf9sv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-77b7c9dccf-mf9sv,istio-proxy,4,91
default,memcached-profile-us-east-1-77b7c9dccf-nsdtx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-77b7c9dccf-nsdtx,istio-proxy,4,92
default,memcached-profile-us-south-1-bf6fd879-dltl5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-bf6fd879-dltl5,istio-proxy,4,91
default,memcached-profile-us-south-1-bf6fd879-htm9g,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-bf6fd879-htm9g,istio-proxy,4,94
default,memcached-profile-us-west-1-5ccdd74795-64l84,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5ccdd74795-64l84,istio-proxy,5,90
default,memcached-profile-us-west-1-5ccdd74795-lxlgf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5ccdd74795-lxlgf,istio-proxy,4,91
default,memcached-rate-us-central-1-586bfcccbb-brql8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-586bfcccbb-brql8,istio-proxy,4,92
default,memcached-rate-us-central-1-586bfcccbb-nlldq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-586bfcccbb-nlldq,istio-proxy,4,93
default,memcached-rate-us-east-1-67b8855678-sz7bz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-67b8855678-sz7bz,istio-proxy,4,91
default,memcached-rate-us-east-1-67b8855678-x7wjb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-67b8855678-x7wjb,istio-proxy,4,94
default,memcached-rate-us-south-1-5cc4d6bb7d-2vrz2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5cc4d6bb7d-2vrz2,istio-proxy,4,92
default,memcached-rate-us-south-1-5cc4d6bb7d-tzxs5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5cc4d6bb7d-tzxs5,istio-proxy,3,91
default,memcached-rate-us-west-1-7c8ff7866-6ws5r,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7c8ff7866-6ws5r,istio-proxy,4,91
default,memcached-rate-us-west-1-7c8ff7866-knzmp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7c8ff7866-knzmp,istio-proxy,4,91
default,memcached-reserve-us-central-1-6c76d75585-69qlh,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6c76d75585-69qlh,istio-proxy,4,93
default,memcached-reserve-us-central-1-6c76d75585-g68jb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6c76d75585-g68jb,istio-proxy,4,90
default,memcached-reserve-us-east-1-5d857787dc-7klmr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5d857787dc-7klmr,istio-proxy,4,93
default,memcached-reserve-us-east-1-5d857787dc-ln2qw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5d857787dc-ln2qw,istio-proxy,4,92
default,memcached-reserve-us-south-1-78577f8df7-dl95b,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-78577f8df7-dl95b,istio-proxy,4,90
default,memcached-reserve-us-south-1-78577f8df7-l4c2l,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-78577f8df7-l4c2l,istio-proxy,4,92
default,memcached-reserve-us-west-1-6db97fdff9-8k47c,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6db97fdff9-8k47c,istio-proxy,4,91
default,memcached-reserve-us-west-1-6db97fdff9-8qlwc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6db97fdff9-8qlwc,istio-proxy,5,91
default,mongodb-geo-us-central-1-78df68b4-bg2xh,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-78df68b4-bg2xh,istio-proxy,4,93
default,mongodb-geo-us-east-1-64b8b7c46c-7qb47,hotel-reserv-geo-mongo,4,163
default,mongodb-geo-us-east-1-64b8b7c46c-7qb47,istio-proxy,4,90
default,mongodb-geo-us-south-1-b9547b7df-295p2,hotel-reserv-geo-mongo,4,163
default,mongodb-geo-us-south-1-b9547b7df-295p2,istio-proxy,5,90
default,mongodb-geo-us-west-1-7456c696f6-p7spk,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-7456c696f6-p7spk,istio-proxy,4,90
default,mongodb-profile-us-central-1-67bdccb998-bw9p4,hotel-reserv-profile-mongo,81,163
default,mongodb-profile-us-central-1-67bdccb998-bw9p4,istio-proxy,45,93
default,mongodb-profile-us-east-1-c9bdc8f4b-92fzk,hotel-reserv-profile-mongo,76,164
default,mongodb-profile-us-east-1-c9bdc8f4b-92fzk,istio-proxy,42,92
default,mongodb-profile-us-south-1-9cb8b5878-kqkdd,hotel-reserv-profile-mongo,81,162
default,mongodb-profile-us-south-1-9cb8b5878-kqkdd,istio-proxy,43,93
default,mongodb-profile-us-west-1-7bcdd9c7d-dj67t,hotel-reserv-profile-mongo,165,164
default,mongodb-profile-us-west-1-7bcdd9c7d-dj67t,istio-proxy,86,94
default,mongodb-rate-us-central-1-8696cbb85b-pcfx9,hotel-reserv-rate-mongo,360,160
default,mongodb-rate-us-central-1-8696cbb85b-pcfx9,istio-proxy,37,94
default,mongodb-rate-us-east-1-78fdb568b-chcc6,hotel-reserv-rate-mongo,160,160
default,mongodb-rate-us-east-1-78fdb568b-chcc6,istio-proxy,26,92
default,mongodb-rate-us-south-1-65b59f8c68-zdqgz,hotel-reserv-rate-mongo,300,162
default,mongodb-rate-us-south-1-65b59f8c68-zdqgz,istio-proxy,39,92
default,mongodb-rate-us-west-1-66ffcf94db-7slht,hotel-reserv-rate-mongo,628,164
default,mongodb-rate-us-west-1-66ffcf94db-7slht,istio-proxy,55,93
default,mongodb-recommendation-us-central-1-86ccb8f898-vwbtm,hotel-reserv-recommendation-mongo,4,167
default,mongodb-recommendation-us-central-1-86ccb8f898-vwbtm,istio-proxy,4,93
