counter,region,service,endpoint,rps
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,230
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,511
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,734
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,512
1,us-west-1,frontend,frontend@POST@/user,238
1,us-west-1,frontend,frontend@GET@/recommendations,-1117
1,us-west-1,frontend,frontend@POST@/reservation,220
1,us-west-1,frontend,frontend@GET@/hotels,-845
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,233
1,us-west-1,slateingress,slateingress@POST@/user,210
1,us-west-1,slateingress,slateingress@GET@/recommendations,217
1,us-west-1,slateingress,slateingress@POST@/reservation,201
1,us-west-1,slateingress,slateingress@GET@/hotels,453
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,486
1,us-west-1,user,user@POST@/user.User/CheckUser,426
1,us-west-1,search,search@POST@/search.Search/Nearby,495
1,us-east-1,frontend,frontend@POST@/user,112
1,us-east-1,frontend,frontend@POST@/reservation,110
1,us-east-1,frontend,frontend@GET@/recommendations,104
1,us-east-1,frontend,frontend@GET@/hotels,105
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,219
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,104
1,us-east-1,user,user@POST@/user.User/CheckUser,212
1,us-east-1,search,search@POST@/search.Search/Nearby,104
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,114
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,103
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,105
1,us-east-1,slateingress,slateingress@POST@/user,105
1,us-east-1,slateingress,slateingress@GET@/recommendations,106
1,us-east-1,slateingress,slateingress@POST@/reservation,107
1,us-east-1,slateingress,slateingress@GET@/hotels,106
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,108
1,us-central-1,frontend,frontend@POST@/reservation,113
1,us-central-1,frontend,frontend@POST@/user,105
1,us-central-1,frontend,frontend@GET@/recommendations,106
1,us-central-1,frontend,frontend@GET@/hotels,114
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,109
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,106
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,105
1,us-central-1,slateingress,slateingress@GET@/recommendations,100
1,us-central-1,slateingress,slateingress@POST@/reservation,113
1,us-central-1,slateingress,slateingress@GET@/hotels,106
1,us-central-1,slateingress,slateingress@POST@/user,99
1,us-central-1,search,search@POST@/search.Search/Nearby,106
1,us-central-1,user,user@POST@/user.User/CheckUser,225
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,214
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,103
1,us-south-1,search,search@POST@/search.Search/Nearby,91
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,100
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,109
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,110
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,222
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,108
1,us-south-1,user,user@POST@/user.User/CheckUser,229
1,us-south-1,frontend,frontend@POST@/user,105
1,us-south-1,frontend,frontend@GET@/recommendations,108
1,us-south-1,frontend,frontend@POST@/reservation,-1598
1,us-south-1,frontend,frontend@GET@/hotels,-1607
1,us-south-1,slateingress,slateingress@POST@/user,112
1,us-south-1,slateingress,slateingress@GET@/hotels,85
1,us-south-1,slateingress,slateingress@GET@/recommendations,108
1,us-south-1,slateingress,slateingress@POST@/reservation,106
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,206
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,511
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,739
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,520
2,us-west-1,frontend,frontend@POST@/user,202
2,us-west-1,frontend,frontend@GET@/recommendations,-1007
2,us-west-1,frontend,frontend@POST@/reservation,219
2,us-west-1,frontend,frontend@GET@/hotels,-574
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,213
2,us-west-1,slateingress,slateingress@POST@/user,218
2,us-west-1,slateingress,slateingress@GET@/recommendations,229
2,us-west-1,slateingress,slateingress@POST@/reservation,224
2,us-west-1,slateingress,slateingress@GET@/hotels,524
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,510
2,us-west-1,user,user@POST@/user.User/CheckUser,450
2,us-west-1,search,search@POST@/search.Search/Nearby,516
2,us-east-1,frontend,frontend@POST@/user,102
2,us-east-1,frontend,frontend@POST@/reservation,111
2,us-east-1,frontend,frontend@GET@/recommendations,106
2,us-east-1,frontend,frontend@GET@/hotels,103
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,208
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,97
2,us-east-1,user,user@POST@/user.User/CheckUser,199
2,us-east-1,search,search@POST@/search.Search/Nearby,108
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,98
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,108
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,105
2,us-east-1,slateingress,slateingress@POST@/user,105
2,us-east-1,slateingress,slateingress@GET@/recommendations,108
2,us-east-1,slateingress,slateingress@POST@/reservation,107
2,us-east-1,slateingress,slateingress@GET@/hotels,105
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,106
2,us-central-1,frontend,frontend@POST@/reservation,102
2,us-central-1,frontend,frontend@POST@/user,105
2,us-central-1,frontend,frontend@GET@/recommendations,104
2,us-central-1,frontend,frontend@GET@/hotels,110
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,106
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,108
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,115
2,us-central-1,slateingress,slateingress@GET@/recommendations,108
