Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-64f66565f6-hb5gk,consul,12,36
default,consul-64f66565f6-hb5gk,istio-proxy,4,95
default,frontend-us-central-1-5b99cd9d5d-8l8d5,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5b99cd9d5d-8l8d5,istio-proxy,5,93
default,frontend-us-central-1-5b99cd9d5d-kk674,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5b99cd9d5d-kk674,istio-proxy,184,93
default,frontend-us-east-1-5799c95998-7krfj,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5799c95998-7krfj,istio-proxy,143,93
default,frontend-us-east-1-5799c95998-d9ds8,hotel-reserv-frontend,7,7
default,frontend-us-east-1-5799c95998-d9ds8,istio-proxy,149,93
default,frontend-us-south-1-6fb9dd75f8-twjnv,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6fb9dd75f8-twjnv,istio-proxy,3,94
default,frontend-us-south-1-6fb9dd75f8-wmhtz,hotel-reserv-frontend,0,6
default,frontend-us-south-1-6fb9dd75f8-wmhtz,istio-proxy,4,94
default,frontend-us-west-1-59f8bc7c74-lz2bf,hotel-reserv-frontend,122,9
default,frontend-us-west-1-59f8bc7c74-lz2bf,istio-proxy,63,92
default,frontend-us-west-1-59f8bc7c74-p62gz,hotel-reserv-frontend,99,20
default,frontend-us-west-1-59f8bc7c74-p62gz,istio-proxy,4,117
default,geo-us-central-1-8467c787d9-c52q8,hotel-reserv-geo,0,5
default,geo-us-central-1-8467c787d9-c52q8,istio-proxy,4,92
default,geo-us-central-1-8467c787d9-rnfph,hotel-reserv-geo,0,6
default,geo-us-central-1-8467c787d9-rnfph,istio-proxy,5,91
default,geo-us-east-1-54f8d9f94d-6bfzn,hotel-reserv-geo,0,5
default,geo-us-east-1-54f8d9f94d-6bfzn,istio-proxy,5,92
default,geo-us-east-1-54f8d9f94d-pldbb,hotel-reserv-geo,9,8
default,geo-us-east-1-54f8d9f94d-pldbb,istio-proxy,18,93
default,geo-us-south-1-fc6596f58-5z4vs,hotel-reserv-geo,4,7
default,geo-us-south-1-fc6596f58-5z4vs,istio-proxy,28,91
default,geo-us-south-1-fc6596f58-czkg9,hotel-reserv-geo,3,7
default,geo-us-south-1-fc6596f58-czkg9,istio-proxy,11,94
default,geo-us-west-1-7f6dd85fbd-bbd6s,hotel-reserv-geo,49,8
default,geo-us-west-1-7f6dd85fbd-bbd6s,istio-proxy,4,92
default,geo-us-west-1-7f6dd85fbd-qtvmj,hotel-reserv-geo,64,8
default,geo-us-west-1-7f6dd85fbd-qtvmj,istio-proxy,24,92
default,jaeger-769bd84c68-mvxq2,hotel-reserv-jaeger,24,26
default,jaeger-769bd84c68-mvxq2,istio-proxy,3,95
default,memcached-profile-us-central-1-75d5bc5887-bxxl2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-75d5bc5887-bxxl2,istio-proxy,5,92
default,memcached-profile-us-central-1-75d5bc5887-sxdn8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-75d5bc5887-sxdn8,istio-proxy,4,93
default,memcached-profile-us-east-1-bbfd79dbc-jcr4m,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bbfd79dbc-jcr4m,istio-proxy,4,91
default,memcached-profile-us-east-1-bbfd79dbc-ksx9c,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bbfd79dbc-ksx9c,istio-proxy,4,92
default,memcached-profile-us-south-1-59cdf6dd6c-rb226,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59cdf6dd6c-rb226,istio-proxy,4,93
default,memcached-profile-us-south-1-59cdf6dd6c-sgd8t,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59cdf6dd6c-sgd8t,istio-proxy,5,93
default,memcached-profile-us-west-1-85877c9b75-f4thb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-85877c9b75-f4thb,istio-proxy,5,91
default,memcached-profile-us-west-1-85877c9b75-w6lbw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-85877c9b75-w6lbw,istio-proxy,4,91
default,memcached-rate-us-central-1-7d98f997b6-fnpwd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7d98f997b6-fnpwd,istio-proxy,4,91
default,memcached-rate-us-central-1-7d98f997b6-gfmw5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7d98f997b6-gfmw5,istio-proxy,5,92
default,memcached-rate-us-east-1-67fdf76946-n8x6s,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-67fdf76946-n8x6s,istio-proxy,4,92
default,memcached-rate-us-east-1-67fdf76946-xfdhc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-67fdf76946-xfdhc,istio-proxy,3,94
default,memcached-rate-us-south-1-58bc76dff8-rfblh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-58bc76dff8-rfblh,istio-proxy,4,92
default,memcached-rate-us-south-1-58bc76dff8-wrchl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-58bc76dff8-wrchl,istio-proxy,4,93
default,memcached-rate-us-west-1-6d7c45ddfd-8sm6j,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6d7c45ddfd-8sm6j,istio-proxy,5,95
default,memcached-rate-us-west-1-6d7c45ddfd-xnghs,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6d7c45ddfd-xnghs,istio-proxy,4,93
default,memcached-reserve-us-central-1-6848c89b49-btjk9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6848c89b49-btjk9,istio-proxy,5,91
default,memcached-reserve-us-central-1-6848c89b49-jhggq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6848c89b49-jhggq,istio-proxy,5,93
