Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-64f66565f6-hb5gk,consul,10,35
default,consul-64f66565f6-hb5gk,istio-proxy,3,95
default,frontend-us-central-1-5b99cd9d5d-8l8d5,hotel-reserv-frontend,195,8
default,frontend-us-central-1-5b99cd9d5d-8l8d5,istio-proxy,472,95
default,frontend-us-central-1-5b99cd9d5d-kk674,hotel-reserv-frontend,201,8
default,frontend-us-central-1-5b99cd9d5d-kk674,istio-proxy,270,93
default,frontend-us-east-1-5799c95998-7krfj,hotel-reserv-frontend,190,8
default,frontend-us-east-1-5799c95998-7krfj,istio-proxy,251,93
default,frontend-us-east-1-5799c95998-d9ds8,hotel-reserv-frontend,161,8
default,frontend-us-east-1-5799c95998-d9ds8,istio-proxy,270,93
default,frontend-us-south-1-6fb9dd75f8-twjnv,hotel-reserv-frontend,156,8
default,frontend-us-south-1-6fb9dd75f8-twjnv,istio-proxy,249,95
default,frontend-us-south-1-6fb9dd75f8-wmhtz,hotel-reserv-frontend,147,8
default,frontend-us-south-1-6fb9dd75f8-wmhtz,istio-proxy,341,96
default,frontend-us-west-1-59f8bc7c74-lz2bf,hotel-reserv-frontend,633,11
default,frontend-us-west-1-59f8bc7c74-lz2bf,istio-proxy,1948,102
default,frontend-us-west-1-59f8bc7c74-p62gz,hotel-reserv-frontend,376,22
default,frontend-us-west-1-59f8bc7c74-p62gz,istio-proxy,912,118
default,geo-us-central-1-8467c787d9-c52q8,hotel-reserv-geo,23,8
default,geo-us-central-1-8467c787d9-c52q8,istio-proxy,48,93
default,geo-us-central-1-8467c787d9-rnfph,hotel-reserv-geo,27,8
default,geo-us-central-1-8467c787d9-rnfph,istio-proxy,42,90
default,geo-us-east-1-54f8d9f94d-6bfzn,hotel-reserv-geo,24,8
default,geo-us-east-1-54f8d9f94d-6bfzn,istio-proxy,47,93
default,geo-us-east-1-54f8d9f94d-pldbb,hotel-reserv-geo,19,8
default,geo-us-east-1-54f8d9f94d-pldbb,istio-proxy,51,93
default,geo-us-south-1-fc6596f58-5z4vs,hotel-reserv-geo,27,8
default,geo-us-south-1-fc6596f58-5z4vs,istio-proxy,54,91
default,geo-us-south-1-fc6596f58-czkg9,hotel-reserv-geo,16,8
default,geo-us-south-1-fc6596f58-czkg9,istio-proxy,42,94
default,geo-us-west-1-7f6dd85fbd-bbd6s,hotel-reserv-geo,77,8
default,geo-us-west-1-7f6dd85fbd-bbd6s,istio-proxy,277,93
default,geo-us-west-1-7f6dd85fbd-qtvmj,hotel-reserv-geo,103,8
default,geo-us-west-1-7f6dd85fbd-qtvmj,istio-proxy,258,92
default,jaeger-769bd84c68-mvxq2,hotel-reserv-jaeger,185,249
default,jaeger-769bd84c68-mvxq2,istio-proxy,3,94
default,memcached-profile-us-central-1-75d5bc5887-bxxl2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-75d5bc5887-bxxl2,istio-proxy,4,92
default,memcached-profile-us-central-1-75d5bc5887-sxdn8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-75d5bc5887-sxdn8,istio-proxy,4,93
default,memcached-profile-us-east-1-bbfd79dbc-jcr4m,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bbfd79dbc-jcr4m,istio-proxy,4,91
default,memcached-profile-us-east-1-bbfd79dbc-ksx9c,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bbfd79dbc-ksx9c,istio-proxy,3,92
default,memcached-profile-us-south-1-59cdf6dd6c-rb226,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59cdf6dd6c-rb226,istio-proxy,4,93
default,memcached-profile-us-south-1-59cdf6dd6c-sgd8t,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59cdf6dd6c-sgd8t,istio-proxy,4,93
default,memcached-profile-us-west-1-85877c9b75-f4thb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-85877c9b75-f4thb,istio-proxy,4,91
default,memcached-profile-us-west-1-85877c9b75-w6lbw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-85877c9b75-w6lbw,istio-proxy,4,91
default,memcached-rate-us-central-1-7d98f997b6-fnpwd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7d98f997b6-fnpwd,istio-proxy,4,91
default,memcached-rate-us-central-1-7d98f997b6-gfmw5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7d98f997b6-gfmw5,istio-proxy,5,92
default,memcached-rate-us-east-1-67fdf76946-n8x6s,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-67fdf76946-n8x6s,istio-proxy,4,92
default,memcached-rate-us-east-1-67fdf76946-xfdhc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-67fdf76946-xfdhc,istio-proxy,4,94
default,memcached-rate-us-south-1-58bc76dff8-rfblh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-58bc76dff8-rfblh,istio-proxy,4,92
default,memcached-rate-us-south-1-58bc76dff8-wrchl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-58bc76dff8-wrchl,istio-proxy,4,93
default,memcached-rate-us-west-1-6d7c45ddfd-8sm6j,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6d7c45ddfd-8sm6j,istio-proxy,4,95
default,memcached-rate-us-west-1-6d7c45ddfd-xnghs,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6d7c45ddfd-xnghs,istio-proxy,4,93
default,memcached-reserve-us-central-1-6848c89b49-btjk9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6848c89b49-btjk9,istio-proxy,4,91
default,memcached-reserve-us-central-1-6848c89b49-jhggq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6848c89b49-jhggq,istio-proxy,3,93
default,memcached-reserve-us-east-1-85c8b45b95-2mr6f,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-85c8b45b95-2mr6f,istio-proxy,4,91
default,memcached-reserve-us-east-1-85c8b45b95-7r2rs,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-85c8b45b95-7r2rs,istio-proxy,4,90
default,memcached-reserve-us-south-1-dcc565dd9-khngf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-dcc565dd9-khngf,istio-proxy,4,93
default,memcached-reserve-us-south-1-dcc565dd9-pxrxz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-dcc565dd9-pxrxz,istio-proxy,4,92
