Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,39
default,consul-cc8f4df9-4gqrn,istio-proxy,3,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,139,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,358,161
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,255,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,381,161
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,116,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,315,132
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,131,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,310,132
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,29,124
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,66,364
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,85,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,402,190
default,frontend-us-west-1-dc6d76645-9lmms,hotel-reserv-frontend,343,14
default,frontend-us-west-1-dc6d76645-9lmms,istio-proxy,790,100
default,frontend-us-west-1-dc6d76645-qpxf8,hotel-reserv-frontend,419,14
default,frontend-us-west-1-dc6d76645-qpxf8,istio-proxy,403,104
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,39,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,10,94
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,29,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,30,93
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,17,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,36,93
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,12,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,31,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,4,10
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,19,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,2,10
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,16,91
default,geo-us-west-1-5c86b85cfd-rhcmz,hotel-reserv-geo,65,8
default,geo-us-west-1-5c86b85cfd-rhcmz,istio-proxy,87,92
default,geo-us-west-1-5c86b85cfd-z5bf4,hotel-reserv-geo,108,9
default,geo-us-west-1-5c86b85cfd-z5bf4,istio-proxy,42,94
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,146,1315
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,92
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,93
