Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,39
default,consul-cc8f4df9-4gqrn,istio-proxy,3,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,345,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,906,161
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,255,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,892,162
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,56,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,153,133
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,68,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,179,132
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,35,124
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,91,370
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,84,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,239,190
default,frontend-us-west-1-dc6d76645-9lmms,hotel-reserv-frontend,436,14
default,frontend-us-west-1-dc6d76645-9lmms,istio-proxy,1139,101
default,frontend-us-west-1-dc6d76645-qpxf8,hotel-reserv-frontend,436,15
default,frontend-us-west-1-dc6d76645-qpxf8,istio-proxy,1152,105
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,59,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,119,94
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,61,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,118,94
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,9,9
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,36,93
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,11,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,21,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,2,10
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,4,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,3,10
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,4,91
default,geo-us-west-1-5c86b85cfd-rhcmz,hotel-reserv-geo,102,8
default,geo-us-west-1-5c86b85cfd-rhcmz,istio-proxy,176,92
default,geo-us-west-1-5c86b85cfd-z5bf4,hotel-reserv-geo,83,9
default,geo-us-west-1-5c86b85cfd-z5bf4,istio-proxy,200,95
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,134,1534
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,92
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,93
