Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,39
default,consul-cc8f4df9-4gqrn,istio-proxy,4,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,0,22
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,4,157
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,0,22
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,4,157
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,0,16
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,4,132
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,0,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,4,132
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,0,122
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,4,354
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,0,33
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,4,189
default,frontend-us-west-1-dc6d76645-9lmms,hotel-reserv-frontend,0,9
default,frontend-us-west-1-dc6d76645-9lmms,istio-proxy,4,99
default,frontend-us-west-1-dc6d76645-qpxf8,hotel-reserv-frontend,0,11
default,frontend-us-west-1-dc6d76645-qpxf8,istio-proxy,4,104
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,0,8
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,4,94
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,0,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,4,93
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,4,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,4,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,10
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,4,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,0,10
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,4,91
default,geo-us-west-1-5c86b85cfd-rhcmz,hotel-reserv-geo,0,15
default,geo-us-west-1-5c86b85cfd-rhcmz,istio-proxy,4,92
default,geo-us-west-1-5c86b85cfd-z5bf4,hotel-reserv-geo,0,15
default,geo-us-west-1-5c86b85cfd-z5bf4,istio-proxy,4,94
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,176,1242
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,93
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,91
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,93
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,4,92
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,3,89
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,3,93
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,4,91
default,memcached-profile-us-west-1-7c74957979-94twc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7c74957979-94twc,istio-proxy,4,92
default,memcached-profile-us-west-1-7c74957979-pjs7j,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7c74957979-pjs7j,istio-proxy,4,92
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,93
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,89
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,3,90
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,4,91
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,5,89
default,memcached-rate-us-west-1-7b69c78cdf-pzcxl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7b69c78cdf-pzcxl,istio-proxy,4,92
default,memcached-rate-us-west-1-7b69c78cdf-tkjzp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7b69c78cdf-tkjzp,istio-proxy,4,91
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,4,91
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,4,91
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,4,92
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,4,91
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,4,93
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,4,90
default,memcached-reserve-us-west-1-99d8c894f-vj4c9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-99d8c894f-vj4c9,istio-proxy,4,92
default,memcached-reserve-us-west-1-99d8c894f-w9k9v,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-99d8c894f-w9k9v,istio-proxy,5,94
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,hotel-reserv-geo-mongo,3,162
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,istio-proxy,4,91
default,mongodb-geo-us-east-1-c88966fc-c2ghk,hotel-reserv-geo-mongo,3,162
default,mongodb-geo-us-east-1-c88966fc-c2ghk,istio-proxy,4,92
default,mongodb-geo-us-south-1-774ff447f9-z5r25,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-774ff447f9-z5r25,istio-proxy,3,90
default,mongodb-geo-us-west-1-75459884b6-mfqpv,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-west-1-75459884b6-mfqpv,istio-proxy,4,92
default,mongodb-profile-us-central-1-554f6d9585-k8n69,hotel-reserv-profile-mongo,3,190
default,mongodb-profile-us-central-1-554f6d9585-k8n69,istio-proxy,5,93
default,mongodb-profile-us-east-1-76c47b747f-n69br,hotel-reserv-profile-mongo,3,172
default,mongodb-profile-us-east-1-76c47b747f-n69br,istio-proxy,5,92
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,hotel-reserv-profile-mongo,3,179
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,istio-proxy,5,92
default,mongodb-profile-us-west-1-c99dc44b4-2t74j,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-west-1-c99dc44b4-2t74j,istio-proxy,4,92
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,hotel-reserv-rate-mongo,3,165
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,istio-proxy,4,91
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,hotel-reserv-rate-mongo,4,167
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,istio-proxy,4,92
