counter,region,service,endpoint,rps
1,us-south-1,search,search@POST@/search.Search/Nearby,52
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,70
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,91
1,us-south-1,user,user@POST@/user.User/CheckUser,156
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,66
1,us-south-1,frontend,frontend@GET@/hotels,96
1,us-south-1,frontend,frontend@GET@/recommendations,88
1,us-south-1,frontend,frontend@POST@/user,99
1,us-south-1,frontend,frontend@POST@/reservation,109
1,us-south-1,slateingress,slateingress@POST@/user,114
1,us-south-1,slateingress,slateingress@GET@/recommendations,95
1,us-south-1,slateingress,slateingress@POST@/reservation,109
1,us-south-1,slateingress,slateingress@GET@/hotels,90
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,114
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,88
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,144
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,111
1,us-central-1,user,user@POST@/user.User/CheckUser,218
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,109
1,us-central-1,search,search@POST@/search.Search/Nearby,109
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,112
1,us-central-1,frontend,frontend@POST@/user,111
1,us-central-1,frontend,frontend@GET@/recommendations,107
1,us-central-1,frontend,frontend@POST@/reservation,112
1,us-central-1,frontend,frontend@GET@/hotels,113
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,209
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,112
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-central-1,slateingress,slateingress@POST@/user,106
1,us-central-1,slateingress,slateingress@POST@/reservation,111
1,us-central-1,slateingress,slateingress@GET@/hotels,110
1,us-central-1,slateingress,slateingress@GET@/recommendations,106
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,189
1,us-east-1,user,user@POST@/user.User/CheckUser,180
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,85
