Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,38
default,consul-cc8f4df9-4gqrn,istio-proxy,3,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,278,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,765,151
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,231,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,693,153
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,167,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,404,128
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,163,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,424,128
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,44,123
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,188,342
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,139,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,454,183
default,frontend-us-west-1-84cf6f65bb-bzhvl,hotel-reserv-frontend,358,34
default,frontend-us-west-1-84cf6f65bb-bzhvl,istio-proxy,1066,147
default,frontend-us-west-1-84cf6f65bb-j9x4p,hotel-reserv-frontend,357,40
default,frontend-us-west-1-84cf6f65bb-j9x4p,istio-proxy,1171,149
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,43,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,76,91
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,23,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,75,92
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,21,9
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,51,91
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,25,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,46,91
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,8,11
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,20,90
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,9,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,16,90
default,geo-us-west-1-84bcf85f65-g22qz,hotel-reserv-geo,43,12
default,geo-us-west-1-84bcf85f65-g22qz,istio-proxy,67,90
default,geo-us-west-1-84bcf85f65-wnv7p,hotel-reserv-geo,30,12
default,geo-us-west-1-84bcf85f65-wnv7p,istio-proxy,110,92
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,135,1185
default,jaeger-54fccc9ddc-lffg5,istio-proxy,4,91
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
