Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,38
default,consul-cc8f4df9-4gqrn,istio-proxy,4,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,0,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,5,149
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,0,22
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,6,150
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,0,15
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,6,128
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,0,16
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,6,126
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,0,122
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,5,330
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,0,32
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,6,181
default,frontend-us-west-1-84cf6f65bb-bzhvl,hotel-reserv-frontend,0,3
default,frontend-us-west-1-84cf6f65bb-bzhvl,istio-proxy,6,92
default,frontend-us-west-1-84cf6f65bb-j9x4p,hotel-reserv-frontend,0,4
default,frontend-us-west-1-84cf6f65bb-j9x4p,istio-proxy,5,92
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,0,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,5,90
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,0,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,5,92
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,0,7
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,5,90
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,5,91
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,10
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,5,90
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,0,10
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,5,89
default,geo-us-west-1-84bcf85f65-g22qz,hotel-reserv-geo,0,15
default,geo-us-west-1-84bcf85f65-g22qz,istio-proxy,6,89
default,geo-us-west-1-84bcf85f65-wnv7p,hotel-reserv-geo,0,15
default,geo-us-west-1-84bcf85f65-wnv7p,istio-proxy,7,90
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,0,1183
default,jaeger-54fccc9ddc-lffg5,istio-proxy,5,91
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,5,92
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,5,91
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,4,91
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,5,90
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,5,92
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,6,89
default,memcached-profile-us-west-1-844bd944d4-mkklz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-844bd944d4-mkklz,istio-proxy,5,91
default,memcached-profile-us-west-1-844bd944d4-r4vxr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-844bd944d4-r4vxr,istio-proxy,5,90
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,5,92
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,5,90
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,5,89
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,5,88
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,5,89
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,4,88
default,memcached-rate-us-west-1-7b85cfd796-tnv24,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7b85cfd796-tnv24,istio-proxy,5,91
default,memcached-rate-us-west-1-7b85cfd796-wtd2c,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7b85cfd796-wtd2c,istio-proxy,5,90
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,5,91
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,6,89
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,5,90
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,5,90
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,5,91
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,5,90
default,memcached-reserve-us-west-1-6544ff5794-2q6xg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6544ff5794-2q6xg,istio-proxy,5,92
default,memcached-reserve-us-west-1-6544ff5794-khkgk,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6544ff5794-khkgk,istio-proxy,5,90
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,hotel-reserv-geo-mongo,4,162
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,istio-proxy,5,90
default,mongodb-geo-us-east-1-c88966fc-c2ghk,hotel-reserv-geo-mongo,3,162
default,mongodb-geo-us-east-1-c88966fc-c2ghk,istio-proxy,4,91
default,mongodb-geo-us-south-1-774ff447f9-z5r25,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-774ff447f9-z5r25,istio-proxy,6,89
default,mongodb-geo-us-west-1-f5df896c9-t6qk4,hotel-reserv-geo-mongo,N/A,N/A
default,mongodb-geo-us-west-1-f5df896c9-t6qk4,istio-proxy,N/A,N/A
default,mongodb-profile-us-central-1-554f6d9585-k8n69,hotel-reserv-profile-mongo,3,190
default,mongodb-profile-us-central-1-554f6d9585-k8n69,istio-proxy,5,92
default,mongodb-profile-us-east-1-76c47b747f-n69br,hotel-reserv-profile-mongo,3,171
default,mongodb-profile-us-east-1-76c47b747f-n69br,istio-proxy,5,90
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,hotel-reserv-profile-mongo,5,179
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,istio-proxy,6,91
default,mongodb-profile-us-west-1-8c7dbbd5-lbg4z,hotel-reserv-profile-mongo,N/A,N/A
default,mongodb-profile-us-west-1-8c7dbbd5-lbg4z,istio-proxy,N/A,N/A
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,hotel-reserv-rate-mongo,3,165
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,istio-proxy,6,90
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,hotel-reserv-rate-mongo,3,167
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,istio-proxy,5,92
default,mongodb-rate-us-south-1-7b885fc966-qnddf,hotel-reserv-rate-mongo,4,166
default,mongodb-rate-us-south-1-7b885fc966-qnddf,istio-proxy,6,89
default,mongodb-rate-us-west-1-6799d86dc4-fxqm4,hotel-reserv-rate-mongo,N/A,N/A
default,mongodb-rate-us-west-1-6799d86dc4-fxqm4,istio-proxy,N/A,N/A
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,istio-proxy,5,90
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,hotel-reserv-recommendation-mongo,3,162
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,istio-proxy,5,88
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,istio-proxy,5,90
default,mongodb-recommendation-us-west-1-f8d4fd64f-x5c2h,hotel-reserv-recommendation-mongo,9,144
default,mongodb-recommendation-us-west-1-f8d4fd64f-x5c2h,istio-proxy,11,93
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,hotel-reserv-reservation-mongo,3,160
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,istio-proxy,5,90
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,hotel-reserv-reservation-mongo,3,162
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,istio-proxy,5,89
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,hotel-reserv-reservation-mongo,3,163
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,istio-proxy,5,93
default,mongodb-reservation-us-west-1-ffb9c4c77-4tfsg,hotel-reserv-reservation-mongo,N/A,N/A
default,mongodb-reservation-us-west-1-ffb9c4c77-4tfsg,istio-proxy,N/A,N/A
default,mongodb-user-us-central-1-55bb5c8497-fjf9f,hotel-reserv-user-mongo,3,204
default,mongodb-user-us-central-1-55bb5c8497-fjf9f,istio-proxy,6,90
default,mongodb-user-us-east-1-769ddfbf47-7zcp2,hotel-reserv-user-mongo,4,197
