counter,region,service,endpoint,rps
1,us-central-1,search,search@POST@/search.Search/Nearby,64
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,64
1,us-central-1,frontend,frontend@POST@/user,87
1,us-central-1,frontend,frontend@GET@/recommendations,412
1,us-central-1,frontend,frontend@POST@/reservation,74
1,us-central-1,frontend,frontend@GET@/hotels,79
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,496
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,82
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,88
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,94
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,609
1,us-central-1,user,user@POST@/user.User/CheckUser,198
1,us-central-1,slateingress,slateingress@GET@/recommendations,830
1,us-central-1,slateingress,slateingress@POST@/reservation,110
1,us-central-1,slateingress,slateingress@GET@/hotels,111
1,us-central-1,slateingress,slateingress@POST@/user,106
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,5
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,29
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,8
1,us-south-1,slateingress,slateingress@POST@/user,359
1,us-south-1,slateingress,slateingress@GET@/recommendations,68
1,us-south-1,slateingress,slateingress@GET@/hotels,42
1,us-south-1,slateingress,slateingress@POST@/reservation,58
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,20
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,54
1,us-south-1,search,search@POST@/search.Search/Nearby,9
1,us-south-1,frontend,frontend@GET@/recommendations,91
1,us-south-1,frontend,frontend@GET@/hotels,60
1,us-south-1,frontend,frontend@POST@/user,487
1,us-south-1,frontend,frontend@POST@/reservation,78
1,us-south-1,user,user@POST@/user.User/CheckUser,329
1,us-west-1,slateingress,slateingress@POST@/user,111
1,us-west-1,slateingress,slateingress@POST@/reservation,102
1,us-west-1,slateingress,slateingress@GET@/recommendations,29
1,us-west-1,slateingress,slateingress@GET@/hotels,608
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,29
1,us-west-1,user,user@POST@/user.User/CheckUser,218
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,168
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,780
1,us-west-1,frontend,frontend@POST@/user,108
1,us-west-1,frontend,frontend@POST@/reservation,112
1,us-west-1,frontend,frontend@GET@/recommendations,44
1,us-west-1,frontend,frontend@GET@/hotels,570
1,us-west-1,search,search@POST@/search.Search/Nearby,1155
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,34
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,1959
1,us-east-1,frontend,frontend@POST@/user,105
1,us-east-1,frontend,frontend@GET@/recommendations,96
1,us-east-1,frontend,frontend@POST@/reservation,454
1,us-east-1,frontend,frontend@GET@/hotels,85
1,us-east-1,search,search@POST@/search.Search/Nearby,86
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,180
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,598
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,92
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,89
1,us-east-1,slateingress,slateingress@POST@/user,94
1,us-east-1,slateingress,slateingress@GET@/recommendations,98
1,us-east-1,slateingress,slateingress@POST@/reservation,587
1,us-east-1,slateingress,slateingress@GET@/hotels,93
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,105
1,us-east-1,user,user@POST@/user.User/CheckUser,891
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,81
2,us-central-1,search,search@POST@/search.Search/Nearby,110
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,109
2,us-central-1,frontend,frontend@POST@/user,114
2,us-central-1,frontend,frontend@GET@/recommendations,977
2,us-central-1,frontend,frontend@POST@/reservation,108
2,us-central-1,frontend,frontend@GET@/hotels,105
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,1093
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,103
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,109
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,998
2,us-central-1,user,user@POST@/user.User/CheckUser,207
2,us-central-1,slateingress,slateingress@GET@/recommendations,1015
2,us-central-1,slateingress,slateingress@POST@/reservation,107
2,us-central-1,slateingress,slateingress@GET@/hotels,104
2,us-central-1,slateingress,slateingress@POST@/user,101
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,103
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,82
2,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,148
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,105
2,us-south-1,slateingress,slateingress@POST@/user,974
2,us-south-1,slateingress,slateingress@GET@/recommendations,92
2,us-south-1,slateingress,slateingress@GET@/hotels,90
2,us-south-1,slateingress,slateingress@POST@/reservation,106
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,97
2,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,90
2,us-south-1,search,search@POST@/search.Search/Nearby,95
2,us-south-1,frontend,frontend@GET@/recommendations,90
2,us-south-1,frontend,frontend@GET@/hotels,93
2,us-south-1,frontend,frontend@POST@/user,951
2,us-south-1,frontend,frontend@POST@/reservation,109
2,us-south-1,user,user@POST@/user.User/CheckUser,1076
2,us-west-1,slateingress,slateingress@POST@/user,101
2,us-west-1,slateingress,slateingress@POST@/reservation,112
2,us-west-1,slateingress,slateingress@GET@/recommendations,29
2,us-west-1,slateingress,slateingress@GET@/hotels,266
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,15
2,us-west-1,user,user@POST@/user.User/CheckUser,213
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,163
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,362
2,us-west-1,frontend,frontend@POST@/user,107
2,us-west-1,frontend,frontend@POST@/reservation,103
2,us-west-1,frontend,frontend@GET@/recommendations,34
2,us-west-1,frontend,frontend@GET@/hotels,405
2,us-west-1,search,search@POST@/search.Search/Nearby,389
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,7
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,793
2,us-east-1,frontend,frontend@POST@/user,85
2,us-east-1,frontend,frontend@GET@/recommendations,95
2,us-east-1,frontend,frontend@POST@/reservation,919
2,us-east-1,frontend,frontend@GET@/hotels,94
2,us-east-1,search,search@POST@/search.Search/Nearby,88
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,185
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,908
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,88
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,88
2,us-east-1,slateingress,slateingress@POST@/user,80
2,us-east-1,slateingress,slateingress@GET@/recommendations,90
2,us-east-1,slateingress,slateingress@POST@/reservation,930
2,us-east-1,slateingress,slateingress@GET@/hotels,100
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,84
2,us-east-1,user,user@POST@/user.User/CheckUser,964
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,97
3,us-central-1,search,search@POST@/search.Search/Nearby,97
3,us-central-1,rate,rate@POST@/rate.Rate/GetRates,91
3,us-central-1,frontend,frontend@POST@/user,85
3,us-central-1,frontend,frontend@GET@/recommendations,859
3,us-central-1,frontend,frontend@POST@/reservation,102
3,us-central-1,frontend,frontend@GET@/hotels,95
