Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,37
default,consul-cc8f4df9-4gqrn,istio-proxy,4,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,372,26
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,170,126
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,525,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,857,148
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,233,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,223,121
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,227,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,613,122
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,0,107
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,514,331
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,300,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,428,174
default,frontend-us-west-1-7b7fff6f76-bd52r,hotel-reserv-frontend,175,60
default,frontend-us-west-1-7b7fff6f76-bd52r,istio-proxy,1928,200
default,frontend-us-west-1-7b7fff6f76-mx4c5,hotel-reserv-frontend,19,17
default,frontend-us-west-1-7b7fff6f76-mx4c5,istio-proxy,95,114
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,19,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,42,92
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,10,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,65,91
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,12,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,37,91
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,28,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,49,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,7,10
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,6,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,7,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,16,90
default,geo-us-west-1-7bd6d97c4-9r5vg,hotel-reserv-geo,43,9
default,geo-us-west-1-7bd6d97c4-9r5vg,istio-proxy,144,96
default,geo-us-west-1-7bd6d97c4-bbvzv,hotel-reserv-geo,171,21
default,geo-us-west-1-7bd6d97c4-bbvzv,istio-proxy,71,91
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,165,916
default,jaeger-54fccc9ddc-lffg5,istio-proxy,4,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,5,90
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,92
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,5,92
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,5,89
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,4,92
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,4,90
default,memcached-profile-us-west-1-66d9774bc9-pbf54,hotel-reserv-profile-mmc,0,1
