Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,11,37
default,consul-cc8f4df9-4gqrn,istio-proxy,4,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,492,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,1290,149
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,527,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,857,148
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,510,16
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,1373,124
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,540,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,1510,126
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,166,127
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,545,332
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,486,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,1261,180
default,frontend-us-west-1-7b7fff6f76-bd52r,hotel-reserv-frontend,476,57
default,frontend-us-west-1-7b7fff6f76-bd52r,istio-proxy,1577,200
default,frontend-us-west-1-7b7fff6f76-mx4c5,hotel-reserv-frontend,401,51
default,frontend-us-west-1-7b7fff6f76-mx4c5,istio-proxy,1687,205
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,40,10
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,79,92
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,36,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,68,91
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,59,9
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,167,91
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,73,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,49,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,6,11
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,25,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,7,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,31,90
default,geo-us-west-1-7bd6d97c4-9r5vg,hotel-reserv-geo,186,18
default,geo-us-west-1-7bd6d97c4-9r5vg,istio-proxy,428,98
default,geo-us-west-1-7bd6d97c4-bbvzv,hotel-reserv-geo,200,22
default,geo-us-west-1-7bd6d97c4-bbvzv,istio-proxy,468,96
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,608,1141
default,jaeger-54fccc9ddc-lffg5,istio-proxy,4,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,5,90
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,5,92
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,5,92
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,5,89
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,4,92
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,3,90
default,memcached-profile-us-west-1-66d9774bc9-pbf54,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-66d9774bc9-pbf54,istio-proxy,5,92
default,memcached-profile-us-west-1-66d9774bc9-txg5s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-66d9774bc9-txg5s,istio-proxy,5,93
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,92
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,5,89
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,5,89
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,4,90
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,4,89
default,memcached-rate-us-west-1-664cd5f7c-77w6g,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-664cd5f7c-77w6g,istio-proxy,6,90
default,memcached-rate-us-west-1-664cd5f7c-q9shd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-664cd5f7c-q9shd,istio-proxy,5,93
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,4,91
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,5,90
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,4,91
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,4,90
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
