Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,38
default,consul-cc8f4df9-4gqrn,istio-proxy,5,92
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,0,14
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,6,126
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,0,14
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,6,125
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,0,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,4,121
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,0,16
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,6,120
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,0,107
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,5,328
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,0,31
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,8,173
default,frontend-us-west-1-7b7fff6f76-bd52r,hotel-reserv-frontend,0,5
default,frontend-us-west-1-7b7fff6f76-bd52r,istio-proxy,5,90
default,frontend-us-west-1-7b7fff6f76-mx4c5,hotel-reserv-frontend,0,4
default,frontend-us-west-1-7b7fff6f76-mx4c5,istio-proxy,4,91
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,0,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,5,91
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,0,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,6,91
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,5,90
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,5,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,10
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,4,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,0,10
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,6,90
default,geo-us-west-1-7bd6d97c4-9r5vg,hotel-reserv-geo,0,15
default,geo-us-west-1-7bd6d97c4-9r5vg,istio-proxy,8,95
default,geo-us-west-1-7bd6d97c4-bbvzv,hotel-reserv-geo,0,15
default,geo-us-west-1-7bd6d97c4-bbvzv,istio-proxy,6,90
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,0,760
default,jaeger-54fccc9ddc-lffg5,istio-proxy,5,91
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,5,90
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,6,92
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,6,91
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,4,89
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,6,92
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,5,90
default,memcached-profile-us-west-1-66d9774bc9-pbf54,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-66d9774bc9-pbf54,istio-proxy,6,92
default,memcached-profile-us-west-1-66d9774bc9-txg5s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-66d9774bc9-txg5s,istio-proxy,6,93
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,6,93
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,6,90
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,89
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,5,89
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,6,90
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,7,88
default,memcached-rate-us-west-1-664cd5f7c-77w6g,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-664cd5f7c-77w6g,istio-proxy,5,90
default,memcached-rate-us-west-1-664cd5f7c-q9shd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-664cd5f7c-q9shd,istio-proxy,5,93
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,4,91
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,7,90
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,6,91
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,5,90
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,6,92
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,4,90
default,memcached-reserve-us-west-1-6f94d7789c-5k2pq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6f94d7789c-5k2pq,istio-proxy,5,91
default,memcached-reserve-us-west-1-6f94d7789c-lpk6q,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6f94d7789c-lpk6q,istio-proxy,5,91
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,istio-proxy,6,91
default,mongodb-geo-us-east-1-c88966fc-c2ghk,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-c88966fc-c2ghk,istio-proxy,5,91
default,mongodb-geo-us-south-1-774ff447f9-z5r25,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-774ff447f9-z5r25,istio-proxy,7,90
default,mongodb-geo-us-west-1-f6bd69d46-cdkn5,hotel-reserv-geo-mongo,117,144
default,mongodb-geo-us-west-1-f6bd69d46-cdkn5,istio-proxy,6,92
default,mongodb-profile-us-central-1-554f6d9585-k8n69,hotel-reserv-profile-mongo,3,169
default,mongodb-profile-us-central-1-554f6d9585-k8n69,istio-proxy,5,90
default,mongodb-profile-us-east-1-76c47b747f-n69br,hotel-reserv-profile-mongo,3,171
default,mongodb-profile-us-east-1-76c47b747f-n69br,istio-proxy,6,90
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,hotel-reserv-profile-mongo,3,179
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,istio-proxy,7,91
default,mongodb-profile-us-west-1-ffd886f96-2kh6v,hotel-reserv-profile-mongo,115,144
default,mongodb-profile-us-west-1-ffd886f96-2kh6v,istio-proxy,13,90
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,hotel-reserv-rate-mongo,4,164
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,istio-proxy,6,90
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,hotel-reserv-rate-mongo,3,166
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,istio-proxy,5,92
default,mongodb-rate-us-south-1-7b885fc966-qnddf,hotel-reserv-rate-mongo,4,169
default,mongodb-rate-us-south-1-7b885fc966-qnddf,istio-proxy,6,90
default,mongodb-rate-us-west-1-7bc6b67d75-bhldt,hotel-reserv-rate-mongo,N/A,N/A
default,mongodb-rate-us-west-1-7bc6b67d75-bhldt,istio-proxy,N/A,N/A
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,istio-proxy,6,90
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,hotel-reserv-recommendation-mongo,3,162
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,istio-proxy,5,89
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,istio-proxy,6,91
default,mongodb-recommendation-us-west-1-65c796dc8-9d9hc,hotel-reserv-recommendation-mongo,45,146
default,mongodb-recommendation-us-west-1-65c796dc8-9d9hc,istio-proxy,10,92
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,hotel-reserv-reservation-mongo,4,160
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,istio-proxy,6,90
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,hotel-reserv-reservation-mongo,3,162
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,istio-proxy,6,90
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,hotel-reserv-reservation-mongo,4,163
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,istio-proxy,7,94
default,mongodb-reservation-us-west-1-75b98fcf7b-dg5l5,hotel-reserv-reservation-mongo,N/A,N/A
default,mongodb-reservation-us-west-1-75b98fcf7b-dg5l5,istio-proxy,6,90
