Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,41
default,consul-cc8f4df9-4gqrn,istio-proxy,7,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,56,15
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,70,178
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,37,15
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,172,179
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,14,12
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,28,141
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,0,12
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,5,139
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,12,175
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,66,516
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,35,17
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,35,190
default,frontend-us-west-1-7c9787d5c9-c2lvk,hotel-reserv-frontend,160,11
default,frontend-us-west-1-7c9787d5c9-c2lvk,istio-proxy,96,110
default,frontend-us-west-1-7c9787d5c9-fbvdw,hotel-reserv-frontend,104,11
default,frontend-us-west-1-7c9787d5c9-fbvdw,istio-proxy,226,113
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,21,8
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,32,99
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,13,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,45,96
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,11,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,4,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,2,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,7,93
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,9
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,3,92
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,0,9
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,3,91
default,geo-us-west-1-74dfd8dd88-2pqtn,hotel-reserv-geo,11,8
default,geo-us-west-1-74dfd8dd88-2pqtn,istio-proxy,41,91
default,geo-us-west-1-74dfd8dd88-zhtkw,hotel-reserv-geo,4,9
default,geo-us-west-1-74dfd8dd88-zhtkw,istio-proxy,64,91
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,38,2317
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,89
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,3,91
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,3,91
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,4,90
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,3,93
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,4,90
default,memcached-profile-us-west-1-5964849f57-9vdjs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5964849f57-9vdjs,istio-proxy,3,90
default,memcached-profile-us-west-1-5964849f57-v25xk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5964849f57-v25xk,istio-proxy,3,89
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,93
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,3,90
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,87
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,3,89
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,3,90
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,3,89
default,memcached-rate-us-west-1-7865596595-k7chm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7865596595-k7chm,istio-proxy,4,88
default,memcached-rate-us-west-1-7865596595-zm25q,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7865596595-zm25q,istio-proxy,3,91
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,3,92
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,4,90
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,3,90
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,3,90
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,3,91
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,4,88
default,memcached-reserve-us-west-1-6d98dbb5f5-d4km2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6d98dbb5f5-d4km2,istio-proxy,3,89
default,memcached-reserve-us-west-1-6d98dbb5f5-vng9s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6d98dbb5f5-vng9s,istio-proxy,4,92
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,istio-proxy,3,91
default,mongodb-geo-us-east-1-c88966fc-c2ghk,hotel-reserv-geo-mongo,4,160
default,mongodb-geo-us-east-1-c88966fc-c2ghk,istio-proxy,3,92
default,mongodb-geo-us-south-1-774ff447f9-z5r25,hotel-reserv-geo-mongo,4,160
default,mongodb-geo-us-south-1-774ff447f9-z5r25,istio-proxy,4,87
default,mongodb-geo-us-west-1-7dd4566668-qhrsz,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-west-1-7dd4566668-qhrsz,istio-proxy,4,88
default,mongodb-profile-us-central-1-554f6d9585-k8n69,hotel-reserv-profile-mongo,17,182
default,mongodb-profile-us-central-1-554f6d9585-k8n69,istio-proxy,12,92
default,mongodb-profile-us-east-1-76c47b747f-n69br,hotel-reserv-profile-mongo,6,170
default,mongodb-profile-us-east-1-76c47b747f-n69br,istio-proxy,16,90
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,hotel-reserv-profile-mongo,3,175
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,istio-proxy,3,91
default,mongodb-profile-us-west-1-5f65d877d6-bjt5v,hotel-reserv-profile-mongo,24,164
default,mongodb-profile-us-west-1-5f65d877d6-bjt5v,istio-proxy,11,90
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,hotel-reserv-rate-mongo,74,164
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,istio-proxy,16,90
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,hotel-reserv-rate-mongo,19,166
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,istio-proxy,7,92
default,mongodb-rate-us-south-1-7b885fc966-qnddf,hotel-reserv-rate-mongo,3,166
default,mongodb-rate-us-south-1-7b885fc966-qnddf,istio-proxy,4,88
default,mongodb-rate-us-west-1-6db969b589-gb9f7,hotel-reserv-rate-mongo,5,168
default,mongodb-rate-us-west-1-6db969b589-gb9f7,istio-proxy,5,90
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,hotel-reserv-recommendation-mongo,3,160
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,istio-proxy,4,88
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,hotel-reserv-recommendation-mongo,4,160
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,istio-proxy,4,88
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,hotel-reserv-recommendation-mongo,3,159
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,istio-proxy,4,91
default,mongodb-recommendation-us-west-1-86dbbfd7bd-5f4tm,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-west-1-86dbbfd7bd-5f4tm,istio-proxy,3,89
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,istio-proxy,4,88
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,hotel-reserv-reservation-mongo,3,159
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,istio-proxy,3,90
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,hotel-reserv-reservation-mongo,3,162
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,istio-proxy,3,94
default,mongodb-reservation-us-west-1-54588b8d98-st4gc,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-west-1-54588b8d98-st4gc,istio-proxy,4,88
default,mongodb-user-us-central-1-55bb5c8497-fjf9f,hotel-reserv-user-mongo,4,198
default,mongodb-user-us-central-1-55bb5c8497-fjf9f,istio-proxy,4,89
default,mongodb-user-us-east-1-769ddfbf47-7zcp2,hotel-reserv-user-mongo,3,196
default,mongodb-user-us-east-1-769ddfbf47-7zcp2,istio-proxy,3,92
default,mongodb-user-us-south-1-564845989c-pz6zw,hotel-reserv-user-mongo,3,160
default,mongodb-user-us-south-1-564845989c-pz6zw,istio-proxy,3,93
default,mongodb-user-us-west-1-7496fc8bf6-6d55k,hotel-reserv-user-mongo,3,163
default,mongodb-user-us-west-1-7496fc8bf6-6d55k,istio-proxy,4,90
default,profile-us-central-1-65cdbbc48f-8s8d8,hotel-reserv-profile,23,19
default,profile-us-central-1-65cdbbc48f-8s8d8,istio-proxy,48,122
default,profile-us-central-1-65cdbbc48f-x5wqq,hotel-reserv-profile,74,19
default,profile-us-central-1-65cdbbc48f-x5wqq,istio-proxy,68,123
default,profile-us-east-1-6d886b9db9-7bcfv,hotel-reserv-profile,29,11
default,profile-us-east-1-6d886b9db9-7bcfv,istio-proxy,22,102
default,profile-us-east-1-6d886b9db9-bdncr,hotel-reserv-profile,60,11
default,profile-us-east-1-6d886b9db9-bdncr,istio-proxy,10,103
default,profile-us-south-1-7b44bdc669-8967d,hotel-reserv-profile,0,16
default,profile-us-south-1-7b44bdc669-8967d,istio-proxy,3,98
default,profile-us-south-1-7b44bdc669-gx4hm,hotel-reserv-profile,0,16
default,profile-us-south-1-7b44bdc669-gx4hm,istio-proxy,4,100
default,profile-us-west-1-85cff6757d-75mk7,hotel-reserv-profile,73,10
default,profile-us-west-1-85cff6757d-75mk7,istio-proxy,79,91
default,profile-us-west-1-85cff6757d-sn46x,hotel-reserv-profile,121,10
default,profile-us-west-1-85cff6757d-sn46x,istio-proxy,87,89
default,rate-us-central-1-97b89c4cc-6tzqr,hotel-reserv-rate,20,9
default,rate-us-central-1-97b89c4cc-6tzqr,istio-proxy,25,99
default,rate-us-central-1-97b89c4cc-sgk2k,hotel-reserv-rate,5,9
default,rate-us-central-1-97b89c4cc-sgk2k,istio-proxy,59,99
default,rate-us-east-1-85955fcf9f-v2lk8,hotel-reserv-rate,8,10
default,rate-us-east-1-85955fcf9f-v2lk8,istio-proxy,9,94
default,rate-us-east-1-85955fcf9f-vms56,hotel-reserv-rate,12,9
default,rate-us-east-1-85955fcf9f-vms56,istio-proxy,17,95
default,rate-us-south-1-fc9894cc7-jjhwf,hotel-reserv-rate,0,10
default,rate-us-south-1-fc9894cc7-jjhwf,istio-proxy,4,92
default,rate-us-south-1-fc9894cc7-qxdwk,hotel-reserv-rate,0,10
default,rate-us-south-1-fc9894cc7-qxdwk,istio-proxy,4,93
default,rate-us-west-1-55585b6d4d-pgxkk,hotel-reserv-rate,17,19
default,rate-us-west-1-55585b6d4d-pgxkk,istio-proxy,66,95
default,rate-us-west-1-55585b6d4d-xrwk8,hotel-reserv-rate,44,18
default,rate-us-west-1-55585b6d4d-xrwk8,istio-proxy,53,91
default,recommendation-us-central-1-7f955cdb7f-42fbh,hotel-reserv-recommendation,13,10
default,recommendation-us-central-1-7f955cdb7f-42fbh,istio-proxy,34,107
default,recommendation-us-central-1-7f955cdb7f-km4jq,hotel-reserv-recommendation,17,11
default,recommendation-us-central-1-7f955cdb7f-km4jq,istio-proxy,12,106
default,recommendation-us-east-1-557cb8cb67-9vx8f,hotel-reserv-recommendation,5,9
default,recommendation-us-east-1-557cb8cb67-9vx8f,istio-proxy,4,93
default,recommendation-us-east-1-557cb8cb67-zpw9t,hotel-reserv-recommendation,0,8
default,recommendation-us-east-1-557cb8cb67-zpw9t,istio-proxy,10,95
default,recommendation-us-south-1-7bd97d448c-5nm5k,hotel-reserv-recommendation,0,9
default,recommendation-us-south-1-7bd97d448c-5nm5k,istio-proxy,3,95
default,recommendation-us-south-1-7bd97d448c-xbs6n,hotel-reserv-recommendation,0,9
default,recommendation-us-south-1-7bd97d448c-xbs6n,istio-proxy,4,92
default,recommendation-us-west-1-8568d6f95b-4tlld,hotel-reserv-recommendation,18,11
default,recommendation-us-west-1-8568d6f95b-4tlld,istio-proxy,29,91
default,recommendation-us-west-1-8568d6f95b-bv9wc,hotel-reserv-recommendation,12,11
default,recommendation-us-west-1-8568d6f95b-bv9wc,istio-proxy,46,92
default,reservation-us-central-1-5dd558485b-j4vm8,hotel-reserv-reservation,85,18
default,reservation-us-central-1-5dd558485b-j4vm8,istio-proxy,54,111
