counter,region,service,endpoint,rps
1,us-east-1,user,user@POST@/user.User/CheckUser,155
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,58
1,us-east-1,search,search@POST@/search.Search/Nearby,67
1,us-east-1,frontend,frontend@GET@/recommendations,77
1,us-east-1,frontend,frontend@POST@/user,79
1,us-east-1,frontend,frontend@POST@/reservation,84
1,us-east-1,frontend,frontend@GET@/hotels,70
1,us-east-1,slateingress,slateingress@POST@/user,80
1,us-east-1,slateingress,slateingress@GET@/recommendations,85
1,us-east-1,slateingress,slateingress@GET@/hotels,71
1,us-east-1,slateingress,slateingress@POST@/reservation,76
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,150
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,81
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,59
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,72
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,78
1,us-south-1,slateingress,slateingress@GET@/recommendations,86
1,us-south-1,slateingress,slateingress@POST@/user,106
1,us-south-1,slateingress,slateingress@POST@/reservation,102
1,us-south-1,slateingress,slateingress@GET@/hotels,68
1,us-south-1,frontend,frontend@GET@/hotels,80
1,us-south-1,frontend,frontend@GET@/recommendations,102
1,us-south-1,frontend,frontend@POST@/user,105
1,us-south-1,frontend,frontend@POST@/reservation,117
1,us-south-1,search,search@POST@/search.Search/Nearby,69
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,56
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,25
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,106
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,55
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,45
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,92
1,us-south-1,user,user@POST@/user.User/CheckUser,215
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,109
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,109
