Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,40
default,consul-cc8f4df9-4gqrn,istio-proxy,3,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,42,16
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,84,166
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,29,16
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,4,168
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,0,12
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,70,135
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,39,13
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,4,135
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,0,137
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,4,418
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,0,20
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,4,190
default,frontend-us-west-1-759bb5b89d-8bkqt,hotel-reserv-frontend,0,4
default,frontend-us-west-1-759bb5b89d-8bkqt,istio-proxy,4,94
default,frontend-us-west-1-759bb5b89d-k8xhc,hotel-reserv-frontend,0,3
default,frontend-us-west-1-759bb5b89d-k8xhc,istio-proxy,6,93
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,0,8
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,5,96
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,0,7
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,5,97
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,4,93
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,0,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,11,93
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,8
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,8,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,3,8
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,9,91
default,geo-us-west-1-6b9787f7-58m7f,hotel-reserv-geo,0,15
default,geo-us-west-1-6b9787f7-58m7f,istio-proxy,5,90
default,geo-us-west-1-6b9787f7-bgf6d,hotel-reserv-geo,0,15
