counter,region,service,endpoint,rps
1,us-east-1,search,search@POST@/search.Search/Nearby,75
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,95
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,75
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,81
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,79
1,us-east-1,user,user@POST@/user.User/CheckUser,165
1,us-east-1,frontend,frontend@POST@/user,75
1,us-east-1,frontend,frontend@GET@/recommendations,84
1,us-east-1,frontend,frontend@GET@/hotels,80
1,us-east-1,frontend,frontend@POST@/reservation,83
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,161
1,us-east-1,slateingress,slateingress@POST@/user,79
1,us-east-1,slateingress,slateingress@GET@/recommendations,87
1,us-east-1,slateingress,slateingress@POST@/reservation,87
1,us-east-1,slateingress,slateingress@GET@/hotels,78
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,95
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-central-1,slateingress,slateingress@POST@/user,110
1,us-central-1,slateingress,slateingress@GET@/recommendations,109
1,us-central-1,slateingress,slateingress@POST@/reservation,117
1,us-central-1,slateingress,slateingress@GET@/hotels,111
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,114
1,us-central-1,search,search@POST@/search.Search/Nearby,103
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,107
1,us-central-1,frontend,frontend@POST@/reservation,100
1,us-central-1,frontend,frontend@GET@/hotels,110
1,us-central-1,frontend,frontend@POST@/user,117
1,us-central-1,frontend,frontend@GET@/recommendations,108
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,188
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,103
1,us-central-1,user,user@POST@/user.User/CheckUser,215
1,us-west-1,slateingress,slateingress@POST@/user,1009
1,us-west-1,slateingress,slateingress@POST@/reservation,106
1,us-west-1,slateingress,slateingress@GET@/recommendations,108
1,us-west-1,slateingress,slateingress@GET@/hotels,103
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,106
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,219
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
1,us-west-1,frontend,frontend@POST@/user,1008
1,us-west-1,frontend,frontend@POST@/reservation,108
1,us-west-1,frontend,frontend@GET@/recommendations,116
1,us-west-1,frontend,frontend@GET@/hotels,98
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,107
1,us-west-1,user,user@POST@/user.User/CheckUser,1124
1,us-west-1,search,search@POST@/search.Search/Nearby,106
1,us-south-1,slateingress,slateingress@GET@/recommendations,80
1,us-south-1,slateingress,slateingress@POST@/user,100
1,us-south-1,slateingress,slateingress@POST@/reservation,91
1,us-south-1,slateingress,slateingress@GET@/hotels,58
1,us-south-1,search,search@POST@/search.Search/Nearby,71
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,95
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,59
1,us-south-1,frontend,frontend@GET@/hotels,80
1,us-south-1,frontend,frontend@GET@/recommendations,82
1,us-south-1,frontend,frontend@POST@/user,105
1,us-south-1,frontend,frontend@POST@/reservation,101
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,106
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,79
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,85
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,81
1,us-south-1,user,user@POST@/user.User/CheckUser,203
2,us-east-1,search,search@POST@/search.Search/Nearby,77
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,83
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,79
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,76
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,75
2,us-east-1,user,user@POST@/user.User/CheckUser,152
2,us-east-1,frontend,frontend@POST@/user,73
2,us-east-1,frontend,frontend@GET@/recommendations,68
2,us-east-1,frontend,frontend@GET@/hotels,81
2,us-east-1,frontend,frontend@POST@/reservation,92
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,152
2,us-east-1,slateingress,slateingress@POST@/user,76
2,us-east-1,slateingress,slateingress@GET@/recommendations,84
2,us-east-1,slateingress,slateingress@POST@/reservation,90
2,us-east-1,slateingress,slateingress@GET@/hotels,79
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,74
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,105
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,100
2,us-central-1,slateingress,slateingress@POST@/user,105
2,us-central-1,slateingress,slateingress@GET@/recommendations,106
2,us-central-1,slateingress,slateingress@POST@/reservation,99
2,us-central-1,slateingress,slateingress@GET@/hotels,103
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
2,us-central-1,search,search@POST@/search.Search/Nearby,112
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,105
2,us-central-1,frontend,frontend@POST@/reservation,102
2,us-central-1,frontend,frontend@GET@/hotels,106
2,us-central-1,frontend,frontend@POST@/user,101
2,us-central-1,frontend,frontend@GET@/recommendations,103
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,213
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,104
2,us-central-1,user,user@POST@/user.User/CheckUser,217
2,us-west-1,slateingress,slateingress@POST@/user,976
2,us-west-1,slateingress,slateingress@POST@/reservation,109
2,us-west-1,slateingress,slateingress@GET@/recommendations,107
2,us-west-1,slateingress,slateingress@GET@/hotels,106
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,100
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,208
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,100
2,us-west-1,frontend,frontend@POST@/user,974
2,us-west-1,frontend,frontend@POST@/reservation,102
2,us-west-1,frontend,frontend@GET@/recommendations,108
2,us-west-1,frontend,frontend@GET@/hotels,110
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,110
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,110
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,108
2,us-west-1,user,user@POST@/user.User/CheckUser,1086
2,us-west-1,search,search@POST@/search.Search/Nearby,101
2,us-south-1,slateingress,slateingress@GET@/recommendations,75
2,us-south-1,slateingress,slateingress@POST@/user,101
2,us-south-1,slateingress,slateingress@POST@/reservation,107
2,us-south-1,slateingress,slateingress@GET@/hotels,75
2,us-south-1,search,search@POST@/search.Search/Nearby,65
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,98
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,74
2,us-south-1,frontend,frontend@GET@/hotels,72
2,us-south-1,frontend,frontend@GET@/recommendations,67
2,us-south-1,frontend,frontend@POST@/user,93
2,us-south-1,frontend,frontend@POST@/reservation,96
2,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,102
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,65
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,64
2,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,72
2,us-south-1,user,user@POST@/user.User/CheckUser,203
3,us-east-1,search,search@POST@/search.Search/Nearby,75
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,78
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,78
3,us-east-1,geo,geo@POST@/geo.Geo/Nearby,76
3,us-east-1,rate,rate@POST@/rate.Rate/GetRates,79
3,us-east-1,user,user@POST@/user.User/CheckUser,149
3,us-east-1,frontend,frontend@POST@/user,71
3,us-east-1,frontend,frontend@GET@/recommendations,77
3,us-east-1,frontend,frontend@GET@/hotels,74
3,us-east-1,frontend,frontend@POST@/reservation,80
3,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,153
3,us-east-1,slateingress,slateingress@POST@/user,73
3,us-east-1,slateingress,slateingress@GET@/recommendations,77
3,us-east-1,slateingress,slateingress@POST@/reservation,82
3,us-east-1,slateingress,slateingress@GET@/hotels,81
