Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,39
default,consul-cc8f4df9-4gqrn,istio-proxy,3,90
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,39,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,471,165
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,72,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,4,165
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,0,12
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,85,132
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,36,14
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,4,132
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,0,131
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,4,400
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,81,22
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,4,188
default,frontend-us-west-1-75d5444c5c-ll52z,hotel-reserv-frontend,0,4
default,frontend-us-west-1-75d5444c5c-ll52z,istio-proxy,3,86
default,frontend-us-west-1-75d5444c5c-vwwxc,hotel-reserv-frontend,183,8
default,frontend-us-west-1-75d5444c5c-vwwxc,istio-proxy,384,90
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,0,7
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,19,93
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,20,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,25,94
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,9,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,19,91
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,6,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,14,90
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,6,8
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,4,89
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,2,8
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,4,88
default,geo-us-west-1-685b958cc4-rp9nc,hotel-reserv-geo,0,6
default,geo-us-west-1-685b958cc4-rp9nc,istio-proxy,20,87
default,geo-us-west-1-685b958cc4-xbrzc,hotel-reserv-geo,9,7
default,geo-us-west-1-685b958cc4-xbrzc,istio-proxy,4,87
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,50,1494
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,89
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,3,88
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,3,89
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,4,88
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,4,87
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,4,89
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,4,87
default,memcached-profile-us-west-1-c96d7d87f-22555,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-c96d7d87f-22555,istio-proxy,3,86
default,memcached-profile-us-west-1-c96d7d87f-vp2z9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-c96d7d87f-vp2z9,istio-proxy,4,87
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,90
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,4,87
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,86
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,3,86
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,3,87
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,3,86
default,memcached-rate-us-west-1-7d46d6dbdf-7sp8h,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7d46d6dbdf-7sp8h,istio-proxy,3,86
default,memcached-rate-us-west-1-7d46d6dbdf-jll6n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7d46d6dbdf-jll6n,istio-proxy,4,87
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,4,88
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,3,87
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,3,88
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,3,87
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,3,89
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,4,87
default,memcached-reserve-us-west-1-7878c5fb49-fqrzv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7878c5fb49-fqrzv,istio-proxy,4,86
default,memcached-reserve-us-west-1-7878c5fb49-m4w2b,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7878c5fb49-m4w2b,istio-proxy,3,87
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,istio-proxy,3,88
default,mongodb-geo-us-east-1-c88966fc-c2ghk,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-east-1-c88966fc-c2ghk,istio-proxy,4,89
default,mongodb-geo-us-south-1-774ff447f9-z5r25,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-south-1-774ff447f9-z5r25,istio-proxy,3,87
default,mongodb-geo-us-west-1-668556b87d-6md8d,hotel-reserv-geo-mongo,3,159
default,mongodb-geo-us-west-1-668556b87d-6md8d,istio-proxy,4,86
default,mongodb-profile-us-central-1-554f6d9585-k8n69,hotel-reserv-profile-mongo,9,190
default,mongodb-profile-us-central-1-554f6d9585-k8n69,istio-proxy,4,90
default,mongodb-profile-us-east-1-76c47b747f-n69br,hotel-reserv-profile-mongo,8,171
default,mongodb-profile-us-east-1-76c47b747f-n69br,istio-proxy,18,88
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,hotel-reserv-profile-mongo,14,177
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,istio-proxy,4,89
default,mongodb-profile-us-west-1-978bbfd6d-4z6fx,hotel-reserv-profile-mongo,16,163
default,mongodb-profile-us-west-1-978bbfd6d-4z6fx,istio-proxy,22,87
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,hotel-reserv-rate-mongo,79,164
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,istio-proxy,10,88
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,hotel-reserv-rate-mongo,34,167
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,istio-proxy,4,89
default,mongodb-rate-us-south-1-7b885fc966-qnddf,hotel-reserv-rate-mongo,3,166
default,mongodb-rate-us-south-1-7b885fc966-qnddf,istio-proxy,8,87
default,mongodb-rate-us-west-1-86c46b866c-n25rc,hotel-reserv-rate-mongo,3,160
default,mongodb-rate-us-west-1-86c46b866c-n25rc,istio-proxy,3,89
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,hotel-reserv-recommendation-mongo,4,160
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,istio-proxy,4,87
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,hotel-reserv-recommendation-mongo,3,160
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,istio-proxy,4,86
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,hotel-reserv-recommendation-mongo,4,159
default,mongodb-recommendation-us-south-1-6675bcd957-t96wq,istio-proxy,4,88
default,mongodb-recommendation-us-west-1-7c8bbc5866-kpjgj,hotel-reserv-recommendation-mongo,3,160
default,mongodb-recommendation-us-west-1-7c8bbc5866-kpjgj,istio-proxy,4,87
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-central-1-7c4d68ff77-x9wdm,istio-proxy,3,87
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,hotel-reserv-reservation-mongo,3,159
default,mongodb-reservation-us-east-1-6b8bdb4cb7-snmk7,istio-proxy,3,87
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-south-1-787bdcfb89-c674p,istio-proxy,4,91
default,mongodb-reservation-us-west-1-7589bd64dd-t85qn,hotel-reserv-reservation-mongo,3,160
default,mongodb-reservation-us-west-1-7589bd64dd-t85qn,istio-proxy,4,87
default,mongodb-user-us-central-1-55bb5c8497-fjf9f,hotel-reserv-user-mongo,3,198
default,mongodb-user-us-central-1-55bb5c8497-fjf9f,istio-proxy,4,88
default,mongodb-user-us-east-1-769ddfbf47-7zcp2,hotel-reserv-user-mongo,3,196
default,mongodb-user-us-east-1-769ddfbf47-7zcp2,istio-proxy,3,89
default,mongodb-user-us-south-1-564845989c-pz6zw,hotel-reserv-user-mongo,3,160
default,mongodb-user-us-south-1-564845989c-pz6zw,istio-proxy,3,91
default,mongodb-user-us-west-1-67f5d748c8-gtlc6,hotel-reserv-user-mongo,3,159
default,mongodb-user-us-west-1-67f5d748c8-gtlc6,istio-proxy,3,88
default,profile-us-central-1-65cdbbc48f-8s8d8,hotel-reserv-profile,9,27
default,profile-us-central-1-65cdbbc48f-8s8d8,istio-proxy,89,115
default,profile-us-central-1-65cdbbc48f-x5wqq,hotel-reserv-profile,0,26
default,profile-us-central-1-65cdbbc48f-x5wqq,istio-proxy,5,117
default,profile-us-east-1-6d886b9db9-7bcfv,hotel-reserv-profile,27,13
default,profile-us-east-1-6d886b9db9-7bcfv,istio-proxy,4,99
default,profile-us-east-1-6d886b9db9-bdncr,hotel-reserv-profile,28,12
default,profile-us-east-1-6d886b9db9-bdncr,istio-proxy,4,99
default,profile-us-south-1-7b44bdc669-8967d,hotel-reserv-profile,9,17
default,profile-us-south-1-7b44bdc669-8967d,istio-proxy,4,96
default,profile-us-south-1-7b44bdc669-gx4hm,hotel-reserv-profile,0,16
default,profile-us-south-1-7b44bdc669-gx4hm,istio-proxy,21,99
default,profile-us-west-1-565fcc7dd-bxc82,hotel-reserv-profile,46,8
default,profile-us-west-1-565fcc7dd-bxc82,istio-proxy,34,87
default,profile-us-west-1-565fcc7dd-vlq2b,hotel-reserv-profile,0,5
default,profile-us-west-1-565fcc7dd-vlq2b,istio-proxy,44,89
default,rate-us-central-1-97b89c4cc-6tzqr,hotel-reserv-rate,15,10
default,rate-us-central-1-97b89c4cc-6tzqr,istio-proxy,31,95
default,rate-us-central-1-97b89c4cc-sgk2k,hotel-reserv-rate,32,11
default,rate-us-central-1-97b89c4cc-sgk2k,istio-proxy,33,95
default,rate-us-east-1-85955fcf9f-v2lk8,hotel-reserv-rate,0,9
default,rate-us-east-1-85955fcf9f-v2lk8,istio-proxy,19,92
default,rate-us-east-1-85955fcf9f-vms56,hotel-reserv-rate,10,10
default,rate-us-east-1-85955fcf9f-vms56,istio-proxy,19,92
default,rate-us-south-1-fc9894cc7-jjhwf,hotel-reserv-rate,0,9
default,rate-us-south-1-fc9894cc7-jjhwf,istio-proxy,11,89
default,rate-us-south-1-fc9894cc7-qxdwk,hotel-reserv-rate,15,10
default,rate-us-south-1-fc9894cc7-qxdwk,istio-proxy,4,89
default,rate-us-west-1-6664cdd5b6-6gj5q,hotel-reserv-rate,26,8
default,rate-us-west-1-6664cdd5b6-6gj5q,istio-proxy,20,88
default,rate-us-west-1-6664cdd5b6-m8g84,hotel-reserv-rate,16,8
default,rate-us-west-1-6664cdd5b6-m8g84,istio-proxy,30,89
default,recommendation-us-central-1-7f955cdb7f-42fbh,hotel-reserv-recommendation,0,13
default,recommendation-us-central-1-7f955cdb7f-42fbh,istio-proxy,10,100
default,recommendation-us-central-1-7f955cdb7f-km4jq,hotel-reserv-recommendation,0,14
default,recommendation-us-central-1-7f955cdb7f-km4jq,istio-proxy,4,103
default,recommendation-us-east-1-557cb8cb67-9vx8f,hotel-reserv-recommendation,0,8
default,recommendation-us-east-1-557cb8cb67-9vx8f,istio-proxy,20,90
default,recommendation-us-east-1-557cb8cb67-zpw9t,hotel-reserv-recommendation,3,8
default,recommendation-us-east-1-557cb8cb67-zpw9t,istio-proxy,16,92
default,recommendation-us-south-1-7bd97d448c-5nm5k,hotel-reserv-recommendation,7,10
default,recommendation-us-south-1-7bd97d448c-5nm5k,istio-proxy,11,92
default,recommendation-us-south-1-7bd97d448c-xbs6n,hotel-reserv-recommendation,1,9
default,recommendation-us-south-1-7bd97d448c-xbs6n,istio-proxy,14,92
default,recommendation-us-west-1-5ccc44df4b-qhxl4,hotel-reserv-recommendation,6,8
default,recommendation-us-west-1-5ccc44df4b-qhxl4,istio-proxy,21,87
default,recommendation-us-west-1-5ccc44df4b-rvhbh,hotel-reserv-recommendation,16,8
default,recommendation-us-west-1-5ccc44df4b-rvhbh,istio-proxy,21,86
default,reservation-us-central-1-5dd558485b-j4vm8,hotel-reserv-reservation,382,20
default,reservation-us-central-1-5dd558485b-j4vm8,istio-proxy,3,105
default,reservation-us-central-1-5dd558485b-p5z82,hotel-reserv-reservation,373,21
default,reservation-us-central-1-5dd558485b-p5z82,istio-proxy,49,106
default,reservation-us-east-1-7cfddcd5b-ftzxj,hotel-reserv-reservation,0,16
default,reservation-us-east-1-7cfddcd5b-ftzxj,istio-proxy,26,101
default,reservation-us-east-1-7cfddcd5b-s9kc2,hotel-reserv-reservation,42,17
default,reservation-us-east-1-7cfddcd5b-s9kc2,istio-proxy,47,103
default,reservation-us-south-1-6d4ddc76d-ctvtt,hotel-reserv-reservation,0,19
default,reservation-us-south-1-6d4ddc76d-ctvtt,istio-proxy,3,103
default,reservation-us-south-1-6d4ddc76d-ttclz,hotel-reserv-reservation,0,19
default,reservation-us-south-1-6d4ddc76d-ttclz,istio-proxy,4,100
default,reservation-us-west-1-65844f9d57-lpr22,hotel-reserv-reservation,0,5
default,reservation-us-west-1-65844f9d57-lpr22,istio-proxy,31,86
default,reservation-us-west-1-65844f9d57-vnwfq,hotel-reserv-reservation,229,10
default,reservation-us-west-1-65844f9d57-vnwfq,istio-proxy,44,88
default,search-us-central-1-6d55c44cb9-crggn,hotel-reserv-search,0,8
default,search-us-central-1-6d55c44cb9-crggn,istio-proxy,84,96
default,search-us-central-1-6d55c44cb9-mt7kc,hotel-reserv-search,50,10
default,search-us-central-1-6d55c44cb9-mt7kc,istio-proxy,47,95
default,search-us-east-1-64b4698dc5-69sc9,hotel-reserv-search,0,8
default,search-us-east-1-64b4698dc5-69sc9,istio-proxy,36,93
default,search-us-east-1-64b4698dc5-7l9jh,hotel-reserv-search,16,9
default,search-us-east-1-64b4698dc5-7l9jh,istio-proxy,47,93
default,search-us-south-1-655d6d9b5c-ckfh9,hotel-reserv-search,17,10
default,search-us-south-1-655d6d9b5c-ckfh9,istio-proxy,37,92
default,search-us-south-1-655d6d9b5c-gzjfp,hotel-reserv-search,0,9
default,search-us-south-1-655d6d9b5c-gzjfp,istio-proxy,3,92
default,search-us-west-1-6cfbcf7478-6xbl8,hotel-reserv-search,33,7
default,search-us-west-1-6cfbcf7478-6xbl8,istio-proxy,41,87
default,search-us-west-1-6cfbcf7478-7f54f,hotel-reserv-search,38,7
default,search-us-west-1-6cfbcf7478-7f54f,istio-proxy,29,87
default,slate-controller-557db5cf46-stqz4,slate-controller,567,180
default,slate-controller-557db5cf46-stqz4,istio-proxy,100,87
