Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,11,39
default,consul-cc8f4df9-4gqrn,istio-proxy,3,90
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,330,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,471,165
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,312,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,742,166
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,121,13
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,266,132
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,124,14
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,306,132
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,44,133
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,125,411
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,144,22
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,408,188
default,frontend-us-west-1-75d5444c5c-ll52z,hotel-reserv-frontend,247,8
default,frontend-us-west-1-75d5444c5c-ll52z,istio-proxy,688,90
default,frontend-us-west-1-75d5444c5c-vwwxc,hotel-reserv-frontend,275,8
default,frontend-us-west-1-75d5444c5c-vwwxc,istio-proxy,676,91
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,33,8
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,68,93
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,33,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,63,94
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,14,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,31,91
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,14,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,29,90
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,6,8
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,17,89
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,7,8
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,19,88
default,geo-us-west-1-685b958cc4-rp9nc,hotel-reserv-geo,19,8
default,geo-us-west-1-685b958cc4-rp9nc,istio-proxy,20,87
default,geo-us-west-1-685b958cc4-xbrzc,hotel-reserv-geo,16,8
default,geo-us-west-1-685b958cc4-xbrzc,istio-proxy,39,87
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,120,1537
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,89
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,5,88
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,89
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,4,88
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,3,87
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,3,89
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,4,87
default,memcached-profile-us-west-1-c96d7d87f-22555,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-c96d7d87f-22555,istio-proxy,4,86
default,memcached-profile-us-west-1-c96d7d87f-vp2z9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-c96d7d87f-vp2z9,istio-proxy,4,87
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,90
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
